"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Oki02 - Oki03",-0.0316963374284374,0.0392563305420149,85,-0.807419771303222,0.992275574052703
"2","Oki02 - Oki04",0.231127353581255,0.0384695507298064,85,6.00805960029516,1.23958052222761e-06
"3","Oki02 - Oki07",-0.0569647784883685,0.0401801353002811,85,-1.4177348598418,0.846609707561741
"4","Oki02 - Oki09",0.0434924225168129,0.0401801353002809,85,1.08243593984386,0.958810184072988
"5","Oki02 - Oki11",-0.125972230253814,0.0354355485498237,85,-3.55496769230741,0.0137689682464494
"6","Oki02 - Oki14",-0.0149220376339913,0.0392563305420149,85,-0.380117994421834,0.999941731324566
"7","Oki02 - Oki15",-0.013320657523677,0.039256330542015,85,-0.339325080560452,0.999973068513368
"8","Oki03 - Oki04",0.262823691009693,0.0375036338003159,85,7.00795268024079,1.50837787815661e-08
"9","Oki03 - Oki07",-0.0252684410599311,0.039256330542015,85,-0.643678120472492,0.998109872093652
"10","Oki03 - Oki09",0.0751887599452503,0.0392563305420149,85,1.91532827717501,0.544483564238244
"11","Oki03 - Oki11",-0.0942758928253766,0.0343845069166618,85,-2.74181313851249,0.124479608669442
"12","Oki03 - Oki14",0.0167742997944461,0.0383102558396441,85,0.437854026991064,0.99984886422154
"13","Oki03 - Oki15",0.0183756799047604,0.0383102558396441,85,0.479654324984825,0.999722245030133
"14","Oki04 - Oki07",-0.288092132069624,0.0384695507298064,85,-7.48883536730281,1.87371695936633e-09
"15","Oki04 - Oki09",-0.187634931064442,0.0384695507298064,85,-4.87749213351385,0.000130443694756788
"16","Oki04 - Oki11",-0.357099583835069,0.0334834460835675,85,-10.6649591246918,2.08402628487647e-10
"17","Oki04 - Oki14",-0.246049391215246,0.0375036338003159,85,-6.56068136024659,1.1060053883849e-07
"18","Oki04 - Oki15",-0.244448011104932,0.0375036338003159,85,-6.51798202826077,1.33614205921617e-07
"19","Oki07 - Oki09",0.100457201005181,0.040180135300281,85,2.50017079968566,0.209631429401518
"20","Oki07 - Oki11",-0.0690074517654455,0.0354355485498237,85,-1.94740746480666,0.522990460492095
"21","Oki07 - Oki14",0.0420427408543772,0.039256330542015,85,1.07097989735388,0.96108952378235
"22","Oki07 - Oki15",0.0436441209646915,0.039256330542015,85,1.11177281121526,0.95254578638274
"23","Oki09 - Oki11",-0.169464652770627,0.0354355485498237,85,-4.78233468101541,0.000188572763208938
"24","Oki09 - Oki14",-0.0584144601508042,0.0392563305420149,85,-1.48802650029362,0.811670733344861
"25","Oki09 - Oki15",-0.0568130800404898,0.0392563305420149,85,-1.44723358643224,0.832397232865231
"26","Oki11 - Oki14",0.111050192619823,0.0343845069166618,85,3.22965784819822,0.035810726052678
"27","Oki11 - Oki15",0.112651572730137,0.0343845069166618,85,3.27623057102934,0.0314091358745581
"28","Oki14 - Oki15",0.00160138011031436,0.0383102558396441,85,0.0418002979937615,0.999999999987368
