"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Oki02 - Oki03",-0.0280596642338879,0.127782088680645,85,-0.219589963848651,0.999998651019156
"2","Oki02 - Oki04",0.705907328992705,0.125221065621493,85,5.63728894566715,5.99693901293108e-06
"3","Oki02 - Oki07",-0.111792869004037,0.130789137477985,85,-0.854756527642475,0.989142776182903
"4","Oki02 - Oki09",0.0823847682902522,0.130789137477985,85,0.629905280200504,0.998353605124331
"5","Oki02 - Oki11",-0.283941110405648,0.115345177318462,85,-2.46166434528686,0.22631906938075
"6","Oki02 - Oki14",-0.0310470956875728,0.127782088680645,85,-0.242969073429112,0.99999728426999
"7","Oki02 - Oki15",-0.0223736372514591,0.127782088680645,85,-0.175092123492954,0.999999719725939
"8","Oki03 - Oki04",0.733966993226593,0.122076938775246,85,6.01233124446122,1.21698593980035e-06
"9","Oki03 - Oki07",-0.083733204770149,0.127782088680645,85,-0.655281234128333,0.997882467806257
"10","Oki03 - Oki09",0.11044443252414,0.127782088680645,85,0.864318572849164,0.988405141901369
"11","Oki03 - Oki11",-0.25588144617176,0.111923963635945,85,-2.28620786701288,0.313332583110514
"12","Oki03 - Oki14",-0.00298743145368491,0.124702549664957,85,-0.0239564584822953,1
"13","Oki03 - Oki15",0.00568602698242884,0.124702549664957,85,0.0455967179316357,0.999999999976761
"14","Oki04 - Oki07",-0.817700197996742,0.125221065621493,85,-6.53005302213616,1.26665547828253e-07
"15","Oki04 - Oki09",-0.623522560702453,0.125221065621493,85,-4.97937433775864,8.75061172830316e-05
"16","Oki04 - Oki11",-0.989848439398353,0.108990947898321,85,-9.08193256858172,2.09451789245918e-10
"17","Oki04 - Oki14",-0.736954424680278,0.122076938775246,85,-6.03680295454551,1.0951539096693e-06
"18","Oki04 - Oki15",-0.728280966244164,0.122076938775246,85,-5.96575383975666,1.48689741952257e-06
"19","Oki07 - Oki09",0.194177637294289,0.130789137477985,85,1.48466180784298,0.813425945959813
"20","Oki07 - Oki11",-0.172148241401611,0.115345177318462,85,-1.4924615437221,0.809344925516758
"21","Oki07 - Oki14",0.0807457733164641,0.127782088680645,85,0.631902124547872,0.998319948219573
"22","Oki07 - Oki15",0.0894192317525778,0.127782088680645,85,0.69977907448403,0.996795721755902
"23","Oki09 - Oki11",-0.3663258786959,0.115345177318462,85,-3.175909797117,0.0415589052581867
"24","Oki09 - Oki14",-0.113431863977825,0.127782088680645,85,-0.887697682429624,0.986438818311968
"25","Oki09 - Oki15",-0.104758405541711,0.127782088680645,85,-0.819820732493467,0.991533874064225
"26","Oki11 - Oki14",0.252894014718075,0.111923963635945,85,2.25951625105651,0.328081982028728
"27","Oki11 - Oki15",0.261567473154189,0.111923963635945,85,2.33701045474935,0.286327554830604
"28","Oki14 - Oki15",0.00867345843611374,0.124702549664957,85,0.0695531764139309,0.999999999553582
