frag_ID,species_long,species,Frag_type,weight,weight_wWax
A01,Porites cylindrica,Pcyl,PI,13.9765,14.2964
A02,Porites cylindrica,Pcyl,PI,13.0378,13.2241
A03,Porites cylindrica,Pcyl,PI,14.0894,14.3472
B01,Montipora vietnamensis,Mvie,PI,13.935,14.2511
B02,Montipora vietnamensis,Mvie,PI,13.9025,14.2542
B03,Montipora vietnamensis,Mvie,PI,19.1134,19.7638
C01,Favites complanata,Fcom,PI,19.8661,20.3728
C02,Favites complanata,Fcom,PI,20.3426,20.9919
C03,Favites complanata,Fcom,PI,37.53,38.6385
D01,Porites rus,Prus,PI,20.5589,21.3676
D02,Porites rus,Prus,PI,23.1477,23.8524
D04,Porites rus,Prus,PI,15.633,15.9589
E01,Pocillopora eydouxi,Peyd,PI,20.1786,20.7755
E02,Pocillopora eydouxi,Peyd,PI,33.2526,34.5565
E03,Pocillopora eydouxi,Peyd,PI,22.2127,23.0778
F01,Pachyseris rugosa,Prug,PI,19.2033,19.8281
F02,Pachyseris rugosa,Prug,PI,16.8337,17.187
F03,Pachyseris rugosa,Prug,PI,19.0646,19.5539
G01,Echinopora lamellosa,Elam,PI,20.6069,21.1713
G02,Echinopora lamellosa,Elam,PI,15.9851,16.2996
G03,Echinopora lamellosa,Elam,PI,17.8492,18.4609
H01,Montipora aequituberculata,Maeq,PI,20.028,20.9045
H02,Montipora aequituberculata,Maeq,PI,17.0948,18.0288
H03,Montipora aequituberculata,Maeq,PI,18.5926,19.6288
I01,Turbinaria frondens,Tfro,PI,20.8073,21.2428
I02,Turbinaria frondens,Tfro,PI,19.3644,20.2241
I03,Turbinaria frondens,Tfro,PI,18.6124,19.2423
J01,Acropora hyacinthus,Ahya,PI,13.9425,14.4466
J02,Acropora hyacinthus,Ahya,PI,14.6267,15.0897
J03,Acropora hyacinthus,Ahya,PI,14.2375,14.9945
A01,Porites cylindrica,Pcyl,TPC,18.4847,19.1539
A02,Porites cylindrica,Pcyl,TPC,17.5975,18.0919
A03,Porites cylindrica,Pcyl,TPC,17.3536,17.8469
A06,Porites cylindrica,Pcyl,TPC,,
A07,Porites cylindrica,Pcyl,TPC,,
A08,Porites cylindrica,Pcyl,TPC,,
B01,Montipora vietnamensis,Mvie,TPC,15.5726,16.0707
B02,Montipora vietnamensis,Mvie,TPC,15.6688,16.1473
B03,Montipora vietnamensis,Mvie,TPC,14.6131,15.0423
B06,Montipora vietnamensis,Mvie,TPC,,
B07,Montipora vietnamensis,Mvie,TPC,,
B08,Montipora vietnamensis,Mvie,TPC,,
C01,Favites complanata,Fcom,TPC,17.5264,18.1634
C02,Favites complanata,Fcom,TPC,19.9485,20.6178
C03,Favites complanata,Fcom,TPC,35.4094,36.1328
C06,Favites complanata,Fcom,TPC,,
C07,Favites complanata,Fcom,TPC,,
C08,Favites complanata,Fcom,TPC,,
D01,Porites rus,Prus,TPC,20.8696,21.6586
D02,Porites rus,Prus,TPC,17.2036,17.671
D03,Porites rus,Prus,TPC,15.9287,16.3659
D06,Porites rus,Prus,TPC,,
D07,Porites rus,Prus,TPC,,
D08,Porites rus,Prus,TPC,,
E01,Pocillopora eydouxi,Peyd,TPC,25.2888,26.2468
E02,Pocillopora eydouxi,Peyd,TPC,29.9688,30.9419
E03,Pocillopora eydouxi,Peyd,TPC,31.706,32.7795
E06,Pocillopora eydouxi,Peyd,TPC,,
E07,Pocillopora eydouxi,Peyd,TPC,,
E08,Pocillopora eydouxi,Peyd,TPC,,
F01,Pachyseris rugosa,Prug,TPC,17.7609,18.106
F03,Pachyseris rugosa,Prug,TPC,17.5665,18.0139
F04,Pachyseris rugosa,Prug,TPC,21.814,22.4118
F06,Pachyseris rugosa,Prug,TPC,,
F07,Pachyseris rugosa,Prug,TPC,,
F08,Pachyseris rugosa,Prug,TPC,,
G01,Echinopora lamellosa,Elam,TPC,21.0843,21.6174
G02,Echinopora lamellosa,Elam,TPC,16.7109,17.1343
G05,Echinopora lamellosa,Elam,TPC,19.3626,19.7981
G06,Echinopora lamellosa,Elam,TPC,,
G07,Echinopora lamellosa,Elam,TPC,,
G08,Echinopora lamellosa,Elam,TPC,,
H01,Montipora aequituberculata,Maeq,TPC,18.7417,19.6653
H02,Montipora aequituberculata,Maeq,TPC,27.003,28.0819
H04,Montipora aequituberculata,Maeq,TPC,20.5617,21.7613
H06,Montipora aequituberculata,Maeq,TPC,,
H07,Montipora aequituberculata,Maeq,TPC,,
H08,Montipora aequituberculata,Maeq,TPC,,
I01,Turbinaria frondens,Tfro,TPC,19.6742,20.3897
I02,Turbinaria frondens,Tfro,TPC,19.1635,19.8216
I03,Turbinaria frondens,Tfro,TPC,18.4512,19.3036
I06,Turbinaria frondens,Tfro,TPC,,
I07,Turbinaria frondens,Tfro,TPC,,
I08,Turbinaria frondens,Tfro,TPC,,
J01,Acropora hyacinthus,Ahya,TPC,13.7708,14.1737
J02,Acropora hyacinthus,Ahya,TPC,15.5251,16.0712
J03,Acropora hyacinthus,Ahya,TPC,15.143,15.9715
J06,Acropora hyacinthus,Ahya,TPC,,
J07,Acropora hyacinthus,Ahya,TPC,,
J08,Acropora hyacinthus,Ahya,TPC,,
A01,Porites cylindrica,Pcyl,physio,4.7581,5.0507
A02,Porites cylindrica,Pcyl,physio,3.5652,3.8468
A03,Porites cylindrica,Pcyl,physio,3.5255,3.7843
A04,Porites cylindrica,Pcyl,physio,4.6615,4.9973
A05,Porites cylindrica,Pcyl,physio,4.0869,4.5389
A06,Porites cylindrica,Pcyl,physio,,
A07,Porites cylindrica,Pcyl,physio,,
A08,Porites cylindrica,Pcyl,physio,,
A09,Porites cylindrica,Pcyl,physio,,
A10,Porites cylindrica,Pcyl,physio,,
B01,Montipora vietnamensis,Mvie,physio,5.6917,6.2611
B02,Montipora vietnamensis,Mvie,physio,4.6032,5.0433
B03,Montipora vietnamensis,Mvie,physio,3.3425,3.7764
B04,Montipora vietnamensis,Mvie,physio,6.3735,7.0256
