"","frag_ID","species_long","species","Frag_type","weight","weight_wWax","Wax_weight","calc_SA"
"1","A01","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"2","A02","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"3","A03","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"4","A04","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"5","A05","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"6","A06","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"7","A07","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"8","A08","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"9","A09","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"10","A10","Porites cylindrica","Pcyl","physio",NA,NA,NA,NA
"11","B01","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"12","B02","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"13","B03","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"14","B04","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"15","B05","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"16","B06","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"17","B07","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"18","B08","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"19","B09","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"20","B10","Montipora vietnamensis","Mvie","physio",NA,NA,NA,NA
"21","C01","Favites complanata","Fcom","physio",NA,NA,NA,NA
"22","C02","Favites complanata","Fcom","physio",NA,NA,NA,NA
"23","C03","Favites complanata","Fcom","physio",NA,NA,NA,NA
"24","C04","Favites complanata","Fcom","physio",NA,NA,NA,NA
"25","C05","Favites complanata","Fcom","physio",NA,NA,NA,NA
"26","C06","Favites complanata","Fcom","physio",NA,NA,NA,NA
"27","C07","Favites complanata","Fcom","physio",NA,NA,NA,NA
"28","C08","Favites complanata","Fcom","physio",NA,NA,NA,NA
"29","C09","Favites complanata","Fcom","physio",NA,NA,NA,NA
"30","C10","Favites complanata","Fcom","physio",NA,NA,NA,NA
"31","D01","Porites rus","Prus","physio",NA,NA,NA,NA
"32","D02","Porites rus","Prus","physio",NA,NA,NA,NA
"33","D03","Porites rus","Prus","physio",NA,NA,NA,NA
"34","D04","Porites rus","Prus","physio",NA,NA,NA,NA
"35","D05","Porites rus","Prus","physio",NA,NA,NA,NA
"36","D06","Porites rus","Prus","physio",NA,NA,NA,NA
"37","D07","Porites rus","Prus","physio",NA,NA,NA,NA
"38","D08","Porites rus","Prus","physio",NA,NA,NA,NA
"39","D09","Porites rus","Prus","physio",NA,NA,NA,NA
"40","D10","Porites rus","Prus","physio",NA,NA,NA,NA
"41","E01","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"42","E02","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"43","E03","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"44","E04","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"45","E05","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"46","E06","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"47","E07","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"48","E08","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"49","E09","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"50","E10","Pocillopora eydouxi","Peyd","physio",NA,NA,NA,NA
"51","F01","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"52","F02","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"53","F03","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"54","F04","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"55","F05","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"56","F06","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"57","F07","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"58","F08","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"59","F09","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"60","F10","Pachyseris rugosa","Prug","physio",NA,NA,NA,NA
"61","G01","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"62","G02","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"63","G03","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"64","G04","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"65","G05","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"66","G06","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"67","G07","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"68","G08","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"69","G09","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"70","G10","Echinopora lamellosa","Elam","physio",NA,NA,NA,NA
"71","H01","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"72","H02","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"73","H03","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"74","H04","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"75","H05","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"76","H06","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"77","H07","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"78","H08","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"79","H09","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"80","H10","Montipora aequituberculata","Maeq","physio",NA,NA,NA,NA
"81","I01","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"82","I02","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"83","I03","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"84","I04","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"85","I05","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"86","I06","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"87","I07","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"88","I08","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"89","I09","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"90","I10","Turbinaria frondens","Tfro","physio",NA,NA,NA,NA
"91","J01","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"92","J02","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"93","J03","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"94","J04","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"95","J05","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"96","J06","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"97","J07","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"98","J08","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"99","J09","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"100","J10","Acropora hyacinthus","Ahya","physio",NA,NA,NA,NA
"101","A01","Porites cylindrica","Pcyl","TPC",NA,NA,NA,NA
"102","A02","Porites cylindrica","Pcyl","TPC",NA,NA,NA,NA
"103","A03","Porites cylindrica","Pcyl","TPC",NA,NA,NA,NA
"104","A06","Porites cylindrica","Pcyl","TPC",NA,NA,NA,NA
"105","A07","Porites cylindrica","Pcyl","TPC",NA,NA,NA,NA
"106","A08","Porites cylindrica","Pcyl","TPC",NA,NA,NA,NA
"107","B01","Montipora vietnamensis","Mvie","TPC",NA,NA,NA,NA
"108","B02","Montipora vietnamensis","Mvie","TPC",NA,NA,NA,NA
"109","B03","Montipora vietnamensis","Mvie","TPC",NA,NA,NA,NA
"110","B06","Montipora vietnamensis","Mvie","TPC",NA,NA,NA,NA
"111","B07","Montipora vietnamensis","Mvie","TPC",NA,NA,NA,NA
"112","B08","Montipora vietnamensis","Mvie","TPC",NA,NA,NA,NA
"113","C01","Favites complanata","Fcom","TPC",NA,NA,NA,NA
"114","C02","Favites complanata","Fcom","TPC",NA,NA,NA,NA
"115","C03","Favites complanata","Fcom","TPC",NA,NA,NA,NA
"116","C06","Favites complanata","Fcom","TPC",NA,NA,NA,NA
"117","C07","Favites complanata","Fcom","TPC",NA,NA,NA,NA
"118","C08","Favites complanata","Fcom","TPC",NA,NA,NA,NA
"119","D01","Porites rus","Prus","TPC",NA,NA,NA,NA
"120","D02","Porites rus","Prus","TPC",NA,NA,NA,NA
"121","D03","Porites rus","Prus","TPC",NA,NA,NA,NA
"122","D06","Porites rus","Prus","TPC",NA,NA,NA,NA
"123","D07","Porites rus","Prus","TPC",NA,NA,NA,NA
"124","D08","Porites rus","Prus","TPC",NA,NA,NA,NA
"125","E01","Pocillopora eydouxi","Peyd","TPC",NA,NA,NA,NA
