"","frag_ID","species_long","species","Frag_type","weight","weight_wWax","Wax_weight","calc_SA"
"126","E02","Pocillopora eydouxi","Peyd","TPC",NA,NA,NA,NA
"127","E03","Pocillopora eydouxi","Peyd","TPC",NA,NA,NA,NA
"128","E06","Pocillopora eydouxi","Peyd","TPC",NA,NA,NA,NA
"129","E07","Pocillopora eydouxi","Peyd","TPC",NA,NA,NA,NA
"130","E08","Pocillopora eydouxi","Peyd","TPC",NA,NA,NA,NA
"131","F01","Pachyseris rugosa","Prug","TPC",NA,NA,NA,NA
"132","F02","Pachyseris rugosa","Prug","TPC",NA,NA,NA,NA
"133","F03","Pachyseris rugosa","Prug","TPC",NA,NA,NA,NA
"134","F06","Pachyseris rugosa","Prug","TPC",NA,NA,NA,NA
"135","F07","Pachyseris rugosa","Prug","TPC",NA,NA,NA,NA
"136","F08","Pachyseris rugosa","Prug","TPC",NA,NA,NA,NA
"137","G01","Echinopora lamellosa","Elam","TPC",NA,NA,NA,NA
"138","G02","Echinopora lamellosa","Elam","TPC",NA,NA,NA,NA
"139","G03","Echinopora lamellosa","Elam","TPC",NA,NA,NA,NA
"140","G06","Echinopora lamellosa","Elam","TPC",NA,NA,NA,NA
"141","G07","Echinopora lamellosa","Elam","TPC",NA,NA,NA,NA
"142","G08","Echinopora lamellosa","Elam","TPC",NA,NA,NA,NA
"143","H01","Montipora aequituberculata","Maeq","TPC",NA,NA,NA,NA
"144","H02","Montipora aequituberculata","Maeq","TPC",NA,NA,NA,NA
"145","H03","Montipora aequituberculata","Maeq","TPC",NA,NA,NA,NA
"146","H06","Montipora aequituberculata","Maeq","TPC",NA,NA,NA,NA
"147","H07","Montipora aequituberculata","Maeq","TPC",NA,NA,NA,NA
"148","H08","Montipora aequituberculata","Maeq","TPC",NA,NA,NA,NA
"149","I01","Turbinaria frondens","Tfro","TPC",NA,NA,NA,NA
"150","I02","Turbinaria frondens","Tfro","TPC",NA,NA,NA,NA
"151","I03","Turbinaria frondens","Tfro","TPC",NA,NA,NA,NA
"152","I06","Turbinaria frondens","Tfro","TPC",NA,NA,NA,NA
"153","I07","Turbinaria frondens","Tfro","TPC",NA,NA,NA,NA
"154","I08","Turbinaria frondens","Tfro","TPC",NA,NA,NA,NA
"155","J01","Acropora hyacinthus","Ahya","TPC",NA,NA,NA,NA
"156","J02","Acropora hyacinthus","Ahya","TPC",NA,NA,NA,NA
"157","J03","Acropora hyacinthus","Ahya","TPC",NA,NA,NA,NA
"158","J06","Acropora hyacinthus","Ahya","TPC",NA,NA,NA,NA
"159","J07","Acropora hyacinthus","Ahya","TPC",NA,NA,NA,NA
"160","J08","Acropora hyacinthus","Ahya","TPC",NA,NA,NA,NA
