frag_ID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,PR,sample_ID,species_ID,weight_g,volume_mL,full_species,species,blastate_vol_mL,morphology,stress,bvi,life_history,perf_imperf,SA_cm2,dw_mg_cm2,dw_log,afdw_mg_cm2,afdw_log,chla_ug_cm2_mean,chla_log,chla_pg_sym,chla_sym_log,sym_cm2,sym_log,prot_ug_cm2,prot_log
A01,0.85,29.07,-1.28,41.14,-0.26,0.8,NA,12.07,42.42,5,-1.06,NetPhoto,A01_TPC,A,1,463,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,perforate,12.71048334,172.954345993685,5.153027663680845,26.8806982022027,3.2914084901019365,8.171558650884219,2.1006596680182383,3.297284447425293,1.1930992349891092,2478269.24888601,14.7230709909934,1065.456628,6.971158744938231
A02,0.73,26.62,-Inf,59.48,NA,0.44,NA,32.86,Inf,9.5,NA,NetPhoto,A02_TPC,A,1,459,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,perforate,12.35955882,176.38170032998,5.1726503985654,28.4530112917627,3.348254000024318,5.745886301652785,1.748484172970581,3.6263805813605097,1.288235065832159,1584468.63828537,14.275759665102695,1199.313787,7.08950482804419
A03,0.89,27.02,-Inf,45.44,-0.13,0.36,NA,18.42,Inf,8.04,-0.49,NetPhoto,A03_TPC,A,1,461,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,perforate,11.632188,186.551317774438,5.228706363563086,26.363627089475,3.271985298403553,10.384294487649232,2.340294519310108,2.7144284433190906,0.9985814131093348,3825591.53961404,15.157223664165048,1161.361872,7.05734862305516
A07,1.15,30.04,-Inf,38.71,0.19,0.97,1.28,8.68,Inf,8.49,-0.78,NetPhoto,A07_TPC,A,1,462,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,perforate,26.25297959,88.6883458447595,4.48512849223641,18.4106086578241,2.912927055959969,10.69481287877511,2.3697588462406,5.175496852080223,1.6439353446065728,2066432.10969715,14.5413340595983,1136.410148,7.035629579894403
A08,1.18,29.91,-10.92,46.14,-0.05,0.26,NA,16.23,57.06,8,-0.31,NetPhoto,A08_TPC,A,1,464,Porites cylindrica,Pcyl,50,branch/tabular,sensitive,4.5,weedy,perforate,30.29818223,81.2479985756118,4.3975061879909045,18.9780362278849,2.943282322490882,17.314584041803464,2.8515491545686276,5.81811928874541,1.7609770632566666,2975976.115735,14.906082649276234,2118.486186,7.6584570493939506
B01,0.81,29.76,-16.59,39.32,0.32,1.12,1.5,9.56,55.91,8.19,-0.8,NetPhoto,B01_TPC,B,1,462,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,perforate,21.54102035,110.100015140029,4.701389181240241,25.5326809530635,3.2399592376109094,9.058368599861511,2.2036890376005647,5.420180620761607,1.690129139760059,1671230.02601871,14.329070455804782,1362.12089,7.216798241948275
B02,0.71,28.88,-4.82,41.79,0.57,0.82,2.09,12.91,46.61,7.71,-0.25,NetPhoto,B02_TPC,B,1,464,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,perforate,17.41606213,134.454427710902,4.9012253141986735,28.4220391673579,3.3471648712335256,6.736786163783427,1.9075829809053024,4.253593464107916,1.447764146651403,1583787.03104301,14.275329392218174,1510.213427,7.320006262205182
B03,0.71,29.4,-14.46,37.96,0.4,1.41,1.67,8.57,52.42,7.54,-1.01,NetPhoto,B03_TPC,B,1,465,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,perforate,17.21826831,135.418186352253,4.908367667206429,30.3940747066528,3.414247678449197,7.490658839020043,2.0136567561466423,5.840430507573753,1.7648045111734676,1282552.51548774,14.06436280293745,1912.134602,7.555975489669051
B07,0.94,30.52,-24.14,37.11,0.31,1.68,1.48,6.59,61.25,8.11,-1.37,NetPhoto,B07_TPC,B,1,468,Montipora vietnamensis,Mvie,50,branch/tabular,tolerant,4.5,weedy,perforate,15.84966268,146.795973746658,4.989043689010411,32.1773409501986,3.4712625076404717,11.691229396783676,2.4588389364884686,7.081606710325637,1.957500818446111,1650928.93110497,14.316848676006632,1108.615674,7.0108673754388855
C01,0.88,29.49,-15.97,40.03,0.33,0.98,1.53,10.54,55.99,8.11,-0.65,NetPhoto,C01_TPC,C,1,462,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,imperforate,47.1170374,46.656866701329,3.8428201126310273,9.23232919563825,2.2227113672364047,6.869118467475826,1.9270357817675217,5.320315261431606,1.671532561265363,1291111.17103753,14.07101377846643,637.3753979,6.457358803654396
C02,1,29.22,-9.28,42.45,0.33,0.74,1.53,13.23,51.73,8.23,-0.4,NetPhoto,C02_TPC,C,1,460,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,imperforate,31.69549987,67.5437630614448,4.212775729446869,13.7243457836022,2.61917132021962,4.085533552085736,1.4074523322885837,4.948778146586519,1.5991407070373902,825564.095028947,13.623822183215466,1318.84611,7.184512474189639
C03,1.53,30.26,-5.18,39.61,0.46,1.23,1.79,9.35,44.78,7.05,-0.77,NetPhoto,C03_TPC,C,1,452,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,imperforate,40.06664478,55.0125092522575,4.007560600321836,11.8968451010553,2.476273247409233,3.74576849174478,1.3206268006558295,4.102424845198759,1.411578224545268,913062.062825749,13.724559134074836,NA,NA
C07,1.41,30.5,-Inf,37.93,0.28,1.08,1.42,7.43,Inf,8.58,-0.81,NetPhoto,C07_TPC,C,1,463,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,imperforate,9.249091487,233.626549847677,5.453723899665663,47.7524378786228,3.866030120673167,23.504534165330625,3.157193345744526,4.69199108318979,1.5458570303609898,NA,NA,NA,NA
C08,0.68,29.88,-16.65,41.66,0.21,0.52,1.31,11.79,58.31,7.29,-0.31,NetPhoto,C08_TPC,C,1,467,Favites complanata,Fcom,50,massive/sub,tolerant,2,tolerant,imperforate,9.957320972,211.90438732801,5.35613516976973,45.6950219119641,3.821989362250565,12.540493438043525,2.528962883556896,6.689449195171014,1.9005315381902392,1874667.56561904,14.443941903330929,1958.801929,7.580088304614281
D01,0.88,27.59,-Inf,41.54,0.01,0.55,NA,13.94,Inf,7.82,-0.54,NetPhoto,D01_TPC,D,1,460,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,perforate,22.68312015,98.4212041922284,4.589256270602044,23.4388683369323,3.154395684402223,8.950465466192716,2.1917055383302606,7.165570008285014,1.969287612656666,1249093.29695251,14.037928483637872,671.9090225,6.510122948173495
D02,0.89,26.94,-Inf,40.63,NA,0.61,NA,13.7,Inf,7.12,NA,NetPhoto,D02_TPC,D,1,464,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,perforate,28.12564043,76.2945590047612,4.334601625194105,16.1774094045047,2.783615787841173,6.797164367324139,1.9165055204061048,6.848045406768964,1.923963269478814,992569.990935729,13.808052808891564,518.5179266,6.2509746010352725
D03,0.73,28.49,-Inf,46.4,0.53,0.35,1.97,17.91,Inf,8.85,0.18,NetPhoto,D03_TPC,D,1,463,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,perforate,15.28499323,138.698131435155,4.932299855241249,33.14798109771,3.5009818127474035,10.623640753506908,2.3630817775451547,8.187341697242292,2.1025892660864884,1297568.99691694,14.076003069422942,756.2885163,6.628422938692758
D04,1.52,29.75,-12.74,45.85,0.14,0.37,NA,16.1,58.59,9.41,-0.23,NetPhoto,D04_TPC,D,1,460,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,perforate,18.09876983,120.634349949813,4.792764069192518,28.6391472018257,3.3547745651765504,15.863955275095671,2.7640495719432026,8.857112857091122,2.181220848881426,1791097.79123959,14.39833928102605,1308.447728,7.176596773140159
D07,1.05,29.34,-20.14,43.57,0.15,0.64,1.22,14.23,63.71,8.83,-0.49,NetPhoto,D07_TPC,D,1,465,Porites rus,Prus,50,massive/sub,tolerant,3,weedy,perforate,15.83371157,143.049214328969,4.963188727198401,36.9464858200647,3.60947053651312,16.99153775738639,2.8327154411458606,7.686831656606306,2.039508690375183,2210473.51060216,14.608717308734953,2159.042525,7.677420126939636
E01,0.72,29.15,-12.59,43.43,0.36,0.7,1.6,14.28,56.02,8.46,-0.33,NetPhoto,E01_TPC,E,1,460,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,imperforate,37.14759082,57.5856097110598,4.053272705083569,12.9214301494236,2.5588871849083183,7.481003787088495,2.012366979117715,3.5214521766289377,1.258873454713254,2124408.74158058,14.569004082368734,NA,NA
E02,0.81,27.53,-Inf,43.36,-0.27,0.5,NA,15.82,Inf,7.98,-0.77,NetPhoto,E02_TPC,E,1,457,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,imperforate,49.80958554,43.398607782647,3.770427361850973,10.0716892386868,2.309728442283407,4.3349387473625995,1.4667074803431976,4.233754947988585,1.443089293850333,1023899.30466384,13.83912874445714,533.9563144,6.280314027374018
E03,0.72,28.69,-21.16,43.02,0.04,0.78,1.05,14.33,64.18,8.21,-0.74,NetPhoto,E03_TPC,E,1,457,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,imperforate,37.84624963,56.3023642808788,4.03073652859568,12.7269325593852,2.543720421976871,5.159984984546712,1.64093366951767,4.230023389434074,1.4422075224599382,1219847.86122827,14.014236705022006,621.9105888,6.432796334496491
E07,1.1,29.29,-6.61,42.57,0.37,0.75,1.6,13.29,49.19,8.24,-0.38,NetPhoto,E07_TPC,E,1,462,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,imperforate,37.95471721,55.4827828562639,4.016072753818525,11.461025979806,2.43895223431297,5.03061174064244,1.615541595134708,6.159207935786763,1.817948187425275,816762.770974681,13.613103965673709,600.2920335,6.397416259305171
E08,0.95,29.47,-Inf,39.42,0.2,0.67,1.3,9.95,Inf,8.33,-0.47,NetPhoto,E08_TPC,E,1,461,Pocillopora eydouxi,Peyd,50,branch/tabular,sensitive,4.5,competitive,imperforate,16.97900159,121.277252714284,4.798079269215691,27.1904484029597,3.302865749974366,2.2333344237818857,0.8034957259892374,5.687968309859152,1.7383531210823169,392641.854194365,12.880653162871194,529.8253397,6.272547404497531
F01,0.89,29.2,-6.19,41.61,0.42,0.92,1.72,12.41,47.8,7.98,-0.5,NetPhoto,F01_TPC,F,1,464,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,imperforate,29.4719145,77.927298094824,4.355776316329538,17.5308145206063,2.8639601622351276,5.372814723327008,1.681351928242589,5.828728938045444,1.762798955673937,921781.537696395,13.734063530532923,957.5117172,6.864337958264521
F03,1.11,29.2,-1.83,46.94,0.47,0.52,1.85,17.74,48.77,8.73,-0.05,NetPhoto,F03_TPC,F,1,463,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,imperforate,18.53583037,123.724337542766,4.818056006552175,27.2445307234433,3.304852793568252,6.9268722293824965,1.9354083735668284,5.8583419911101515,1.7678666268841672,1182394.65020885,13.983052304646936,2030.656922,7.6161146265829665
F04,0.92,29.04,-21.87,38.45,0.25,1.37,1.38,9.41,60.32,7.52,-1.12,NetPhoto,F04_TPC,F,1,463,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,imperforate,23.91135597,93.2611267549123,4.535403373174145,21.1893740908022,3.0534998338921935,5.904306585663766,1.7756820144160204,3.748140969712075,1.321259975651807,1575262.67911885,14.269932596728488,1227.707584,7.112903956572618
F07,1.28,29.58,-Inf,37.99,0.21,1.25,NA,8.41,Inf,7.99,-1.04,NetPhoto,F07_TPC,F,1,444,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,imperforate,17.78931821,128.541557336427,4.856252255447988,29.6994706090725,3.39112922103944,10.879066382663812,2.386840427328943,7.212341877351072,1.9757937081763672,1508395.82588665,14.226557277116852,2019.660975,7.610684942151107
F08,0.94,28.91,-4.01,39.61,0.14,0.21,1.2,10.71,43.62,7.24,-0.07,NetPhoto,F08_TPC,F,1,457,Pachyseris rugosa,Prug,50,massive/sub,tolerant,3.5,generalist,imperforate,17.76060621,134.379797538829,4.900670100859146,32.6565429773131,3.486045233113026,13.91758208661284,2.6331529391441992,3.6939182291758,1.3066877454128745,3767701.72568714,15.1419757516956,2473.148438,7.813247289173376
G01,1.01,28.86,0.17,42.26,0.82,0.72,2.88,13.41,42.09,7.5,0.1,NetPhoto,G01_TPC,G,1,460,Echinopora lamellosa,Elam,50,massive/sub,tolerant,3.5,generalist,imperforate,48.33251233,45.5697395774088,3.819243890478,10.3105199649226,2.333164729824342,6.134860400757515,1.8139873233412336,4.2409518373650705,1.4447877339943611,1446576.29608195,14.184710147311144,707.0974201,6.56116845003898
