image_id,count
P8164336,30
P8164337,31
P8164338,23
P8164339,37
P8164340,49
P8164341,4
P8164342,57
P8164343,12
P8164344,25
P8164345,5
P8164346,53
P8164347,11
P8164349,77
P8164350,28
P8164351,75
P8164352,39
P8164353,62
P8164354,18
P8164355,110
P8164356,23
P8164357,90
P8164358,20
P8164359,92
P8164360,16
P8164362,123
P8164363,44
P8164364,92
P8164365,59
P8164366,115
P8164367,12
P8164368,113
P8164369,7
P8164370,84
P8164371,8
P8164372,82
P8164373,8
P8164375,37
P8164376,5
P8164377,50
P8164378,18
P8164379,45
P8164380,24
P8164381,40
P8164382,68
P8164383,42
P8164384,14
P8164385,15
P8164386,58
P8174388,4
P8174389,58
P8174390,50
P8174391,3
P8174392,28
P8174393,1
P8174394,67
P8174395,49
P8174396,3
P8174397,3
P8174398,64
P8174399,67
P8174400,5
P8174402,138
P8174403,21
P8174404,22
P8174405,81
P8174406,78
P8174407,43
P8174408,41
P8174409,119
P8174410,68
P8174411,58
P8174412,101
P8174413,13
P8174415,54
P8174416,31
P8174417,41
P8174418,51
P8174419,59
P8174420,39
P8174421,37
P8174422,54
P8174423,83
P8174424,34
P8174425,39
P8174426,74
P8174428,145
P8174429,30
P8174430,82
P8174431,128
P8174432,56
P8174433,109
P8174434,149
P8174435,65
P8174436,50
P8174437,126
P8174438,128
P8174439,53
P8174441,76
P8174442,3
P8174443,4
P8174444,95
P8174445,51
P8174446,4
P8174447,10
P8174448,98
P8174449,3
P8174450,103
P8174451,99
P8174452,7
P8174454,62
P8174455,107
P8174456,92
P8174457,51
P8174458,14
P8174459,70
P8174460,57
P8174461,28
P8174462,3
P8174463,113
P8174464,76
P8174465,3
P8174467,56
P8174468,0
P8174469,1
P8174470,66
P8174471,12
P8174472,25
P8174473,29
P8174474,19
P8174475,8
P8174476,16
P8174477,25
P8174478,23
P8174480,32
P8174481,39
P8174482,31
P8174483,49
P8174484,61
P8174485,13
P8174486,22
P8174487,54
P8174488,29
P8174489,17
P8174490,18
P8174491,34
P8174493,25
P8174494,34
P8174495,32
P8174496,46
P8174497,11
P8174498,35
P8174499,37
P8174500,21
P8174501,36
P8174502,31
P8174503,28
P8174504,30
P8174506,12
P8174507,47
P8174508,44
P8174509,14
P8174510,2
P8174511,52
P8174512,50
P8174513,3
P8174514,48
P8174515,1
P8174516,1
P8174517,64
P8174519,17
P8174520,12
P8174521,14
P8174522,52
P8174523,19
P8174524,12
P8174525,7
P8174526,42
P8174527,16
P8174528,19
P8174529,41
P8174530,20
P8174532,22
P8174533,36
P8174534,67
P8174535,36
P8174536,25
P8174537,49
P8174538,62
P8174539,50
P8174540,36
P8174541,45
P8174542,52
P8174543,20
P8174545,31
P8174546,27
P8174547,40
P8174548,28
P8174549,6
P8174550,45
P8174551,50
P8174552,6
P8174553,9
P8174554,28
P8174555,51
P8174556,12
P8174558,114
P8174559,15
P8174560,113
P8174561,8
P8174562,16
P8174563,72
P8174564,93
P8174565,35
P8174566,34
P8174567,62
P8174568,89
P8174569,12
P8174571,29
P8174572,55
P8174573,76
P8174574,21
P8174575,24
P8174576,2
P8174577,12
P8174578,90
P8174579,10
P8174580,64
P8174581,15
P8174582,77
P8174584,14
P8174585,44
P8174586,45
P8174587,11
P8174588,17
P8174589,16
P8174590,19
P8174591,50
P8174592,16
P8174593,30
P8174594,40
P8174595,9
P8174597,36
P8174598,33
P8174599,55
P8174600,36
P8174601,32
P8174602,31
P8174603,43
P8174604,26
P8174605,13
P8174606,33
P8174607,67
P8174608,12
P8174610,34
