image_id,count
P8164362,109
P8164363,32
P8164364,84
P8164365,48
P8164366,131
P8164367,10
P8164368,108
P8164369,3
P8164370,88
P8164371,6
P8164372,82
P8164373,4
P8164375,34
P8164376,0
P8164377,52
P8164378,10
P8164379,47
P8164380,11
P8164381,23
P8164382,49
P8164383,41
P8164384,4
P8164385,3
P8164386,52
P8174388,3
P8174389,55
P8174390,50
P8174391,4
P8174392,28
P8174393,0
P8174394,60
P8174395,2
P8174396,2
P8174397,40
P8174398,63
P8174400,0
P8174402,59
P8174403,21
P8174404,20
P8174405,34
P8174406,34
P8174407,37
P8174408,32
P8174409,37
P8174410,23
P8174411,42
P8174412,59
P8174413,6
P8174415,26
P8174416,33
P8174417,39
P8174418,38
P8174419,31
P8174420,44
P8174421,40
P8174422,19
P8174423,29
P8174424,37
P8174425,39
P8174426,22
P8174428,90
P8174429,31
P8174430,82
P8174431,101
P8174432,28
P8174433,108
P8174434,138
P8174435,28
P8174436,25
P8174437,126
P8174438,132
P8174439,30
P8174441,82
P8174442,1
P8174443,0
P8174444,98
P8174445,62
P8174446,2
P8174447,4
P8174448,93
P8174449,3
P8174450,107
P8174451,89
P8174452,3
P8174454,24
P8174455,98
P8174456,89
P8174457,21
P8174458,5
P8174459,69
P8174460,54
P8174461,14
P8174462,3
P8174463,95
P8174464,73
P8174465,1
P8174467,40
P8174468,0
P8174469,1
P8174470,56
P8174471,4
P8174472,26
P8174473,25
P8174474,14
P8174475,7
P8174476,15
P8174477,21
P8174478,15
P8174480,14
P8174481,40
P8174482,27
P8174483,24
P8174484,25
P8174485,12
P8174486,21
P8174487,25
P8174488,16
P8174489,23
P8174490,15
P8174491,17
P8174493,11
P8174494,29
P8174495,32
P8174496,27
P8174497,5
P8174498,31
P8174499,36
P8174500,3
P8174501,21
P8174502,25
P8174503,26
P8174504,11
P8174506,6
P8174507,44
P8174508,46
P8174509,10
P8174510,2
P8174511,43
P8174512,56
P8174513,0
P8174514,48
P8174515,0
P8174516,1
P8174517,60
P8174519,22
P8174520,4
P8174521,5
P8174522,44
P8174523,17
P8174524,4
P8174525,3
P8174526,43
P8174527,6
