image_id,count
P8164362,117
P8164363,36
P8164364,92
P8164365,42
P8164366,122
P8164367,12
P8164368,110
P8164369,4
P8164370,91
P8164371,7
P8164372,91
P8164373,6
P8164375,34
P8164376,2
P8164377,55
P8164378,10
P8164379,50
P8164380,11
P8164381,22
P8164382,49
P8164383,44
P8164384,6
P8164385,5
P8164386,52
P8174388,3
P8174389,53
P8174390,47
P8174391,3
P8174392,29
P8174393,1
P8174394,69
P8174395,1
P8174396,1
P8174397,43
P8174398,63
P8174400,1
P8174402,68
P8174403,24
P8174404,22
P8174405,38
P8174406,36
P8174407,41
P8174408,34
P8174409,38
P8174410,20
P8174411,51
P8174412,64
P8174413,3
P8174415,30
P8174416,33
P8174417,41
P8174418,33
P8174419,29
P8174420,46
P8174421,39
P8174422,22
P8174423,34
P8174424,37
P8174425,37
P8174426,28
P8174428,98
P8174429,31
P8174430,83
P8174431,104
P8174432,32
P8174433,117
P8174434,144
P8174435,29
P8174436,27
P8174437,131
P8174438,131
P8174439,31
P8174441,84
P8174442,1
P8174443,1
P8174444,99
P8174445,59
P8174446,2
P8174447,6
P8174448,97
P8174449,3
P8174450,107
P8174451,95
P8174452,3
P8174454,27
P8174455,98
P8174456,83
P8174457,27
P8174458,8
P8174459,67
P8174460,51
P8174461,15
P8174462,3
P8174463,103
P8174464,73
P8174465,1
P8174467,42
P8174468,0
P8174469,1
P8174470,54
P8174471,4
P8174472,28
P8174473,25
P8174474,13
P8174475,8
P8174476,14
P8174477,23
P8174478,12
P8174480,18
P8174481,41
P8174482,28
P8174483,26
P8174484,30
P8174485,11
P8174486,22
P8174487,26
P8174488,12
P8174489,23
P8174490,17
P8174491,14
P8174493,15
P8174494,26
P8174495,32
P8174496,25
P8174497,6
P8174498,29
P8174499,37
P8174500,3
P8174501,22
P8174502,28
P8174503,23
P8174504,16
P8174506,7
P8174507,49
P8174508,48
P8174509,10
P8174510,2
P8174511,49
P8174512,58
P8174513,1
P8174514,50
P8174515,0
P8174516,0
P8174517,61
P8174519,21
P8174520,7
P8174521,6
P8174522,52
P8174523,16
P8174524,5
P8174525,4
P8174526,48
P8174527,4
P8174528,24
