frag_ID,species_long,species,rep,image_no,image_id
C07,Favites complanata,Fcom,5,1,P8174462
C07,Favites complanata,Fcom,5,2,P8174463
C07,Favites complanata,Fcom,6,1,P8174464
C07,Favites complanata,Fcom,6,2,P8174465
C08,Favites complanata,Fcom,1,1,P8174467
C08,Favites complanata,Fcom,1,2,P8174468
C08,Favites complanata,Fcom,2,1,P8174469
C08,Favites complanata,Fcom,2,2,P8174470
C08,Favites complanata,Fcom,3,1,P8174471
C08,Favites complanata,Fcom,3,2,P8174472
C08,Favites complanata,Fcom,4,1,P8174473
C08,Favites complanata,Fcom,4,2,P8174474
C08,Favites complanata,Fcom,5,1,P8174475
C08,Favites complanata,Fcom,5,2,P8174476
C08,Favites complanata,Fcom,6,1,P8174477
C08,Favites complanata,Fcom,6,2,P8174478
C09,Favites complanata,Fcom,1,1,P8174480
C09,Favites complanata,Fcom,1,2,P8174481
C09,Favites complanata,Fcom,2,1,P8174482
C09,Favites complanata,Fcom,2,2,P8174483
C09,Favites complanata,Fcom,3,1,P8174484
C09,Favites complanata,Fcom,3,2,P8174485
C09,Favites complanata,Fcom,4,1,P8174486
C09,Favites complanata,Fcom,4,2,P8174487
C09,Favites complanata,Fcom,5,1,P8174488
C09,Favites complanata,Fcom,5,2,P8174489
C09,Favites complanata,Fcom,6,1,P8174490
C09,Favites complanata,Fcom,6,2,P8174491
C10,Favites complanata,Fcom,1,1,P8174493
C10,Favites complanata,Fcom,1,2,P8174494
C10,Favites complanata,Fcom,2,1,P8174495
C10,Favites complanata,Fcom,2,2,P8174496
C10,Favites complanata,Fcom,3,1,P8174497
C10,Favites complanata,Fcom,3,2,P8174498
C10,Favites complanata,Fcom,4,1,P8174499
C10,Favites complanata,Fcom,4,2,P8174500
C10,Favites complanata,Fcom,5,1,P8174501
C10,Favites complanata,Fcom,5,2,P8174502
C10,Favites complanata,Fcom,6,1,P8174503
C10,Favites complanata,Fcom,6,2,P8174504
D02,Porites rus,Prus,1,1,P8174506
D02,Porites rus,Prus,1,2,P8174507
D02,Porites rus,Prus,2,1,P8174508
D02,Porites rus,Prus,2,2,P8174509
D02,Porites rus,Prus,3,1,P8174510
D02,Porites rus,Prus,3,2,P8174511
D02,Porites rus,Prus,4,1,P8174512
D02,Porites rus,Prus,4,2,P8174513
D02,Porites rus,Prus,5,1,P8174514
D02,Porites rus,Prus,5,2,P8174515
D02,Porites rus,Prus,6,1,P8174516
D02,Porites rus,Prus,6,2,P8174517
D03,Porites rus,Prus,1,1,P8174519
D03,Porites rus,Prus,1,2,P8174520
D03,Porites rus,Prus,2,1,P8174521
D03,Porites rus,Prus,2,2,P8174522
D03,Porites rus,Prus,3,1,P8174523
D03,Porites rus,Prus,3,2,P8174524
D03,Porites rus,Prus,4,1,P8174525
D03,Porites rus,Prus,4,2,P8174526
D03,Porites rus,Prus,5,1,P8174527
D03,Porites rus,Prus,5,2,P8174528
D03,Porites rus,Prus,6,1,P8174529
D03,Porites rus,Prus,6,2,P8174530
D04,Porites rus,Prus,1,1,P8174532
D04,Porites rus,Prus,1,2,P8174533
D04,Porites rus,Prus,2,1,P8174534
D04,Porites rus,Prus,2,2,P8174535
D04,Porites rus,Prus,3,1,P8174536
D04,Porites rus,Prus,3,2,P8174537
D04,Porites rus,Prus,4,1,P8174538
D04,Porites rus,Prus,4,2,P8174539
D04,Porites rus,Prus,5,1,P8174540
D04,Porites rus,Prus,5,2,P8174541
D04,Porites rus,Prus,6,1,P8174542
D04,Porites rus,Prus,6,2,P8174543
D05,Porites rus,Prus,1,1,P8174545
D05,Porites rus,Prus,1,2,P8174546
D05,Porites rus,Prus,2,1,P8174547
D05,Porites rus,Prus,2,2,P8174548
D05,Porites rus,Prus,3,1,P8174549
D05,Porites rus,Prus,3,2,P8174550
D05,Porites rus,Prus,4,1,P8174551
D05,Porites rus,Prus,4,2,P8174552
D05,Porites rus,Prus,5,1,P8174553
D05,Porites rus,Prus,5,2,P8174554
D05,Porites rus,Prus,6,1,P8174555
D05,Porites rus,Prus,6,2,P8174556
D06,Porites rus,Prus,1,1,P8174558
D06,Porites rus,Prus,1,2,P8174559
D06,Porites rus,Prus,2,1,P8174560
D06,Porites rus,Prus,2,2,P8174561
D06,Porites rus,Prus,3,1,P8174562
D06,Porites rus,Prus,3,2,P8174563
D06,Porites rus,Prus,4,1,P8174564
D06,Porites rus,Prus,4,2,P8174565
D06,Porites rus,Prus,5,1,P8174566
D06,Porites rus,Prus,5,2,P8174567
D06,Porites rus,Prus,6,1,P8174568
D06,Porites rus,Prus,6,2,P8174569
D07,Porites rus,Prus,1,1,P8174571
D07,Porites rus,Prus,1,2,P8174572
D07,Porites rus,Prus,2,1,P8174573
D07,Porites rus,Prus,2,2,P8174574
D07,Porites rus,Prus,3,1,P8174575
D07,Porites rus,Prus,3,2,P8174576
D07,Porites rus,Prus,4,1,P8174577
D07,Porites rus,Prus,4,2,P8174578
D07,Porites rus,Prus,5,1,P8174579
D07,Porites rus,Prus,5,2,P8174580
D07,Porites rus,Prus,6,1,P8174581
D07,Porites rus,Prus,6,2,P8174582
D08,Porites rus,Prus,1,1,P8174584
D08,Porites rus,Prus,1,2,P8174585
D08,Porites rus,Prus,2,1,P8174586
D08,Porites rus,Prus,2,2,P8174587
D08,Porites rus,Prus,3,1,P8174588
D08,Porites rus,Prus,3,2,P8174589
D08,Porites rus,Prus,4,1,P8174590
D08,Porites rus,Prus,4,2,P8174591
D08,Porites rus,Prus,5,1,P8174592
D08,Porites rus,Prus,5,2,P8174593
D08,Porites rus,Prus,6,1,P8174594
D08,Porites rus,Prus,6,2,P8174595
D09,Porites rus,Prus,1,1,P8174597
D09,Porites rus,Prus,1,2,P8174598
D09,Porites rus,Prus,2,1,P8174599
D09,Porites rus,Prus,2,2,P8174600
D09,Porites rus,Prus,3,1,P8174601
D09,Porites rus,Prus,3,2,P8174602
D09,Porites rus,Prus,4,1,P8174603
D09,Porites rus,Prus,4,2,P8174604
D09,Porites rus,Prus,5,1,P8174605
D09,Porites rus,Prus,5,2,P8174606
D09,Porites rus,Prus,6,1,P8174607
D09,Porites rus,Prus,6,2,P8174608
D10,Porites rus,Prus,1,1,P8174610
D10,Porites rus,Prus,1,2,P8174611
D10,Porites rus,Prus,2,1,P8174612
D10,Porites rus,Prus,2,2,P8174613
D10,Porites rus,Prus,3,1,P8174614
D10,Porites rus,Prus,3,2,P8174615
D10,Porites rus,Prus,4,1,P8174616
D10,Porites rus,Prus,4,2,P8174617
D10,Porites rus,Prus,5,1,P8174618
D10,Porites rus,Prus,5,2,P8174619
D10,Porites rus,Prus,6,1,P8174620
D10,Porites rus,Prus,6,2,P8174621
E01,Pocillopora eydouxi,Peyd,1,1,P8174623
E01,Pocillopora eydouxi,Peyd,1,2,P8174624
E01,Pocillopora eydouxi,Peyd,2,1,P8174625
E01,Pocillopora eydouxi,Peyd,2,2,P8174626
