frag_ID,mean_abs,mean_abs_adj,prot_ug_mL,Run,Slurry_vol_ml,prot_ug_total,prot_ug_cm2,full_species,species,blastate_vol_mL,morphology,stress,SA_cm2
E02,0.929666667,0.810666667,531.9228544,RUN2,50,26596.14272,533.9563144,Pocillopora eydouxi,Peyd,50,branching,tolerant,49.80958554
E03,0.738,0.622,470.7396678,RUN3,50,23536.98339,621.9105888,Pocillopora eydouxi,Peyd,50,branching,tolerant,37.84624963
E04,0.886666667,0.770666667,592.8737702,RUN3,50,29643.68851,830.6702673,Pocillopora eydouxi,Peyd,50,branching,tolerant,35.68646872
E05,0.557333333,0.441333333,322.3166107,RUN3,50,16115.83054,656.4653382,Pocillopora eydouxi,Peyd,50,branching,tolerant,24.54940055
E06,1.185,1.069,837.9635048,RUN3,50,41898.17524,672.2549461,Pocillopora eydouxi,Peyd,50,branching,tolerant,62.32483001
E07,0.719666667,0.603666667,455.6782875,RUN3,50,22783.91438,600.2920335,Pocillopora eydouxi,Peyd,50,branching,tolerant,37.95471721
E08,0.384,0.268,179.9181057,RUN3,50,8995.905285,529.8253397,Pocillopora eydouxi,Peyd,50,branching,tolerant,16.97900159
E09,0.843333333,0.727333333,557.274144,RUN3,50,27863.7072,546.14716,Pocillopora eydouxi,Peyd,50,branching,tolerant,51.01868002
E10,0.982333333,0.866333333,671.4667912,RUN3,50,33573.33956,623.47878,Pocillopora eydouxi,Peyd,50,branching,tolerant,53.84840774
F01,0.852,0.736,564.3940692,RUN3,50,28219.70346,957.5117172,Pachyseris rugosa,Prug,50,encrusting,sensitive,29.4719145
F02,0.661,0.545,407.4818704,RUN3,50,20374.09352,238.3329396,Pachyseris rugosa,Prug,50,encrusting,sensitive,85.48584832
F03,1.081333333,0.965333333,752.7982451,RUN3,50,37639.91225,2030.656922,Pachyseris rugosa,Prug,50,encrusting,sensitive,18.53583037
F04,0.879666667,0.763666667,587.1230614,RUN3,50,29356.15307,1227.707584,Pachyseris rugosa,Prug,50,encrusting,sensitive,23.91135597
F05,0.816,0.7,534.8189951,RUN3,50,26740.94975,1362.908252,Pachyseris rugosa,Prug,50,encrusting,sensitive,19.62050616
F06,1.173,1.057,828.1051468,RUN3,50,41405.25734,1398.095354,Pachyseris rugosa,Prug,50,encrusting,sensitive,29.61547453
F07,1.039666667,0.923666667,718.5678352,RUN3,50,35928.39176,2019.660975,Pachyseris rugosa,Prug,50,encrusting,sensitive,17.78931821
F08,1.234333333,1.118333333,878.4923101,RUN3,50,43924.6155,2473.148438,Pachyseris rugosa,Prug,50,encrusting,sensitive,17.76060621
F09,1.201666667,1.085666667,851.6556687,RUN3,50,42582.78344,1335.164184,Pachyseris rugosa,Prug,50,encrusting,sensitive,31.89329369
F10,1.866,1.75,1397.425324,RUN3,50,69871.26618,2670.872677,Pachyseris rugosa,Prug,50,encrusting,sensitive,26.16046312
G01,0.997,0.881,683.5158955,RUN3,50,34175.79478,707.0974201,Echinopora lamellosa,Elam,50,encrusting,sensitive,48.33251233
G02,0.850666667,0.734666667,563.2986961,RUN3,50,28164.9348,872.1934968,Echinopora lamellosa,Elam,50,encrusting,sensitive,32.29207155
G03,0.415333333,0.299333333,205.6593739,RUN3,50,10282.9687,604.6061768,Echinopora lamellosa,Elam,50,encrusting,sensitive,17.0077136
G04,0.702333333,0.586333333,441.438437,RUN3,50,22071.92185,930.772092,Echinopora lamellosa,Elam,50,encrusting,sensitive,23.71356215
G05,1.126,1.01,789.4932444,RUN3,50,39474.66222,1352.428497,Echinopora lamellosa,Elam,50,encrusting,sensitive,29.18798466
G06,0.9919,0.901566667,1113.439137,RUN4,50,55671.95685,2271.294077,Echinopora lamellosa,Elam,50,encrusting,sensitive,24.51111788
G07,0.738566667,0.648233333,791.0082722,RUN4,50,39550.41361,1093.224408,Echinopora lamellosa,Elam,50,encrusting,sensitive,36.17776305
G08,0.960366667,0.870033333,1073.304979,RUN4,50,53665.24897,1515.58562,Echinopora lamellosa,Elam,50,encrusting,sensitive,35.40891933
G09,0.730233333,0.6399,780.4019937,RUN4,50,39020.09969,1648.136814,Echinopora lamellosa,Elam,50,encrusting,sensitive,23.67527948
G10,0.3944,0.304066667,352.9689722,RUN4,50,17648.44861,729.3206642,Echinopora lamellosa,Elam,50,encrusting,sensitive,24.19847603
H01,0.6791,0.588766667,715.3218691,RUN4,50,35766.09346,838.2676232,Montipora aequituberculata,Maeq,50,plating,sensitive,42.66667645
H02,0.413333333,0.323,377.0664368,RUN4,50,18853.32184,735.2958645,Montipora aequituberculata,Maeq,50,plating,sensitive,25.64045679
