"frag_ID","afdw_g_mL","afdw_total_g","afdw_g_cm2","afdw_mg_cm2","dw_g_mL","dw_total_g","dw_g_cm2","dw_mg_cm2","full_species","species","blastate_vol_mL","morphology","stress","SA_cm2"
"A01",0.0068333333333333,0.341666666666665,0.0268806982022027,26.8806982022027,0.0439666666666666,2.19833333333333,0.172954345993685,172.954345993685,"Porites cylindrica","Pcyl",50,"branching","tolerant",12.71048334
"A02",0.00703333333333332,0.351666666666666,0.0284530112917627,28.4530112917627,0.0436,2.18,0.17638170032998,176.38170032998,"Porites cylindrica","Pcyl",50,"branching","tolerant",12.35955882
"A03",0.00613333333333332,0.306666666666666,0.026363627089475,26.363627089475,0.0434,2.17,0.186551317774438,186.551317774438,"Porites cylindrica","Pcyl",50,"branching","tolerant",11.632188
"A04",0.00823333333333331,0.411666666666666,0.0292197183540354,29.2197183540354,0.0445,2.225,0.157928437257641,157.928437257641,"Porites cylindrica","Pcyl",50,"branching","tolerant",14.08865964
"A05",0.00909999999999998,0.454999999999999,0.0255679762111683,25.5679762111683,0.045,2.25,0.126435047198085,126.435047198085,"Porites cylindrica","Pcyl",50,"branching","tolerant",17.79569866
"A06",0.0116333333333333,0.581666666666666,0.0249860123005248,24.9860123005248,0.0509,2.545,0.109322752959603,109.322752959603,"Porites cylindrica","Pcyl",50,"branching","tolerant",23.27969184
"A07",0.00966666666666666,0.483333333333333,0.0184106086578241,18.4106086578241,0.0465666666666667,2.32833333333333,0.0886883458447595,88.6883458447595,"Porites cylindrica","Pcyl",50,"branching","tolerant",26.25297959
"A08",0.0115,0.575,0.0189780362278849,18.9780362278849,0.0492333333333333,2.46166666666667,0.0812479985756118,81.2479985756118,"Porites cylindrica","Pcyl",50,"branching","tolerant",30.29818223
"A09",0.0102666666666667,0.513333333333333,0.0334723592560324,33.4723592560324,0.0474333333333333,2.37166666666667,0.154646646822513,154.646646822513,"Porites cylindrica","Pcyl",50,"branching","tolerant",15.3360368
"A10",0.00976666666666666,0.488333333333333,0.0320287665809549,32.0287665809549,0.0462333333333333,2.31166666666667,0.151617403576056,151.617403576056,"Porites cylindrica","Pcyl",50,"branching","tolerant",15.24671055
