"frag_ID","dw_g_mL","dw_total_g","dw_g_cm2","dw_mg_cm2","species_long","species","blastate_vol_mL","SA_cm2","growth_form"
"C01",0.0445666666666667,2.22833333333333,0.0472935790596489,47.2935790596489,"Favites complanata","Fcom",50,47.1170374,"massive"
"C02",0.0421,2.105,0.066413213504558,66.413213504558,"Favites complanata","Fcom",50,31.69549987,"massive"
"C03",0.0436333333333333,2.18166666666667,0.0544509448855993,54.4509448855993,"Favites complanata","Fcom",50,40.06664478,"massive"
"C04",0.0409333333333333,2.04666666666667,0.0961373180808679,96.1373180808679,"Favites complanata","Fcom",50,21.28899274,"massive"
"C05",0.0438333333333333,2.19166666666667,0.0483010067257253,48.3010067257253,"Favites complanata","Fcom",50,45.3751757,"massive"
"C06",0.0438666666666667,2.19333333333333,0.109126275532754,109.126275532754,"Favites complanata","Fcom",50,20.0990396,"massive"
"C07",0.0428,2.14,0.231374076362837,231.374076362837,"Favites complanata","Fcom",50,9.249091487,"massive"
"C08",0.0421333333333333,2.10666666666667,0.21156962526272,211.56962526272,"Favites complanata","Fcom",50,9.957320972,"massive"
"C09",0.0397,1.985,0.140131907640106,140.131907640106,"Favites complanata","Fcom",50,14.16522499,"massive"
"C10",0.0402333333333333,2.01166666666667,0.119898948768632,119.898948768633,"Favites complanata","Fcom",50,16.77801755,"massive"
"D01",0.0438333333333333,2.19166666666667,0.0966210403230909,96.6210403230909,"Porites rus","Prus",50,22.68312015,"massive"
"D02",0.0418333333333333,2.09166666666667,0.0743686769327964,74.3686769327964,"Porites rus","Prus",50,28.12564043,"massive"
"D03",0.0407666666666667,2.03833333333333,0.13335520027138,133.35520027138,"Porites rus","Prus",50,15.28499323,"massive"
"D04",0.0427,2.135,0.11796381853871,117.96381853871,"Porites rus","Prus",50,18.09876983,"massive"
"D05",0.0427333333333333,2.13666666666667,0.109415597790215,109.415597790215,"Porites rus","Prus",50,19.5279897,"massive"
"D06",0.0430666666666667,2.15333333333333,0.120786489815419,120.786489815419,"Porites rus","Prus",50,17.82760089,"massive"
"D07",0.0434,2.17,0.137049357657334,137.049357657334,"Porites rus","Prus",50,15.83371157,"massive"
"D08",0.0419,2.095,0.153785316295975,153.785316295975,"Porites rus","Prus",50,13.62288709,"massive"
"D09",0.0428666666666667,2.14333333333333,0.23125587952249,231.25587952249,"Porites rus","Prus",50,9.268232824,"massive"
"D10",0.0419666666666667,2.09833333333333,0.306181476937789,306.181476937789,"Porites rus","Prus",50,6.853234083,"massive"
"E01",0.0425666666666667,2.12833333333333,0.0572939802111596,57.2939802111596,"Pocillopora eydouxi","Peyd",50,37.14759082,"branching"
"E02",0.0420666666666667,2.10333333333333,0.0422274811269858,42.2274811269858,"Pocillopora eydouxi","Peyd",50,49.80958554,"branching"
"E03",0.0420666666666667,2.10333333333333,0.0555757401036128,55.5757401036128,"Pocillopora eydouxi","Peyd",50,37.84624963,"branching"
"E04",0.0414666666666667,2.07333333333333,0.0580985849174637,58.0985849174637,"Pocillopora eydouxi","Peyd",50,35.68646872,"branching"
"E05",0.0413666666666667,2.06833333333333,0.0842518875000935,84.2518875000935,"Pocillopora eydouxi","Peyd",50,24.54940055,"branching"
"E06",0.0445,2.225,0.0357000572587683,35.7000572587683,"Pocillopora eydouxi","Peyd",50,62.32483001,"branching"
"E07",0.0416,2.08,0.054802147213785,54.802147213785,"Pocillopora eydouxi","Peyd",50,37.95471721,"branching"
"E08",0.0402333333333333,2.01166666666667,0.11847967950315,118.47967950315,"Pocillopora eydouxi","Peyd",50,16.97900159,"branching"
"E09",0.0431,2.155,0.0422394307174394,42.2394307174394,"Pocillopora eydouxi","Peyd",50,51.01868002,"branching"
