frag_ID,dw_mg_cm2,dw_log,afdw_mg_cm2,afdw_log,chla_ug_cm2_mean,chla_log,chla_pg_sym,chla_sym_log,sym_cm2,sym_log,prot_ug_cm2,prot_log
A01,172.954345993685,5.153027663680845,26.8806982022027,3.2914084901019365,8.171558650884219,2.1006596680182383,4.196543842177646,1.4342612918059974,1947211.55269615,14.481908934176513,1065.456628,6.971158744938231
A02,176.38170032998,5.1726503985654,28.4530112917627,3.348254000024318,5.745886301652785,1.748484172970581,4.177448218724109,1.4297005861321,1375453.62642645,14.134294144802755,1199.313787,7.08950482804419
A03,186.551317774438,5.228706363563086,26.363627089475,3.271985298403553,10.384294487649232,2.340294519310108,3.434845470929841,1.2339719380335168,3023220.28036915,14.921833139240864,1161.361872,7.05734862305516
A04,157.928437257641,5.062142001674651,29.2197183540354,3.3748437674682763,9.335409266503406,2.2338146181861984,3.43852035963055,1.235041250839343,2714949.53937293,14.814283925311129,1318.176605,7.184004700774889
A05,126.435047198085,4.83972871541669,25.5679762111683,3.241340639169175,10.751847783451298,2.375077626635502,6.853849905402555,1.9248105243802085,1568731.14116143,14.265777660219568,1205.95631,7.095028149433563
A06,109.322752959603,4.694304543322402,24.9860123005248,3.2183161603061943,28.648762654634133,3.3551102539081805,9.15699358623135,2.2145179137028697,3128621.02444967,14.956102898169586,2247.635674,7.717634131153372
A07,88.6883458447595,4.48512849223641,18.4106086578241,2.912927055959969,10.69481287877511,2.3697588462406,5.7990506896802465,1.7576942299632303,1844235.10865445,14.427575174241644,1136.410148,7.035629579894403
A08,81.2479985756118,4.3975061879909045,18.9780362278849,2.943282322490882,17.314584041803464,2.8515491545686276,7.311504146832214,1.989449018235363,2368128.86843608,14.67761069429754,2118.486186,7.6584570493939506
A09,154.646646822513,5.0411428165326955,33.4723592560324,3.51072000141642,19.015881789667983,2.94527451367698,6.374388260345315,1.8522881272785956,2983169.68044834,14.908496944362659,1766.935557,7.477002001366015
A10,151.617403576056,5.021360265933688,32.0287665809549,3.4666344546359245,18.41722129718801,2.913286166960701,6.530280052407468,1.8764498294142706,2820280.47026839,14.852346895510705,1694.901997,7.435380199263919
