,Pmax.gross,AQY,Rd,theta,Ik,Ic,Pmax.net,full_species
8,0.989515851,0.011884967,0.34667502,0.942399868,83.25777359,29.16920457,0.642840832,Echinopora lamellosa
9,0.926817634,0.009192779,0.441783174,0.853277125,100.8201853,48.0576327,0.48503446,Pachyseris rugosa
10,0.70113719,0.006770482,0.333031315,0.930388483,103.5579356,49.18871226,0.368105875,Montipora aequituberculata
4,0.846895955,0.006407944,0.40972542,0.990832391,132.1634415,63.94022924,0.437170536,Turbinaria frondens
5,0.97661925,0.00644425,0.308164318,0.829887331,151.5489484,47.82004683,0.668454932,Montipora vietnamensis
6,0.918948791,0.005905147,0.355407099,0.869518854,155.6182814,60.1859892,0.563541692,Favites complanata
7,1.138691835,0.006847677,0.334376547,0.838160181,166.2887724,48.83065273,0.804315288,Acropora hyacinthus
3,1.549678835,0.008351576,0.450874039,0.753910679,185.5552539,53.98670029,1.098804796,Porites rus
2,1.359679596,0.007155837,0.407313301,0.58827932,190.0098599,56.92042708,0.952366295,Pocillopora eydouxi
1,1.613870379,0.00625388,0.384156217,0.425017382,258.0590703,61.42686399,1.229714162,Porites cylindrica
