frag_ID,full_species,species,Frag_type,weight,weight_wWax,dipper,Wax_weight,calc_SA
A01,Porites cylindrica,Pcyl,PI,13.9765,14.2964,CMO,0.3199,13.5814142
A02,Porites cylindrica,Pcyl,PI,13.0378,13.2241,CMO,0.1863,9.319276391
A03,Porites cylindrica,Pcyl,PI,14.0894,14.3472,CMO,0.2578,11.60028577
B01,Montipora vietnamensis,Mvie,PI,13.935,14.2511,CMO,0.3161,13.46018573
B02,Montipora vietnamensis,Mvie,PI,13.9025,14.2542,CMO,0.3517,14.59590508
B03,Montipora vietnamensis,Mvie,PI,19.1134,19.7638,CMO,0.6504,24.12510091
C01,Favites complanata,Fcom,PI,19.8661,20.3728,CMO,0.5067,19.54075059
C02,Favites complanata,Fcom,PI,20.3426,20.9919,CMO,0.6493,24.09000845
C03,Favites complanata,Fcom,PI,37.53,38.6385,CMO,1.1085,38.73951205
D01,Porites rus,Prus,PI,20.5589,21.3676,CMO,0.8087,29.17522377
D02,Porites rus,Prus,PI,23.1477,23.8524,CMO,0.7047,25.85739195
D04,Porites rus,Prus,PI,15.633,15.9589,CMO,0.3259,13.77282757
E01,Pocillopora eydouxi,Peyd,PI,20.1786,20.7755,CMO,0.5969,22.41833165
E02,Pocillopora eydouxi,Peyd,PI,33.2526,34.5565,CMO,1.3039,44.97320761
E03,Pocillopora eydouxi,Peyd,PI,22.2127,23.0778,CMO,0.8651,30.97450949
F01,Pachyseris rugosa,Prug,PI,19.2033,19.8281,CMO,0.6248,23.30840384
F02,Pachyseris rugosa,Prug,PI,16.8337,17.187,CMO,0.3533,14.64694865
F03,Pachyseris rugosa,Prug,PI,19.0646,19.5539,CMO,0.4893,18.9856518
G01,Echinopora lamellosa,Elam,PI,20.6069,21.1713,CMO,0.5644,21.38150921
G02,Echinopora lamellosa,Elam,PI,15.9851,16.2996,CMO,0.3145,13.40914216
G03,Echinopora lamellosa,Elam,PI,17.8492,18.4609,CMO,0.6117,22.89048464
H01,Montipora aequituberculata,Maeq,PI,20.028,20.9045,CMO,0.8765,31.3381949
H02,Montipora aequituberculata,Maeq,PI,17.0948,18.0288,CMO,0.934,33.17257307
H03,Montipora aequituberculata,Maeq,PI,18.5926,19.6288,CMO,1.0362,36.43298089
I01,Turbinaria frondens,Tfro,PI,20.8073,21.2428,CMO,0.4355,17.26931188
I02,Turbinaria frondens,Tfro,PI,19.3644,20.2241,CMO,0.8597,30.80223745
I03,Turbinaria frondens,Tfro,PI,18.6124,19.2423,CMO,0.6299,23.47110521
J01,Acropora hyacinthus,Ahya,PI,13.9425,14.4466,CMO,0.5041,19.45780479
J02,Acropora hyacinthus,Ahya,PI,14.6267,15.0897,CMO,0.463,18.14662318
J03,Acropora hyacinthus,Ahya,PI,14.2375,14.9945,CMO,0.757,27.52587853
A01,Porites cylindrica,Pcyl,TPC,18.4847,19.1539,CMO,0.6692,24.72486281
A02,Porites cylindrica,Pcyl,TPC,17.5975,18.0919,CMO,0.4944,19.14835317
A03,Porites cylindrica,Pcyl,TPC,17.3536,17.8469,CMO,0.4933,19.11326072
A06,Porites cylindrica,Pcyl,TPC,16.2575,16.6976,DMB,0.4401,17.41606213
A07,Porites cylindrica,Pcyl,TPC,14.9013,15.2286,DMB,0.3273,13.81749069
A08,Porites cylindrica,Pcyl,TPC,14.9519,15.2622,DMB,0.3103,13.2751528
B01,Montipora vietnamensis,Mvie,TPC,15.5726,16.0707,CMO,0.4981,19.26639142
B02,Montipora vietnamensis,Mvie,TPC,15.6688,16.1473,CMO,0.4785,18.64110773
B03,Montipora vietnamensis,Mvie,TPC,14.6131,15.0423,CMO,0.4292,17.06832783
B06,Montipora vietnamensis,Mvie,TPC,14.1929,14.5036,DMB,0.3107,13.28791369
B07,Montipora vietnamensis,Mvie,TPC,13.8656,14.1767,DMB,0.3111,13.30067458
B08,Montipora vietnamensis,Mvie,TPC,18.7495,19.3244,DMB,0.5749,21.71648261
C01,Favites complanata,Fcom,TPC,17.5264,18.1634,CMO,0.637,23.69761104
C02,Favites complanata,Fcom,TPC,19.9485,20.6178,CMO,0.6693,24.72805304
C03,Favites complanata,Fcom,TPC,35.4094,36.1328,CMO,0.7234,26.45396363
