sample_ID,species,weight_g,volume_mL,SA_cm2,frag_ID
A01_PI,Pcyl,1,469,1,A01
E01_PI,Peyo,1,462,1,E01
D01_PI,Prus,1,463,1,D01
I01_PI,Tfro,1,465,1,I01
BLANK02_Run1_PI,BLANK,NA,475,NA,BLANK
B01_PI,Mvie,1,467,1,B01
C01_PI,Fcom,1,463,1,C01
J01_PI,Ahya,1,468,1,J01
G01_PI,Elam,1,464,1,G01
F01_PI,Prug,1,465,1,F01
H01_PI,Maeq,1,463,1,H01
BLANK01_Run1_PI,BLANK,NA,475,NA,BLANK
