sample_ID,SGD_number,weight_g,volume_mL,SA_cm2
Cabral_Col5_Dil1_Light,0,26.1804,15,91.21875
Cabral_Col5_Dil2_Light,0.01,19.1802,12,66.9375
Cabral_Col5_Dil3_Light,0.03,17.6857,12,68.82292
Cabral_Col5_Dil4_Light,0.05,28.3623,22,145.03125
Cabral_Col5_Dil5_Light,0.1,19.6728,10,75.54167
Cabral_Col5_Dil6_Light,0.5,16.458,10,52.1875
Cabral_Col5_Dil7_Light,1,24.5513,13,90.85937
Cabral_Col5_Dil8_Light,2,24.3765,13,104.96875
Cabral_Col5_Dil9_Light,4,15.7291,12,52.13542
Cabral_Col5_Dil1_Dark,0,26.1804,15,91.21875
Cabral_Col5_Dil2_Dark,0.01,19.1802,12,66.9375
Cabral_Col5_Dil3_Dark,0.03,17.6857,12,68.82292
Cabral_Col5_Dil4_Dark,0.05,28.3623,22,145.03125
Cabral_Col5_Dil5_Dark,0.1,19.6728,10,75.54167
Cabral_Col5_Dil6_Dark,0.5,16.458,10,52.1875
Cabral_Col5_Dil7_Dark,1,24.5513,13,90.85937
Cabral_Col5_Dil8_Dark,2,24.3765,13,104.96875
Cabral_Col5_Dil9_Dark,4,15.7291,12,52.13542
Cabral_Col6_Dil1_Light,0,33.1973,20,73.53125
Cabral_Col6_Dil2_Light,0.01,20.026,12,89.58854
Cabral_Col6_Dil3_Light,0.03,31.5235,20,105.30729
Cabral_Col6_Dil4_Light,0.05,30.4114,12,91.76562
Cabral_Col6_Dil5_Light,0.1,43.4612,25,138.09375
Cabral_Col6_Dil6_Light,0.5,31.6812,22,138.5625
Cabral_Col6_Dil7_Light,1,34.0625,18,102.91667
Cabral_Col6_Dil8_Light,2,21.1687,12,64.39583
Cabral_Col6_Dil9_Light,4,27.1245,14,75.5625
Cabral_Col6_Dil1_Dark,0,33.1973,20,73.53125
Cabral_Col6_Dil2_Dark,0.01,20.026,12,89.58854
Cabral_Col6_Dil3_Dark,0.03,31.5235,20,105.30729
Cabral_Col6_Dil4_Dark,0.05,30.4114,12,91.76562
Cabral_Col6_Dil5_Dark,0.1,43.4612,25,138.09375
Cabral_Col6_Dil6_Dark,0.5,31.6812,22,138.5625
Cabral_Col6_Dil7_Dark,1,34.0625,18,102.91667
Cabral_Col6_Dil8_Dark,2,21.1687,12,64.39583
Cabral_Col6_Dil9_Dark,4,27.1245,14,75.5625
Cabral_BlankD3_Dil1_Light,0,N/A,0,0
Cabral_BlankD3_Dil2_Light,0.01,N/A,0,0
Cabral_BlankD3_Dil3_Light,0.03,N/A,0,0
Cabral_BlankD3_Dil4_Light,0.05,N/A,0,0
Cabral_BlankD3_Dil5_Light,0.1,N/A,0,0
Cabral_BlankD3_Dil6_Light,0.5,N/A,0,0
Cabral_BlankD3_Dil7_Light,1,N/A,0,0
Cabral_BlankD3_Dil8_Light,2,N/A,0,0
Cabral_BlankD3_Dil9_Light,4,N/A,0,0
Cabral_BlankD3_Dil1_Dark,0,N/A,0,0
Cabral_BlankD3_Dil2_Dark,0.01,N/A,0,0
Cabral_BlankD3_Dil3_Dark,0.03,N/A,0,0
Cabral_BlankD3_Dil4_Dark,0.05,N/A,0,0
Cabral_BlankD3_Dil5_Dark,0.1,N/A,0,0
Cabral_BlankD3_Dil6_Dark,0.5,N/A,0,0
Cabral_BlankD3_Dil7_Dark,1,N/A,0,0
Cabral_BlankD3_Dil8_Dark,2,N/A,0,0
Cabral_BlankD3_Dil9_Dark,4,N/A,0,0
Cabral_Col7_Dil1_Light,0,20.2984,10,65.53125
Cabral_Col7_Dil2_Light,0.01,21.159,8,70.66146
Cabral_Col7_Dil3_Light,0.03,23.9089,11,75.89583
Cabral_Col7_Dil4_Light,0.05,26.81,13,92.86458
Cabral_Col7_Dil5_Light,0.1,29.3809,14,115.66667
Cabral_Col7_Dil6_Light,0.5,19.347,10,58.54167
Cabral_Col7_Dil7_Light,1,19.8876,10,72.11458
Cabral_Col7_Dil8_Light,2,24.2476,14,0
Cabral_Col7_Dil9_Light,4,23.3207,12,90.65625
Cabral_Col7_Dil1_Dark,0,20.2984,10,65.53125
Cabral_Col7_Dil2_Dark,0.01,21.159,8,70.66146
Cabral_Col7_Dil3_Dark,0.03,23.9089,11,75.89583
Cabral_Col7_Dil4_Dark,0.05,26.81,13,92.86458
Cabral_Col7_Dil5_Dark,0.1,29.3809,14,115.66667
Cabral_Col7_Dil6_Dark,0.5,19.347,10,58.54167
Cabral_Col7_Dil7_Dark,1,19.8876,10,72.11458
Cabral_Col7_Dil8_Dark,2,24.2476,14,0
Cabral_Col7_Dil9_Dark,4,23.3207,12,90.65625
Cabral_Col8_Dil1_Light,0,26.2037,12,97.17708
Cabral_Col8_Dil2_Light,0.01,24.9439,13,110.98438
Cabral_Col8_Dil3_Light,0.03,20.5479,11,94.59375
Cabral_Col8_Dil4_Light,0.05,27.6969,14,132.83854
Cabral_Col8_Dil5_Light,0.1,22.5343,12,98.33333
Cabral_Col8_Dil6_Light,0.5,16.7954,8,63.46354
Cabral_Col8_Dil7_Light,1,25.7629,13,92.48438
Cabral_Col8_Dil8_Light,2,29.0183,14,135.30208
Cabral_Col8_Dil9_Light,4,16.4498,8,61.42708
Cabral_Col8_Dil1_Dark,0,26.2037,12,97.17708
Cabral_Col8_Dil2_Dark,0.01,24.9439,13,110.98438
Cabral_Col8_Dil3_Dark,0.03,20.5479,11,94.59375
Cabral_Col8_Dil4_Dark,0.05,27.6969,14,132.83854
Cabral_Col8_Dil5_Dark,0.1,22.5343,12,98.33333
Cabral_Col8_Dil6_Dark,0.5,16.7954,8,63.46354
Cabral_Col8_Dil7_Dark,1,25.7629,13,92.48438
Cabral_Col8_Dil8_Dark,2,29.0183,14,135.30208
Cabral_Col8_Dil9_Dark,4,16.4498,8,61.42708
Cabral_BlankD4_Dil1_Light,0,N/A,0,0
Cabral_BlankD4_Dil2_Light,0.01,N/A,0,0
Cabral_BlankD4_Dil3_Light,0.03,N/A,0,0
Cabral_BlankD4_Dil4_Light,0.05,N/A,0,0
Cabral_BlankD4_Dil5_Light,0.1,N/A,0,0
Cabral_BlankD4_Dil6_Light,0.5,N/A,0,0
Cabral_BlankD4_Dil7_Light,1,N/A,0,0
Cabral_BlankD4_Dil8_Light,2,N/A,0,0
Cabral_BlankD4_Dil9_Light,4,N/A,0,0
Cabral_BlankD4_Dil1_Dark,0,N/A,0,0
Cabral_BlankD4_Dil2_Dark,0.01,N/A,0,0
Cabral_BlankD4_Dil3_Dark,0.03,N/A,0,0
Cabral_BlankD4_Dil4_Dark,0.05,N/A,0,0
Cabral_BlankD4_Dil5_Dark,0.1,N/A,0,0
Cabral_BlankD4_Dil6_Dark,0.5,N/A,0,0
Cabral_BlankD4_Dil7_Dark,1,N/A,0,0
Cabral_BlankD4_Dil8_Dark,2,N/A,0,0
Cabral_BlankD4_Dil9_Dark,4,N/A,0,0
Cabral_Col9_Dil1_Light,0,28.822,10,96.14063
Cabral_Col9_Dil2_Light,0.01,18.9872,16,59.51042
Cabral_Col9_Dil3_Light,0.03,24.4498,10,108.20833
Cabral_Col9_Dil4_Light,0.05,15.0271,2,52.65104
Cabral_Col9_Dil5_Light,0.1,27.0149,10,102.99479
Cabral_Col9_Dil6_Light,0.5,29.423,11,115.58854
Cabral_Col9_Dil7_Light,1,22.2288,9,61.42187
Cabral_Col9_Dil8_Light,2,28.7351,12,95.55729
Cabral_Col9_Dil9_Light,4,25.5787,5,75.96354
Cabral_Col9_Dil1_Dark,0,28.822,10,96.14063
Cabral_Col9_Dil2_Dark,0.01,18.9872,16,59.51042
Cabral_Col9_Dil3_Dark,0.03,24.4498,10,108.20833
Cabral_Col9_Dil4_Dark,0.05,15.0271,2,52.65104
Cabral_Col9_Dil5_Dark,0.1,27.0149,10,102.99479
Cabral_Col9_Dil6_Dark,0.5,29.423,11,115.58854
Cabral_Col9_Dil7_Dark,1,22.2288,9,61.42187
Cabral_Col9_Dil8_Dark,2,28.7351,12,95.55729
Cabral_Col9_Dil9_Dark,4,25.5787,5,75.96354
Cabral_Col10_Dil1_Light,0,22.5718,8,95.09896
Cabral_Col10_Dil2_Light,0.01,22.4575,7,73.56771
Cabral_Col10_Dil3_Light,0.03,34.9232,12,160.01042
Cabral_Col10_Dil4_Light,0.05,25.5783,12,99.38021
Cabral_Col10_Dil5_Light,0.1,24.5449,7,90.65104
Cabral_Col10_Dil6_Light,0.5,29.1279,11,127.89583
Cabral_Col10_Dil7_Light,1,29.1314,11,126.68229
Cabral_Col10_Dil8_Light,2,26.2201,9,89.07292
Cabral_Col10_Dil9_Light,4,24.4871,4,82.11979
Cabral_Col10_Dil1_Dark,0,22.5718,8,95.09896
Cabral_Col10_Dil2_Dark,0.01,22.4575,7,73.56771
Cabral_Col10_Dil3_Dark,0.03,34.9232,12,160.01042
Cabral_Col10_Dil4_Dark,0.05,25.5783,12,99.38021
Cabral_Col10_Dil5_Dark,0.1,24.5449,7,90.65104
Cabral_Col10_Dil6_Dark,0.5,29.1279,11,127.89583
Cabral_Col10_Dil7_Dark,1,29.1314,11,126.68229
Cabral_Col10_Dil8_Dark,2,26.2201,9,89.07292
Cabral_Col10_Dil9_Dark,4,24.4871,4,82.11979
Cabral_BlankD5_Dil1_Light,0,N/A,0,0
Cabral_BlankD5_Dil2_Light,0.01,N/A,0,0
Cabral_BlankD5_Dil3_Light,0.03,N/A,0,0
Cabral_BlankD5_Dil4_Light,0.05,N/A,0,0
Cabral_BlankD5_Dil5_Light,0.1,N/A,0,0
Cabral_BlankD5_Dil6_Light,0.5,N/A,0,0
Cabral_BlankD5_Dil7_Light,1,N/A,0,0
Cabral_BlankD5_Dil8_Light,2,N/A,0,0
Cabral_BlankD5_Dil9_Light,4,N/A,0,0
Cabral_BlankD5_Dil1_Dark,0,N/A,0,0
Cabral_BlankD5_Dil2_Dark,0.01,N/A,0,0
Cabral_BlankD5_Dil3_Dark,0.03,N/A,0,0
Cabral_BlankD5_Dil4_Dark,0.05,N/A,0,0
Cabral_BlankD5_Dil5_Dark,0.1,N/A,0,0
Cabral_BlankD5_Dil6_Dark,0.5,N/A,0,0
Cabral_BlankD5_Dil7_Dark,1,N/A,0,0
Cabral_BlankD5_Dil8_Dark,2,N/A,0,0
Cabral_BlankD5_Dil9_Dark,4,N/A,0,0
Cabral_Col11_Dil1_Light,0,20.9777,9,61.01563
Cabral_Col11_Dil2_Light,0.01,32.2773,4,142.45313
Cabral_Col11_Dil3_Light,0.03,19.3413,12,81.23438
Cabral_Col11_Dil4_Light,0.05,34.0265,12,122.16146
Cabral_Col11_Dil5_Light,0.1,25.2859,11,112.73437
Cabral_Col11_Dil6_Light,0.5,31.4734,12,137.19792
Cabral_Col11_Dil7_Light,1,30.6992,12,128.13542
Cabral_Col11_Dil8_Light,2,34.7524,10,131.68229
Cabral_Col11_Dil9_Light,4,32.691,13,140.32292
Cabral_Col11_Dil1_Dark,0,20.9777,9,61.01563
Cabral_Col11_Dil2_Dark,0.01,32.2773,4,142.45313
Cabral_Col11_Dil3_Dark,0.03,19.3413,12,81.23438
