new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL,TrisCalDate,SGD_dil,temp_C,new_pH
13,8.14,Cabral_Col5_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.374503811,0.313661881,0.05,3.38,0.16,0.52,6/14/23,1,27.11,7.966742367
14,8.14,Cabral_Col6_Dil1_Light,0,Cabral,36.6,6/10/23,LIGHT,NP,0.471963898,0.396486808,0.05,3.38,0.16,0.52,6/14/23,1,27.11,7.966742367
15,8.09,Cabral_Col7_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.467784968,0.413819533,0.03,4.24,0.54,21.41,6/14/23,1,27.436,8.012209319
16,8.09,Cabral_Col8_Dil1_Light,0,Cabral,36.5,6/11/23,LIGHT,NP,0.422326708,0.38593518,0.03,4.24,0.54,21.41,6/14/23,1,27.436,8.012209319
18,8.06,Cabral_Col10_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.468053829,0.441552607,0.03,2.58,0.23,0.16,6/14/23,1,28.172,7.976166127
17,8.06,Cabral_Col9_Dil1_Light,0,Cabral,36.3,6/12/23,LIGHT,NP,0.43692549,0.410711405,0.03,2.58,0.23,0.16,6/14/23,1,28.172,7.976166127
1,8.06,Varari_Col1_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.369581793,0.279429969,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177
2,8.06,Varari_Col2_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.535926764,0.447387632,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177
3,8.06,Varari_Col3_Dil1_Light,0,Varari,37.3,6/17/23,LIGHT,NP,0.567887303,0.511837977,0.03,4.88,2.52,4.96,6/14/23,1,27.714,7.994816177
4,8.09,Varari_Col4_Dil1_Light,0,Varari,36.4,6/18/23,LIGHT,NP,0.283526964,0.25317391,0.05,3.63,0.99,1.49,6/14/23,1,28.695,8.012340938
6,8.09,Varari_Col6_Dil1_Light,0,Varari,36.4,6/21/23,LIGHT,NP,0.740028239,0.601528804,0.1,2.27,0.48,6.9,6/14/23,1,29.092,8.00330754
7,8.08,Varari_Col7_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.509173651,0.461445007,0.03,2.45,0.6,4.44,6/14/23,1,28.503,8.003403586
8,8.08,Varari_Col8_Dil1_Light,0,Varari,36.4,6/22/23,LIGHT,NP,0.429093387,0.394074252,0.03,2.45,0.6,4.44,6/14/23,1,28.503,8.003403586
13,8.05,Cabral_Col5_Dil2_Light,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.355360626,0.314622678,0.05,3.49,1.04,0.57,6/14/23,2,27.224,7.969949566
14,8.05,Cabral_Col6_Dil2_Light,0.01,Cabral,36.5,6/10/23,LIGHT,NP,0.483220461,0.452782456,0.05,3.49,1.04,0.57,6/14/23,2,27.224,7.969949566
15,8.09,Cabral_Col7_Dil2_Light,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.385668716,0.351470259,0.03,3.04,1.02,17.21,6/14/23,2,27.345,8.008691364
16,8.09,Cabral_Col8_Dil2_Light,0.01,Cabral,36.6,6/11/23,LIGHT,NP,0.413612875,0.391839424,0.03,3.04,1.02,17.21,6/14/23,2,27.345,8.008691364
18,8.08,Cabral_Col10_Dil2_Light,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.46294076,0.397618195,0.03,2.98,0.07,<0.02,6/14/23,2,27.982,7.991198619
17,8.08,Cabral_Col9_Dil2_Light,0.01,Cabral,36.6,6/12/23,LIGHT,NP,0.56579967,0.485046896,0.03,2.98,0.07,<0.02,6/14/23,2,27.982,7.991198619
1,8.09,Varari_Col1_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.45151527,0.405453516,0.06,4.51,4.67,4.07,6/14/23,2,27.764,8.021108644
2,8.09,Varari_Col2_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.478156832,0.426818299,0.06,4.51,4.67,4.07,6/14/23,2,27.764,8.021108644
3,8.09,Varari_Col3_Dil2_Light,0.01,Varari,37.4,6/17/23,LIGHT,NP,0.473132983,0.448141994,0.06,4.51,4.67,4.07,6/14/23,2,27.764,8.021108644
4,8.01,Varari_Col4_Dil2_Light,0.01,Varari,36.7,6/18/23,LIGHT,NP,0.288550064,0.273938655,0.07,3.65,3.26,3.59,6/14/23,2,28.644,7.926842749
5,8.11,Varari_Col5_Dil2_Light,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.312219543,0.239217348,0.04,1.78,0.52,1.77,6/14/23,2,29.187,8.025282823
6,8.11,Varari_Col6_Dil2_Light,0.01,Varari,36.4,6/21/23,LIGHT,NP,0.705235194,0.618488825,0.04,1.78,0.52,1.77,6/14/23,2,29.187,8.025282823
7,8.05,Varari_Col7_Dil2_Light,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.51793649,0.473624654,0.06,2.55,0.72,1.64,6/14/23,2,27.7,7.981415001
8,8.05,Varari_Col8_Dil2_Light,0.01,Varari,36.4,6/22/23,LIGHT,NP,0.417207919,0.378259561,0.06,2.55,0.72,1.64,6/14/23,2,27.7,7.981415001
13,8.07,Cabral_Col5_Dil3_Light,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.347876683,0.326630747,0.04,4.11,0.28,0.7,6/14/23,3,26.984,7.998755982
14,8.07,Cabral_Col6_Dil3_Light,0.03,Cabral,36.6,6/10/23,LIGHT,NP,0.387072463,0.373187314,0.04,4.11,0.28,0.7,6/14/23,3,26.984,7.998755982
15,8.08,Cabral_Col7_Dil3_Light,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.400264429,0.377259279,0.04,5.16,1.78,2.98,6/14/23,3,27.68,8.000333893
16,8.08,Cabral_Col8_Dil3_Light,0.03,Cabral,36.5,6/11/23,LIGHT,NP,0.282907334,0.264449508,0.04,5.16,1.78,2.98,6/14/23,3,27.68,8.000333893
18,8.05,Cabral_Col10_Dil3_Light,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.278678271,0.249378065,0.07,3.15,0.8,6.67,6/14/23,3,28.395,7.963168175
17,8.05,Cabral_Col9_Dil3_Light,0.03,Cabral,36.4,6/12/23,LIGHT,NP,0.638819376,0.595492414,0.07,3.15,0.8,6.67,6/14/23,3,28.395,7.963168175
1,8.07,Varari_Col1_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.260825531,0.235534481,0.07,4.53,3.03,4.95,6/14/23,3,27.81,8.002025445
2,8.07,Varari_Col2_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.397421245,0.353271917,0.07,4.53,3.03,4.95,6/14/23,3,27.81,8.002025445
3,8.07,Varari_Col3_Dil3_Light,0.03,Varari,37.4,6/17/23,LIGHT,NP,0.26468585,0.224052606,0.07,4.53,3.03,4.95,6/14/23,3,27.81,8.002025445
4,8.06,Varari_Col4_Dil3_Light,0.03,Varari,36.7,6/18/23,LIGHT,NP,0.126648216,0.116804714,0.03,3.14,2.63,0.52,6/14/23,3,28.724,7.974131193
5,8.12,Varari_Col5_Dil3_Light,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.331510334,0.299027514,0.04,1.93,1.79,7.35,6/14/23,3,29.115,8.032791308
6,8.12,Varari_Col6_Dil3_Light,0.03,Varari,36.3,6/21/23,LIGHT,NP,0.499724251,0.465985177,0.04,1.93,1.79,7.35,6/14/23,3,29.115,8.032791308
7,8.1,Varari_Col7_Dil3_Light,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.311256861,0.287789783,0.11,2.39,0.83,1.67,6/14/23,3,28.492,8.023610541
8,8.1,Varari_Col8_Dil3_Light,0.03,Varari,36.4,6/22/23,LIGHT,NP,0.335986956,0.319350499,0.11,2.39,0.83,1.67,6/14/23,3,28.492,8.023610541
