sample_ID,Intercept,umol.L.sec,Temp.C,Light_level,Light_value,run_block
A01_PI,95.43933145161293,-0.029445967741935673,28.779829787234043,1,0,RUN1
E01_PI,96.35550221543157,-0.06432987012986936,28.72259574468085,1,0,RUN1
D01_PI,94.15943929983064,-0.06725861095426357,28.815021276595743,1,0,RUN1
I01_PI,97.57209102449826,-0.0572463333603434,28.83904255319149,1,0,RUN1
BLANK02_Run1_PI,99.85906696329249,-4.031145717456583e-4,28.680333333333333,1,0,RUN1
B01_PI,98.53132102564103,-0.029646495726495255,28.683104166666666,1,0,RUN1
C01_PI,96.00414860574864,-0.03265070785070819,28.574468085106382,1,0,RUN1
J01_PI,95.55881341463413,-0.04000121951219498,28.554617021276595,1,0,RUN1
G01_PI,94.67464942528736,-0.05217816091953994,28.54473913043478,1,0,RUN1
F01_PI,91.11299411764705,-0.05254264705882325,28.684782608695652,1,0,RUN1
H01_PI,83.96435775248936,-0.09422403982930337,28.668260869565216,1,0,RUN1
BLANK01_Run1_PI,99.03157777777781,0.001443478260868825,28.659565217391304,1,0,RUN1
A01_PI,93.44204325513194,4.7232404692159236e-4,28.76446153846154,2,51,RUN1
E01_PI,92.14388987558992,-0.012696525096525297,28.69317948717949,2,51,RUN1
D01_PI,89.83837210615471,7.221908526262749e-4,28.752333333333333,2,51,RUN1
I01_PI,93.72186774193547,-0.015783467741934815,28.74746153846154,2,51,RUN1
BLANK02_Run1_PI,99.88068078817727,-0.002787192118225206,28.66628205128205,2,51,RUN1
B01_PI,96.30468226600992,3.699507389151496e-4,28.666102564102566,2,51,RUN1
C01_PI,94.00872549019608,0.0013609625668447609,28.70048717948718,2,51,RUN1
J01_PI,92.97658845811054,0.004181149732619552,28.653846153846153,2,51,RUN1
G01_PI,91.52564069264072,0.03044155844155735,28.62374358974359,2,51,RUN1
F01_PI,87.42483549783547,-0.018883116883115923,28.73625641025641,2,51,RUN1
H01_PI,77.7920024630542,-0.022435960591133182,28.707538461538462,2,51,RUN1
BLANK01_Run1_PI,99.13794648093833,-0.0035995234604086646,28.68825641025641,2,51,RUN1
A01_PI,93.56551999999999,0.019323076923077102,28.76582051282051,3,98,RUN1
E01_PI,91.65482251082251,0.020949350649350117,28.685333333333332,3,98,RUN1
D01_PI,90.065124137931,0.03975328142380547,28.73628205128205,3,98,RUN1
I01_PI,92.94833992094858,0.005809147374365975,28.729076923076924,3,98,RUN1
