rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,PR,species,sample_ID,species_ID,weight_g,volume_mL,frag_ID,SA_cm2,full_species
0.69,33.11,1.86,82.32,0.31,NA,1.49,49.21,80.46,7.74,NA,Respiration,Pcyl,A01_TPC,A,1,463,A01,24.72486281,Porites cylindrica
0.69,33.11,1.86,82.32,0.31,NA,1.49,49.21,80.46,7.74,NA,Respiration,Pcyl,A02_TPC,A,1,459,A02,19.14835317,Porites cylindrica
0.69,33.11,1.86,82.32,0.31,NA,1.49,49.21,80.46,7.74,NA,Respiration,Pcyl,A03_TPC,A,1,461,A03,19.11326072,Porites cylindrica
0.69,33.11,1.86,82.32,0.31,NA,1.49,49.21,80.46,7.74,NA,Respiration,Pcyl,A06_TPC,A,1,464,A06,17.41606213,Porites cylindrica
0.69,33.11,1.86,82.32,0.31,NA,1.49,49.21,80.46,7.74,NA,Respiration,Pcyl,A07_TPC,A,1,462,A07,13.81749069,Porites cylindrica
0.69,33.11,1.86,82.32,0.31,NA,1.49,49.21,80.46,7.74,NA,Respiration,Pcyl,A08_TPC,A,1,464,A08,13.2751528,Porites cylindrica
0.63,34,7.22,Inf,0.34,NA,1.54,Inf,Inf,6.69,NA,Respiration,Fcom,C01_TPC,C,1,462,C01,23.69761104,Favites complanata
0.63,34,7.22,Inf,0.34,NA,1.54,Inf,Inf,6.69,NA,Respiration,Fcom,C02_TPC,C,1,460,C02,24.72805304,Favites complanata
0.63,34,7.22,Inf,0.34,NA,1.54,Inf,Inf,6.69,NA,Respiration,Fcom,C03_TPC,C,1,452,C03,26.45396363,Favites complanata
0.63,34,7.22,Inf,0.34,NA,1.54,Inf,Inf,6.69,NA,Respiration,Fcom,C06_TPC,C,1,456,C06,18.47840636,Favites complanata
0.63,34,7.22,Inf,0.34,NA,1.54,Inf,Inf,6.69,NA,Respiration,Fcom,C07_TPC,C,1,463,C07,12.85404337,Favites complanata
