date,species,sample_ID,frag_ID,run_block,SA_cm2,chamber_channel,temp_c_level,temp_c_value,PR,Values,id_block,full_ID,outlier_run,outlier_block,outlier_ids,outlier_any,full_species
2025-08-01,Elam,G01_TPC,G01,RUN1,20.38296944,2,1,24.5,Respiration,0.37249847991644947,G01_TPC RUN1 Respiration,G01_TPC RUN1 24.5 Respiration,FALSE,FALSE,FALSE,FALSE,Echinopora lamellosa
2025-08-01,Elam,G01_TPC,G01,RUN1,20.38296944,2,1,24.5,NetPhoto,0.7178391488272683,G01_TPC RUN1 NetPhoto,G01_TPC RUN1 24.5 NetPhoto,FALSE,FALSE,FALSE,FALSE,Echinopora lamellosa
2025-08-01,Elam,G01_TPC,G01,RUN1,20.38296944,2,1,24.5,GrossPhoto,1.090337628743718,G01_TPC RUN1 GrossPhoto,G01_TPC RUN1 24.5 GrossPhoto,FALSE,FALSE,FALSE,FALSE,Echinopora lamellosa
2025-08-01,Fcom,C01_TPC,C01,RUN1,23.69761104,3,1,24.5,Respiration,0.33419814746205395,C01_TPC RUN1 Respiration,C01_TPC RUN1 24.5 Respiration,FALSE,FALSE,FALSE,FALSE,Favites complanata
2025-08-01,Fcom,C01_TPC,C01,RUN1,23.69761104,3,1,24.5,NetPhoto,0.7315115615296514,C01_TPC RUN1 NetPhoto,C01_TPC RUN1 24.5 NetPhoto,FALSE,FALSE,FALSE,FALSE,Favites complanata
2025-08-01,Fcom,C01_TPC,C01,RUN1,23.69761104,3,1,24.5,GrossPhoto,1.0657097089917054,C01_TPC RUN1 GrossPhoto,C01_TPC RUN1 24.5 GrossPhoto,FALSE,FALSE,FALSE,FALSE,Favites complanata
2025-08-01,Peyd,E01_TPC,E01,RUN1,33.93822657,5,1,24.5,Respiration,0.3707926275822228,E01_TPC RUN1 Respiration,E01_TPC RUN1 24.5 Respiration,FALSE,FALSE,FALSE,FALSE,Pocillopora eydouxi
2025-08-01,Peyd,E01_TPC,E01,RUN1,33.93822657,5,1,24.5,NetPhoto,0.5992639570977295,E01_TPC RUN1 NetPhoto,E01_TPC RUN1 24.5 NetPhoto,FALSE,FALSE,FALSE,FALSE,Pocillopora eydouxi
2025-08-01,Peyd,E01_TPC,E01,RUN1,33.93822657,5,1,24.5,GrossPhoto,0.9700565846799524,E01_TPC RUN1 GrossPhoto,E01_TPC RUN1 24.5 GrossPhoto,FALSE,FALSE,FALSE,FALSE,Pocillopora eydouxi
2025-08-01,Ahya,J01_TPC,J01,RUN1,16.22929921,7,1,24.5,Respiration,0.31162630580692574,J01_TPC RUN1 Respiration,J01_TPC RUN1 24.5 Respiration,FALSE,FALSE,FALSE,FALSE,Acropora hyacinthus
