rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,PR,frag_ID,sample_ID,weight_g,volume_mL,SA_cm2,species
14.81,34,3.22,83.24,0.4,NA,NA,49.24,80.02,5.96,NA,Respiration,A01,A01_TPC,1,463,24.72486281,Pcyl
12.31,33.47,6.5,62.73,0.59,NA,NA,29.26,56.24,5.8,NA,Respiration,G01,G01_TPC,1,460,20.38296944,Elam
14.16,34,2.62,Inf,0.42,NA,NA,Inf,Inf,5.53,NA,Respiration,I01,I01_TPC,1,468,26.20193602,Tfro
12.55,32.05,2,56.08,0.46,NA,NA,24.04,54.09,7.3,NA,Respiration,H01,H01_TPC,1,461,32.84078989,Maeq
12.86,32.56,6.3,54.75,0.55,NA,NA,22.19,48.45,6.17,NA,Respiration,G02,G02_TPC,1,461,16.88329491,Elam
14.99,30.85,16.93,Inf,0.59,0.15,NA,Inf,Inf,7.8,0.45,Respiration,A02,A02_TPC,1,459,19.14835317,Pcyl
5.05,31.4,16.35,Inf,0.52,NA,NA,Inf,Inf,8.17,NA,Respiration,H02,H02_TPC,1,455,37.79520607,Maeq
13.91,29.6,19.52,Inf,0.56,0.05,NA,Inf,Inf,8.79,0.51,Respiration,A03,A03_TPC,1,461,19.11326072,Pcyl
16.84,30.92,15.66,54.8,0.98,0.36,3.51,23.88,39.14,6.43,0.63,Respiration,C03,C03_TPC,1,452,26.45396363,Fcom
13.6,34,16.94,Inf,0.38,NA,NA,Inf,Inf,6.71,NA,Respiration,G05,G05_TPC,1,465,17.26931188,Elam
13.3,31.79,2.42,56.73,0.44,NA,NA,24.94,54.31,7.53,NA,Respiration,D03,D03_TPC,1,463,17.32354567,Prus
2.36,34,24.54,Inf,1.15,NA,4.26,Inf,Inf,4.24,NA,Respiration,J06,J06_TPC,1,466,15.5880644,Ahya
7.21,29.03,19.14,Inf,0.77,-0.08,2.69,Inf,Inf,8.73,0.85,Respiration,A06,A06_TPC,1,464,17.41606213,Pcyl
4.25,29.33,16.93,Inf,0.77,0.03,2.68,Inf,Inf,8.5,0.74,Respiration,H06,H06_TPC,1,465,24.44093297,Maeq
-4.2,24.5,24.5,24.5,NA,-0.28,NA,0,0,-Inf,NA,Respiration,C06,C06_TPC,1,456,18.47840636,Fcom
8.5,31.02,18.52,Inf,0.74,NA,2.59,Inf,Inf,6.99,NA,Respiration,D06,D06_TPC,1,462,16.312245,Prus
4.18,26.66,21.97,Inf,NA,0.34,NA,Inf,Inf,6.58,NA,Respiration,B06,B06_TPC,1,466,13.28791369,Mvie
14.83,31.84,-2.66,61.2,0.36,NA,NA,29.36,63.86,8.44,NA,Respiration,F07,F07_TPC,1,444,25.48732609,Prug
13.57,28.47,21.17,Inf,0.94,0.06,3.37,Inf,Inf,8.66,0.88,Respiration,D07,D07_TPC,1,465,13.26877235,Prus
13.65,34,21.43,Inf,0.19,NA,NA,Inf,Inf,9.04,NA,Respiration,I07,I07_TPC,1,466,10.84739316,Tfro
9.25,34,22.1,Inf,0.36,NA,NA,Inf,Inf,7.92,NA,Respiration,G07,G07_TPC,1,462,20.22026807,Elam
7.95,34,21.29,Inf,0.28,NA,NA,Inf,Inf,8.07,NA,Respiration,H07,H07_TPC,1,468,19.99695246,Maeq
8.36,33.56,1.13,71.7,0.43,NA,NA,38.13,70.56,6.95,NA,Respiration,H08,H08_TPC,1,466,15.57211329,Maeq
