rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,species
0.02,26.95,-Inf,50.76,0.03,0.29,1.04,23.81,Inf,8.79,-0.26,Pcyl
0.02,28.17,13.23,51.7,0.6,0.7,2.17,23.54,38.48,6.99,-0.1,Elam
0.02,30.03,-14.23,39.78,0.32,1.2,1.5,9.75,54.01,8.27,-0.88,Fcom
0.02,28.99,-11.27,41.35,0.36,0.77,1.58,12.36,52.62,7.9,-0.41,Prug
0.02,28.6,-Inf,41.72,0.19,0.71,1.28,13.13,Inf,8,-0.52,Peyd
0.02,28.61,6.38,44.7,0.58,0.76,2.1,16.09,38.32,7.16,-0.19,Ahya
0.01,29.25,-Inf,42.07,0.28,0.6,1.43,12.81,Inf,8.57,-0.33,Tfro
0.01,29.4,-Inf,38.09,0.28,1.23,1.43,8.7,Inf,7.82,-0.96,Mvie
0.01,28.2,-11.74,44.8,0.23,0.66,1.35,16.59,56.54,7.88,-0.42,Maeq
0.02,28.68,-Inf,44.68,0.13,0.48,1.19,16,Inf,8.69,-0.35,Prus
