start_time,stop_time,date,frag_ID,sample_ID,FileID_csv,light_dark,run_block,blank,chamber_channel,temp_c_level,temp_c_value,weight_g,volume_mL,SA_cm2,species
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,A01,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,1,24.5,1,463,24.72486281,Pcyl
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,G01,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,1,24.5,1,460,20.38296944,Elam
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,C01,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,1,24.5,1,462,23.69761104,Fcom
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,F01,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,1,24.5,1,464,14.38535037,Prug
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,E01,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,1,24.5,1,460,33.93822657,Peyd
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,BLANK1_Run1,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,1,24.5,NA,475,NA,BLANK
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,J01,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,1,24.5,1,465,16.22929921,Ahya
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,I01,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,1,24.5,1,468,26.20193602,Tfro
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,BLANK2_Run1,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,1,24.5,NA,475,NA,BLANK
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,B01,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,1,24.5,1,462,19.26639142,Mvie
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,H01,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,1,24.5,1,461,32.84078989,Maeq
2025-08-01T06:35:00Z,2025-08-01T06:56:00Z,2025-08-01,D01,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,1,24.5,1,460,28.54674986,Prus
2025-08-01T06:58:00Z,2025-08-01T07:19:00Z,2025-08-01,A01,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,1,24.5,1,463,24.72486281,Pcyl
2025-08-01T06:58:00Z,2025-08-01T07:19:00Z,2025-08-01,G01,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,1,24.5,1,460,20.38296944,Elam
2025-08-01T06:58:00Z,2025-08-01T07:19:00Z,2025-08-01,C01,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,1,24.5,1,462,23.69761104,Fcom
2025-08-01T06:58:00Z,2025-08-01T07:19:00Z,2025-08-01,F01,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,1,24.5,1,464,14.38535037,Prug
2025-08-01T06:58:00Z,2025-08-01T07:19:00Z,2025-08-01,E01,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,1,24.5,1,460,33.93822657,Peyd
