date,species,sample_ID,frag_ID,light_dark,run_block,SA_cm2,mmol.cm2.hr,chamber_channel,Temp.C,mmol.cm2.hr_uncorr,temp_c_level,temp_c_value
2025-08-01,Pcyl,A01_TPC,A01,DARK,RUN1,1,-0.23168456974251275,1,24.740280701754383,-0.23643648648648496,1,24.5
2025-08-01,Elam,G01_TPC,G01,DARK,RUN1,1,-0.14936607309637767,2,24.64498245614035,-0.1541179898403499,1,24.5
2025-08-01,Fcom,C01_TPC,C01,DARK,RUN1,1,-0.16028558325602807,3,24.705526315789474,-0.1650375000000003,1,24.5
2025-08-01,Prug,F01_TPC,F01,DARK,RUN1,1,-0.07770662761086415,4,24.689122807017544,-0.08245854435483638,1,24.5
2025-08-01,Peyd,E01_TPC,E01,DARK,RUN1,1,-0.24047297426972394,5,24.607245614035087,-0.24522489101369618,1,24.5
2025-08-01,Ahya,J01_TPC,J01,DARK,RUN1,1,-0.0903602234117531,7,24.72326315789474,-0.09511214015572533,1,24.5
2025-08-01,Tfro,I01_TPC,I01,DARK,RUN1,1,-0.22973878276341592,8,24.69456140350877,-0.23449069950738816,1,24.5
2025-08-01,Mvie,B01_TPC,B01,DARK,RUN1,1,-0.139146508209123,10,24.720456140350876,-0.14389842495309524,1,24.5
2025-08-01,Maeq,H01_TPC,H01,DARK,RUN1,1,-0.28956003582519857,11,24.694684210526315,-0.2943119525691708,1,24.5
2025-08-01,Prus,D01_TPC,D01,DARK,RUN1,1,-0.2012661070765653,12,24.634298245614033,-0.20601802382053755,1,24.5
2025-08-01,Pcyl,A01_TPC,A01,LIGHT,RUN1,1,0.44915327388820653,1,24.580052631578948,0.43226765902277126,1,24.5
2025-08-01,Elam,G01_TPC,G01,LIGHT,RUN1,1,0.3001350615057478,2,24.45922807017544,0.2832494466403125,1,24.5
2025-08-01,Fcom,C01_TPC,C01,LIGHT,RUN1,1,0.3469962699891869,3,24.52417543859649,0.3301106551237517,1,24.5
2025-08-01,Prug,F01_TPC,F01,LIGHT,RUN1,1,0.20408920545777026,4,24.52235087719298,0.187203590592335,1,24.5
2025-08-01,Peyd,E01_TPC,E01,LIGHT,RUN1,1,0.40622764189246474,5,24.37098245614035,0.38934202702702947,1,24.5
2025-08-01,Ahya,J01_TPC,J01,LIGHT,RUN1,1,0.18100407640389596,7,24.529947368421052,0.1641184615384607,1,24.5
2025-08-01,Tfro,I01_TPC,I01,LIGHT,RUN1,1,0.2210793322123726,8,24.470122807017542,0.20419371734693736,1,24.5
2025-08-01,Mvie,B01_TPC,B01,LIGHT,RUN1,1,0.2635802892840409,10,24.496052631578948,0.24669467441860565,1,24.5
2025-08-01,Maeq,H01_TPC,H01,LIGHT,RUN1,1,0.2596507441094193,11,24.507210526315788,0.24276512924398405,1,24.5
2025-08-01,Prus,D01_TPC,D01,LIGHT,RUN1,1,0.5046453976194445,12,24.462052631578945,0.48775978275400916,1,24.5
2025-08-02,Elam,G02_TPC,G02,DARK,RUN2,1,-0.1253797280665286,1,24.61448148148148,-0.13764243076923116,1,24.5
2025-08-02,Peyd,E02_TPC,E02,DARK,RUN2,1,-0.2460580281021112,2,24.517537037037037,-0.25832073080481377,1,24.5
2025-08-02,Prug,F04_TPC,F04,DARK,RUN2,1,-0.14868818524655514,3,24.59411111111111,-0.1609508879492577,1,24.5
2025-08-02,Prus,D02_TPC,D02,DARK,RUN2,1,-0.16080026347065932,4,24.584333333333333,-0.17306296617336187,1,24.5
2025-08-02,Pcyl,A02_TPC,A02,DARK,RUN2,1,-0.1761796434511401,5,24.48162962962963,-0.18844234615384267,1,24.5
2025-08-02,Tfro,I02_TPC,I02,DARK,RUN2,1,-0.1921537541345732,6,24.491555555555557,-0.20441645683727577,1,24.5
2025-08-02,Fcom,C02_TPC,C02,DARK,RUN2,1,-0.24513240195733707,8,24.600148148148147,-0.2573951046600396,1,24.5
2025-08-02,Ahya,J02_TPC,J02,DARK,RUN2,1,-0.11904040540540374,9,24.490685185185185,-0.1313031081081063,1,24.5
2025-08-02,Mvie,B02_TPC,B02,DARK,RUN2,1,-0.1021262160959605,10,24.61161111111111,-0.11438891879866306,1,24.5
2025-08-02,Maeq,H02_TPC,H02,DARK,RUN2,1,-0.13015302819430538,12,24.514703703703702,-0.14241573089700799,1,24.5
2025-08-02,Elam,G02_TPC,G02,LIGHT,RUN2,1,0.3077540981798148,1,24.69807692307692,0.29572128185328483,1,24.5
2025-08-02,Peyd,E02_TPC,E02,LIGHT,RUN2,1,0.5542723267794889,2,24.60405769230769,0.5422395104529589,1,24.5
2025-08-02,Prug,F04_TPC,F04,LIGHT,RUN2,1,0.34527437557808927,3,24.68526923076923,0.3332415592515593,1,24.5
2025-08-02,Prus,D02_TPC,D02,LIGHT,RUN2,1,0.29483656248037965,4,24.686788461538463,0.28280374615384973,1,24.5
2025-08-02,Pcyl,A02_TPC,A02,LIGHT,RUN2,1,0.24333546338535855,5,24.55971153846154,0.2313026470588286,1,24.5
2025-08-02,Tfro,I02_TPC,I02,LIGHT,RUN2,1,0.2858498547880668,6,24.58175,0.2738170384615369,1,24.5
2025-08-02,Fcom,C02_TPC,C02,LIGHT,RUN2,1,0.3741667811591987,8,24.69175,0.3621339648326688,1,24.5
2025-08-02,Ahya,J02_TPC,J02,LIGHT,RUN2,1,0.2295425633621036,9,24.57551923076923,0.21750974703557366,1,24.5
2025-08-02,Mvie,B02_TPC,B02,LIGHT,RUN2,1,0.20429729193628537,10,24.70176923076923,0.19226447560975543,1,24.5
2025-08-02,Maeq,H02_TPC,H02,LIGHT,RUN2,1,0.3600496926331507,12,24.59846153846154,0.34801687630662065,1,24.5
2025-08-03,Peyd,E03_TPC,E03,DARK,RUN3,1,-0.2764407649599737,1,24.568078431372548,-0.2895526451612884,1,24.5
2025-08-03,Tfro,I03_TPC,I03,DARK,RUN3,1,-0.09034587786320293,2,24.459294117647055,-0.10345775806451761,1,24.5
2025-08-03,Pcyl,A03_TPC,A03,DARK,RUN3,1,-0.18568587078682838,3,24.541803921568626,-0.19879775098814303,1,24.5
2025-08-03,Maeq,H04_TPC,H04,DARK,RUN3,1,-0.2374896480132981,4,24.52727450980392,-0.25060152821461285,1,24.5
2025-08-03,Prus,F03_TPC,F03,DARK,RUN3,1,-0.12378830481256017,6,24.474803921568625,-0.13690018501387485,1,24.5
2025-08-03,Ahya,J03_TPC,J03,DARK,RUN3,1,-0.18836943394824293,7,24.525607843137255,-0.20148131414955758,1,24.5
2025-08-03,Mvie,B03_TPC,B03,DARK,RUN3,1,-0.01946535056791731,8,24.538745098039215,-0.03257723076923199,1,24.5
2025-08-03,Fcom,C03_TPC,C03,DARK,RUN3,1,-0.2337859181857835,9,24.451509803921567,-0.2468977983870982,1,24.5
2025-08-03,Elam,G05_TPC,G05,DARK,RUN3,1,-0.1382543458856426,11,24.53341176470588,-0.15136622608695727,1,24.5
2025-08-03,Prug,D03_TPC,D03,DARK,RUN3,1,-0.15121879547435915,12,24.519117647058824,-0.16433067567567383,1,24.5
2025-08-03,Peyd,E03_TPC,E03,LIGHT,RUN3,1,0.4944023048485926,1,24.65817543859649,0.4832345484162902,1,24.5
2025-08-03,Tfro,I03_TPC,I03,LIGHT,RUN3,1,0.2354215619364655,2,24.539912280701756,0.22425380550416307,1,24.5
2025-08-03,Pcyl,A03_TPC,A03,LIGHT,RUN3,1,0.34625593402215443,3,24.6229649122807,0.33508817758985204,1,24.5
2025-08-03,Maeq,H04_TPC,H04,LIGHT,RUN3,1,0.42801287576003627,4,24.634561403508773,0.4168451193277338,1,24.5
2025-08-03,Prus,F03_TPC,F03,LIGHT,RUN3,1,0.3050665057384995,6,24.55838596491228,0.2938987493061971,1,24.5
