PR,metric,species,emmean,SE,df,lower.CL,upper.CL,t.ratio,p.value
GrossPhoto,rmax,Ahya,1.2859999999999998,0.1319454432710732,40,1.0193283117417813,1.5526716882582183,9.746452534613097,4.029057496406494e-12
GrossPhoto,rmax,Elam,1.5799999999999996,0.13194544327107316,40,1.313328311741781,1.8466716882582181,11.974646193381567,8.363115756047645e-15
GrossPhoto,rmax,Fcom,1.6760000000000002,0.13194544327107324,40,1.4093283117417816,1.9426716882582187,12.70221963297943,1.2766822009452544e-15
GrossPhoto,rmax,Maeq,0.9540000000000004,0.13194544327107316,40,0.687328311741782,1.2206716882582187,7.230261056003811,8.981582007921771e-9
GrossPhoto,rmax,Mvie,1.222,0.13194544327107316,40,0.9553283117417816,1.4886716882582185,9.261403574881188,1.6827620912366058e-11
GrossPhoto,rmax,Pcyl,1.6060000000000003,0.1319454432710733,40,1.3393283117417816,1.872671688258219,12.171697333272649,4.994040085678642e-15
GrossPhoto,rmax,Peyd,1.392,0.1319454432710732,40,1.1253283117417814,1.6586716882582184,10.549814874169076,4.0339154280954577e-13
GrossPhoto,rmax,Prug,1.5679999999999996,0.13194544327107322,40,1.301328311741781,1.8346716882582181,11.883699513431829,1.0627548489179028e-14
GrossPhoto,rmax,Prus,1.646,0.1319454432710732,40,1.3793283117417814,1.9126716882582184,12.4748529331051,2.2808508841657766e-15
GrossPhoto,rmax,Tfro,1.378,0.1319454432710732,40,1.1113283117417814,1.6446716882582184,10.44371041422772,5.440672289073694e-13
GrossPhoto,topt,Ahya,28.676000000000002,0.5002993104132766,40,27.66485737593653,29.687142624063473,57.31768843797115,5.072660432770329e-40
GrossPhoto,topt,Elam,28.882,0.5002993104132765,40,27.87085737593653,29.893142624063472,57.729441953741215,3.8224165269932896e-40
GrossPhoto,topt,Fcom,29.772000000000002,0.5002993104132768,40,28.760857375936528,30.783142624063476,59.508377046145775,1.150887243386706e-40
GrossPhoto,topt,Maeq,28.880000000000003,0.5002993104132765,40,27.868857375936532,29.891142624063473,57.725444346791996,3.832896317580644e-40
GrossPhoto,topt,Mvie,29.222,0.5002993104132765,40,28.21085737593653,30.233142624063472,58.409035135109264,2.406345150934046e-40
GrossPhoto,topt,Pcyl,28.690000000000012,0.5002993104132769,40,27.678857375936538,29.701142624063486,57.345671686615695,4.9757236174401706e-40
GrossPhoto,topt,Peyd,29.376,0.5002993104132766,40,28.36485737593653,30.387142624063472,58.71685087019949,1.9546843014673774e-40
GrossPhoto,topt,Prug,29.740000000000002,0.5002993104132766,40,28.72885737593653,30.751142624063473,59.44441533495822,1.200910681151904e-40
GrossPhoto,topt,Prus,29.348000000000003,0.5002993104132766,40,28.336857375936532,30.359142624063473,58.66088437291035,2.0298172618332082e-40
GrossPhoto,topt,Tfro,29.626,0.5002993104132766,40,28.61485737593653,30.637142624063472,59.216551738852466,1.3979664648692939e-40
GrossPhoto,e,Ahya,0.7000000000000001,0.13273194894323775,37,0.43105952544804726,0.9689404745519529,5.273786797927243,6.037300403126715e-6
GrossPhoto,e,Elam,0.6019999999999999,0.11871906424924437,37,0.36145232680031236,0.8425476731996874,5.070794684972691,1.1332106115440844e-5
GrossPhoto,e,Fcom,0.35600000000000015,0.11871906424924435,37,0.11545232680031273,0.5965476731996876,2.9986759266615945,0.004826523351844192
GrossPhoto,e,Maeq,0.37749999999999984,0.13273194894323787,37,0.10855952544804681,0.6464404745519529,2.844077880310759,0.00721391060627153
GrossPhoto,e,Mvie,0.5620000000000002,0.1187190642492444,37,0.32145232680031266,0.8025476731996877,4.733864805572514,3.2002875194848535e-5
GrossPhoto,e,Pcyl,0.4424999999999997,0.13273194894323787,37,0.1735595254480467,0.7114404745519527,3.3337866544040016,0.0019555590145193913
GrossPhoto,e,Peyd,0.39599999999999985,0.1187190642492444,37,0.15545232680031232,0.6365476731996874,3.3356058060617695,0.0019457756737766856
GrossPhoto,e,Prug,0.3659999999999999,0.11871906424924444,37,0.12545232680031226,0.6065476731996875,3.0829083965116344,0.0038614232348772766
GrossPhoto,e,Prus,0.41199999999999987,0.11871906424924437,37,0.1714523268003124,0.6525476731996873,3.4703777578218418,0.0013378133237133025
GrossPhoto,e,Tfro,0.4719999999999998,0.11871906424924437,37,0.23145232680031233,0.7125476731996873,3.9757725769221097,3.131066973371599e-4
GrossPhoto,breadth,Ahya,8.402,0.2847837776278698,40,7.826430515477857,8.97756948452214,29.503085007106645,9.19872615693392e-29
GrossPhoto,breadth,Elam,8.783999999999999,0.28478377762786977,40,8.208430515477858,9.35956948452214,30.84445354706318,1.6714729432294035e-29
GrossPhoto,breadth,Fcom,8.29,0.28478377762787,40,7.714430515477857,8.865569484522142,29.1098041786377,1.5371815076448176e-28
GrossPhoto,breadth,Maeq,9.123999999999999,0.2847837776278697,40,8.548430515477857,9.69956948452214,32.03834177634386,3.876515935688816e-30
GrossPhoto,breadth,Mvie,7.758,0.2847837776278698,40,7.182430515477858,8.333569484522142,27.241720243410306,1.9269412351696256e-27
GrossPhoto,breadth,Pcyl,9.075999999999999,0.28478377762787005,40,8.500430515477856,9.651569484522142,31.86979284985714,4.7500795554976146e-30
GrossPhoto,breadth,Peyd,9.181999999999999,0.2847837776278698,40,8.606430515477857,9.75756948452214,32.24200506251526,3.0364582297681388e-30
GrossPhoto,breadth,Prug,8.681999999999999,0.2847837776278699,40,8.106430515477857,9.25756948452214,30.48628707827896,2.6176939193854575e-29
GrossPhoto,breadth,Prus,9.312,0.2847837776278698,40,8.736430515477858,9.88756948452214,32.6984917384167,1.76545129826842e-30
GrossPhoto,breadth,Tfro,9.12,0.2847837776278698,40,8.544430515477858,9.69556948452214,32.02429603246996,3.942575909483743e-30
NetPhoto,rmax,Ahya,0.8480000000000005,0.09884305093403742,39,0.648071058366992,1.047928941633009,8.579257641145764,1.6254962301184046e-10
NetPhoto,rmax,Elam,1.070000000000001,0.09884305093403742,39,0.8700710583669924,1.2699289416330095,10.825242542483457,2.5840022892505967e-13
NetPhoto,rmax,Fcom,1.1040000000000003,0.09884305093403742,39,0.9040710583669918,1.3039289416330089,11.16922221205769,1.0199656321394087e-13
NetPhoto,rmax,Maeq,0.5660000000000007,0.0988430509340374,39,0.3660710583669923,0.7659289416330092,5.726249793500598,1.243010961591703e-6
NetPhoto,rmax,Mvie,0.7950000000000005,0.11050989049599087,39,0.571472647919503,1.0185273520804978,7.19392623078241,1.1626159527732154e-8
NetPhoto,rmax,Pcyl,0.9780000000000004,0.09884305093403745,39,0.7780710583669919,1.177928941633009,9.894474024811974,3.45272299272921e-12
NetPhoto,rmax,Peyd,0.8660000000000004,0.09884305093403746,39,0.6660710583669918,1.065928941633009,8.761364525038005,9.41587038463845e-11
NetPhoto,rmax,Prug,1.0260000000000005,0.0988430509340374,39,0.826071058366992,1.225928941633009,10.380092381857965,8.803361314551056e-13
NetPhoto,rmax,Prus,1.0200000000000005,0.09884305093403742,39,0.8200710583669919,1.219928941633009,10.319390087227216,1.0425820722443962e-12
NetPhoto,rmax,Tfro,0.7800000000000005,0.09884305093403742,39,0.5800710583669919,0.979928941633009,7.891298301997283,1.3227555527567441e-9
NetPhoto,topt,Ahya,28.629999999999992,0.4668912737870152,39,27.6856232598666,29.574376740133385,61.320486390286064,2.125754670315492e-40
NetPhoto,topt,Elam,28.245999999999988,0.4668912737870152,39,27.301623259866595,29.19037674013338,60.49802509884806,3.5801649513580155e-40
NetPhoto,topt,Fcom,29.71599999999999,0.4668912737870153,39,28.771623259866598,30.660376740133383,63.64650973013414,5.046732972253785e-41
NetPhoto,topt,Maeq,27.64999999999999,0.4668912737870151,39,26.7056232598666,28.594376740133384,59.22149663609535,8.153028170050832e-40
NetPhoto,topt,Mvie,29.51749999999999,0.5220003131446158,39,28.46165470634603,30.57334529365395,56.546900943759425,4.844811010357844e-39
NetPhoto,topt,Pcyl,27.711999999999993,0.4668912737870153,39,26.7676232598666,28.656376740133386,59.3542898654421,7.478051222090786e-40
NetPhoto,topt,Peyd,28.45199999999999,0.46689127378701545,39,27.507623259866598,29.396376740133384,60.93924131248404,2.7044691543397915e-40
NetPhoto,topt,Prug,28.699999999999992,0.46689127378701517,39,27.7556232598666,29.644376740133385,61.470414229871125,1.9344832751611454e-40
NetPhoto,topt,Prus,28.071999999999992,0.4668912737870152,39,27.1276232598666,29.016376740133385,60.125347326165226,4.5444385991104034e-40
NetPhoto,topt,Tfro,28.749999999999993,0.4668912737870152,39,27.8056232598666,29.694376740133386,61.57750554386044,1.8087401360446795e-40
NetPhoto,e,Ahya,0.4875000000000001,0.10434263924032382,33,0.27521330428932367,0.6997866957106765,4.672107237743733,4.83166540634382e-5
NetPhoto,e,Elam,0.7660000000000001,0.09332689371724041,33,0.576125007068846,0.9558749929311543,8.207709155313886,1.775583353180404e-9
NetPhoto,e,Fcom,0.3740000000000003,0.09332689371724039,33,0.18412500706884616,0.5638749929311544,4.007419352594511,3.2944273832656595e-4
NetPhoto,e,Maeq,0.3550000000000002,0.10434263924032376,33,0.1427133042893239,0.5672866957106765,3.4022524500492852,0.0017672926525405834
NetPhoto,e,Mvie,0.4,0.10434263924032385,33,0.18771330428932356,0.6122866957106765,3.8335238873794713,5.383113724858399e-4
NetPhoto,e,Pcyl,0.11999999999999983,0.14756277554746905,33,-0.18021872418540913,0.4202187241854088,0.8132132209819906,0.42192455818842367
NetPhoto,e,Peyd,0.2599999999999999,0.10434263924032385,33,0.04771330428932344,0.4722866957106764,2.491790526796655,0.017910563283752352
NetPhoto,e,Prug,0.278,0.09332689371724044,33,0.0881250070688458,0.46787499293115425,2.978776951928537,0.0053929914110577536
NetPhoto,e,Prus,0.23600000000000032,0.09332689371724041,33,0.04612500706884615,0.4258749929311545,2.5287459016371794,0.016410111778615094
NetPhoto,e,Tfro,0.4160000000000001,0.09332689371724043,33,0.2261250070688459,0.6058749929311543,4.45745040288587,9.034241066572548e-5
NetPhoto,breadth,Ahya,6.781999999999998,0.4255771044063247,39,5.921189055141789,7.6428109448582076,15.93600767001038,1.137985551963215e-18
NetPhoto,breadth,Elam,6.999999999999997,0.4255771044063247,39,6.139189055141788,7.860810944858207,16.448253271906907,3.872546816978613e-19
NetPhoto,breadth,Fcom,7.735999999999999,0.42557710440632474,39,6.87518905514179,8.596810944858209,18.17766961592455,1.2177127747230999e-20
