PR,metric,term,df,sumsq,meansq,statistic,p.value
GrossPhoto,rmax,species,9,2.417519999999998,0.2686133333333331,3.08779351357979,0.0065943706281502
GrossPhoto,rmax,Residuals,40,3.47968,0.086992,NA,NA
GrossPhoto,topt,species,9,4.138088000000011,0.45978755555555684,1.2572669578554136,0.28967762091145166
GrossPhoto,topt,Residuals,40,14.62816000000002,0.36570400000000053,NA,NA
GrossPhoto,e,species,9,0.49332799999999977,0.054814222222222195,2.6589484463847772,0.016152441974309966
GrossPhoto,e,Residuals,40,0.8246000000000002,0.020615000000000005,NA,NA
GrossPhoto,breadth,species,9,9.736127999999988,1.0817919999999988,2.195872103408516,0.04296334587738376
GrossPhoto,breadth,Residuals,40,19.705920000000003,0.4926480000000001,NA,NA
NetPhoto,rmax,species,9,1.2113111224489794,0.13459012471655327,2.63796766196798,0.01727210442709657
NetPhoto,rmax,Residuals,39,1.9897950000000002,0.05102038461538462,NA,NA
NetPhoto,topt,species,9,10.939937959183668,1.2155486621315186,1.7679745111549816,0.10618032820285078
NetPhoto,topt,Residuals,39,26.813959999999994,0.6875374358974358,NA,NA
NetPhoto,e,species,9,1.5113308510638295,0.16792565011820326,4.327528507312221,6.690892472342429e-4
NetPhoto,e,Residuals,37,1.4357499999999999,0.03880405405405405,NA,NA
NetPhoto,breadth,species,9,5.220802551020412,0.5800891723356014,0.9108606136931573,0.5257741563158125
NetPhoto,breadth,Residuals,39,24.837475,0.6368583333333334,NA,NA
Respiration,rmax,species,7,0.11839313725490196,0.01691330532212885,0.5390535840140225,0.7863029502250416
Respiration,rmax,Residuals,9,0.28238333333333326,0.03137592592592592,NA,NA
Respiration,topt,species,7,8.499590196078424,1.2142271708683463,1.0572764411055813,0.4577987010591942
Respiration,topt,Residuals,9,10.336033333333138,1.1484481481481263,NA,NA
Respiration,e,species,7,0.7449549019607848,0.10642212885154069,1.5477497866908696,0.2652667946835253
Respiration,e,Residuals,9,0.6188333333333332,0.06875925925925924,NA,NA
Respiration,breadth,species,7,4.827463725490201,0.6896376750700287,0.8296023447305393,0.5881212721066664
Respiration,breadth,Residuals,9,7.481583333333335,0.8312870370370372,NA,NA
