date ,start_time,stop_time,frag_ID,species,sample_ID,FileID_csv,light_dark,run_block,blank ,chamber_channel,temp_c_level,temp_c_value
8/1/25,8:57,9:17,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,3,27
8/1/25,8:57,9:17,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,3,27
8/1/25,8:57,9:17,C01,Fcom,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,3,27
8/1/25,8:57,9:17,F01,Prug,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,3,27
8/1/25,8:57,9:17,E01,Peyd,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,3,27
8/1/25,8:57,9:17,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,3,27
8/1/25,8:57,9:17,J01,Ahya,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,3,27
8/1/25,8:57,9:17,I01,Tfro,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,3,27
8/1/25,8:57,9:17,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,3,27
8/1/25,8:57,9:17,B01,Mvie,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,3,27
8/1/25,8:57,9:17,H01,Maeq,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,3,27
8/1/25,8:57,9:17,D01,Prus,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,3,27
8/1/25,9:19,9:39,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,3,27
8/1/25,9:19,9:39,G01,Elam,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,3,27
8/1/25,9:19,9:39,C01,Fcom,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,3,27
8/1/25,9:19,9:39,F01,Prug,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,3,27
8/1/25,9:19,9:39,E01,Peyd,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,3,27
8/1/25,9:19,9:39,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,DARK,RUN1,1,6,3,27
8/1/25,9:19,9:39,J01,Ahya,J01_TPC,J01_TPC_O2.csv,DARK,RUN1,0,7,3,27
8/1/25,9:19,9:39,I01,Tfro,I01_TPC,I01_TPC_O2.csv,DARK,RUN1,0,8,3,27
8/1/25,9:19,9:39,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,DARK,RUN1,1,9,3,27
8/1/25,9:19,9:39,B01,Mvie,B01_TPC,B01_TPC_O2.csv,DARK,RUN1,0,10,3,27
8/1/25,9:19,9:39,H01,Maeq,H01_TPC,H01_TPC_O2.csv,DARK,RUN1,0,11,3,27
8/1/25,9:19,9:39,D01,Prus,D01_TPC,D01_TPC_O2.csv,DARK,RUN1,0,12,3,27
8/1/25,9:57,10:17,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,LIGHT,RUN1,0,1,4,28
8/1/25,9:57,10:17,G01,Elam,G01_TPC,G01_TPC_O2.csv,LIGHT,RUN1,0,2,4,28
8/1/25,9:57,10:17,C01,Fcom,C01_TPC,C01_TPC_O2.csv,LIGHT,RUN1,0,3,4,28
8/1/25,9:57,10:17,F01,Prug,F01_TPC,F01_TPC_O2.csv,LIGHT,RUN1,0,4,4,28
8/1/25,9:57,10:17,E01,Peyd,E01_TPC,E01_TPC_O2.csv,LIGHT,RUN1,0,5,4,28
8/1/25,9:57,10:17,BLANK1_Run1,BLANK,BLANK1_Run1_TPC,BLANK1_Run1_TPC_O2.csv,LIGHT,RUN1,1,6,4,28
8/1/25,9:57,10:17,J01,Ahya,J01_TPC,J01_TPC_O2.csv,LIGHT,RUN1,0,7,4,28
8/1/25,9:57,10:17,I01,Tfro,I01_TPC,I01_TPC_O2.csv,LIGHT,RUN1,0,8,4,28
8/1/25,9:57,10:17,BLANK2_Run1,BLANK,BLANK2_Run1_TPC,BLANK2_Run1_TPC_O2.csv,LIGHT,RUN1,1,9,4,28
8/1/25,9:57,10:17,B01,Mvie,B01_TPC,B01_TPC_O2.csv,LIGHT,RUN1,0,10,4,28
8/1/25,9:57,10:17,H01,Maeq,H01_TPC,H01_TPC_O2.csv,LIGHT,RUN1,0,11,4,28
8/1/25,9:57,10:17,D01,Prus,D01_TPC,D01_TPC_O2.csv,LIGHT,RUN1,0,12,4,28
8/1/25,10:19,10:39,A01,Pcyl,A01_TPC,A01_TPC_O2.csv,DARK,RUN1,0,1,4,28
8/1/25,10:19,10:39,G01,Elam,G01_TPC,G01_TPC_O2.csv,DARK,RUN1,0,2,4,28
8/1/25,10:19,10:39,C01,Fcom,C01_TPC,C01_TPC_O2.csv,DARK,RUN1,0,3,4,28
8/1/25,10:19,10:39,F01,Prug,F01_TPC,F01_TPC_O2.csv,DARK,RUN1,0,4,4,28
8/1/25,10:19,10:39,E01,Peyd,E01_TPC,E01_TPC_O2.csv,DARK,RUN1,0,5,4,28
