"id","SurfaceArea","Rugosity","FractalDimension","HeightRange","MeanDepth","x_mid","y_mid","SiteName"
1,2.80985413769838,2.80985413769845,2.24625447374844,0.754689693450928,-6.64186324605322,5.74013697369044,3.94236617495184,"Oki04"
2,2.22567658243282,2.22567658243288,2.36766248798395,0.467791557312012,-5.77989031071758,4.07313697369042,2.54336617495184,"Oki04"
3,2.60739777961239,2.60739777961242,2.28428739407851,0.780911922454834,-6.47339314479971,4.64013697369042,4.24836617495184,"Oki04"
4,2.06902612399181,2.06902612399174,2.1131081441772,0.825494766235352,-5.82786501362371,2.20313697369043,5.12136617495184,"Oki04"
5,2.20853022284868,2.20853022284864,2.29769805595541,0.464980125427246,-6.20220475725889,7.43913697369041,-2.83063382504816,"Oki04"
6,1.97841982278899,1.97841982278904,2.2927839364616,0.580282688140869,-6.07935789906692,7.47113697369041,5.79936617495184,"Oki04"
7,2.59536769669158,2.5953676966916,2.39243739424329,0.525399684906006,-6.37713261358976,6.41413697369041,-2.16063382504816,"Oki04"
8,1.99381035661978,1.99381035661979,2.19884469235836,0.664298057556152,-6.04800204757786,-1.70986302630956,-1.42363382504816,"Oki04"
9,2.05787500826124,2.05787500826117,2.28228449987499,0.631369113922119,-5.76292297899723,3.17613697369042,6.26536617495184,"Oki04"
10,2.66056780410991,2.66056780410998,2.17139772719202,0.995543003082275,-6.13604699043178,3.24813697369042,4.50536617495184,"Oki04"
