sample_ID,SGD_dil,weight_g,volume_mL,SA_cm2,salinity 
Tr1_Blank_Dil1_Light,0.01,0,0,0,39.9
Tr1_Blank_Dil2_Light,0.03,0,0,0,39.9
Tr1_Blank_Dil3_Light,0.05,0,0,0,39.9
Tr1_Blank_Dil5_Light,0.1,0,0,0,39.9
Tr1_Blank_Dil6_Light,0.2,0,0,0,39.8
Tr1_Blank_Dil7_Light,0.3,0,0,0,39.8
Tr1_Blank_Dil8_Light,0.4,0,0,0,39.7
Tr1_Blank_Dil9_Light,0.5,0,0,0,39.6
Tr1_Blank_Dil1_Dark,0.01,0,0,0,39.9
Tr1_Blank_Dil2_Dark,0.03,0,0,0,39.9
Tr1_Blank_Dil3_Dark,0.05,0,0,0,39.9
Tr1_Blank_Dil5_Dark,0.1,0,0,0,39.9
Tr1_Blank_Dil6_Dark,0.2,0,0,0,39.8
Tr1_Blank_Dil7_Dark,0.3,0,0,0,39.8
Tr1_Blank_Dil8_Dark,0.4,0,0,0,39.7
Tr1_Blank_Dil9_Dark,0.5,0,0,0,39.6
Tr1_Blank_Dil10_Light,1,0,0,0,39.4
Tr1_Blank_Dil11_Light,1.5,0,0,0,39.2
Tr1_Blank_Dil12_Light,2,0,0,0,38.9
Tr1_Blank_Dil13_Light,2.5,0,0,0,38.8
Tr1_Blank_Dil14_Light,3,0,0,0,38
Tr1_Blank_Dil15_Light,3.5,0,0,0,37.7
Tr1_Blank_Dil16_Light,4,0,0,0,37.2
Tr1_Blank_Dil17_Light,5,0,0,0,36.4
Tr1_Blank_Dil10_Dark,1,0,0,0,39.4
Tr1_Blank_Dil11_Dark,1.5,0,0,0,39.2
Tr1_Blank_Dil12_Dark,2,0,0,0,38.9
Tr1_Blank_Dil13_Dark,2.5,0,0,0,38.8
Tr1_Blank_Dil14_Dark,3,0,0,0,38
Tr1_Blank_Dil15_Dark,3.5,0,0,0,37.7
Tr_Blank_Dil16_Dark,4,0,0,0,37.2
Tr1_Blank_Dil17_Dark,5,0,0,0,36.4
Tr1_Col1_Dil1_Light,0.01,23.3636,20,10243.5,39.9
Tr1_Col1_Dil2_Light,0.03,31.9253,25,8109,39.9
Tr1_Col1_Dil3_Light,0.05,28.5748,20,11633,39.9
Tr1_Col1_Dil4_Light,0.07,31.4045,23,7319,39.9
Tr1_Col1_Dil5_Light,0.1,22.4579,20,11309.5,39.9
Tr1_Col1_Dil6_Light,0.2,19.2679,20,12739,39.8
