Sample.Name,Run,Slurry_vol_ml,SA_cm2
E03,RUN3,50,37.84624963
E04,RUN3,50,35.68646872
E05,RUN3,50,24.54940055
E06,RUN3,50,62.32483001
StandardA_Run3,RUN3,NA,NA
StandardB_Run3,RUN3,NA,NA
StandardC_Run3,RUN3,NA,NA
StandardD_Run3,RUN3,NA,NA
StandardE_Run3,RUN3,NA,NA
StandardF_Run3,RUN3,NA,NA
StandardG_Run3,RUN3,NA,NA
StandardH_Run3,RUN3,NA,NA
StandardI_Run3,RUN3,NA,NA
E07,RUN3,50,37.95471721
E08,RUN3,50,16.97900159
E09,RUN3,50,51.01868002
E10,RUN3,50,53.84840774
F01,RUN3,50,29.4719145
F02,RUN3,50,85.48584832
F03,RUN3,50,18.53583037
F04,RUN3,50,23.91135597
F05,RUN3,50,19.62050616
F06,RUN3,50,29.61547453
F07,RUN3,50,17.78931821
F08,RUN3,50,17.76060621
F09,RUN3,50,31.89329369
F10,RUN3,50,26.16046312
G01,RUN3,50,48.33251233
G02,RUN3,50,32.29207155
G03,RUN3,50,17.0077136
G04,RUN3,50,23.71356215
G05,RUN3,50,29.18798466
