Sample.Name,Run,Slurry_vol_ml,SA_cm2
I09,RUN5,50,25.83506039
I10,RUN5,50,17.59152439
J01,RUN5,50,31.07978685
J02,RUN5,50,42.74962224
J03,RUN5,50,42.51354575
J04,RUN5,50,52.20225272
J05,RUN5,50,52.92643332
J06,RUN5,50,13.97062139
J07,RUN5,50,33.27466021
J08,RUN5,50,32.58876228
J09,RUN5,50,27.88956394
J10,RUN5,50,25.31505405
StandardA_Run5,RUN5,NA,NA
StandardB_Run5,RUN5,NA,NA
StandardC_Run5,RUN5,NA,NA
StandardD_Run5,RUN5,NA,NA
StandardE_Run5,RUN5,NA,NA
StandardF_Run5,RUN5,NA,NA
StandardG_Run5,RUN5,NA,NA
StandardH_Run5,RUN5,NA,NA
StandardI_Run5,RUN5,NA,NA
A01,RUN5,50,12.71048334
A02,RUN5,50,12.35955882
A03,RUN5,50,11.632188
A04,RUN5,50,14.08865964
A05,RUN5,50,17.79569866
A06,RUN5,50,23.27969184
A07,RUN5,50,26.25297959
A08,RUN5,50,30.29818223
A09,RUN5,50,15.3360368
A10,RUN5,50,15.24671055
B01,RUN5,50,21.54102035
