Sample.Name,Run,Slurry_vol_ml,SA_cm2
B02,RUN6,50,17.41606213
B03,RUN6,50,17.21826831
B04,RUN6,50,24.1793347
B05,RUN6,50,16.36647879
B06,RUN6,50,29.0125224
B07,RUN6,50,15.84966268
B08,RUN6,50,8.295214837
B09,RUN6,50,7.354099079
B10,RUN6,50,8.872645184
StandardA_Run6,RUN6,NA,NA
StandardB_Run6,RUN6,NA,NA
StandardC_Run6,RUN6,NA,NA
StandardD_Run6,RUN6,NA,NA
StandardE_Run6,RUN6,NA,NA
StandardF_Run6,RUN6,NA,NA
StandardG_Run6,RUN6,NA,NA
StandardH_Run6,RUN6,NA,NA
StandardI_Run6,RUN6,NA,NA
