Well.Location,Run,Sample.Type,Sample.Name
A01,RUN6,Host,B02
A02,RUN6,Host,B02
A03,RUN6,Host,B02
A04,RUN6,Host,B03
A05,RUN6,Host,B03
A06,RUN6,Host,B03
A07,RUN6,Host,B04
A08,RUN6,Host,B04
A09,RUN6,Host,B04
A10,RUN6,Host,B05
A11,RUN6,Host,B05
A12,RUN6,Host,B05
B01,RUN6,Host,B06
B02,RUN6,Host,B06
B03,RUN6,Host,B06
B04,RUN6,Host,B07
B05,RUN6,Host,B07
B06,RUN6,Host,B07
B07,RUN6,Host,B08
B08,RUN6,Host,B08
B09,RUN6,Host,B08
B10,RUN6,Host,B09
B11,RUN6,Host,B09
B12,RUN6,Host,B09
C01,RUN6,Host,B10
C02,RUN6,Host,B10
C03,RUN6,Host,B10
C04,RUN6,NA,NA
C05,RUN6,NA,NA
C06,RUN6,NA,NA
C07,RUN6,NA,NA
C08,RUN6,NA,NA
C09,RUN6,NA,NA
C10,RUN6,NA,NA
C11,RUN6,NA,NA
C12,RUN6,NA,NA
D01,RUN6,Standard,StandardA_Run6
D02,RUN6,Standard,StandardA_Run6
D03,RUN6,Standard,StandardA_Run6
D04,RUN6,Standard,StandardB_Run6
D05,RUN6,Standard,StandardB_Run6
D06,RUN6,Standard,StandardB_Run6
D07,RUN6,Standard,StandardC_Run6
D08,RUN6,Standard,StandardC_Run6
D09,RUN6,Standard,StandardC_Run6
D10,RUN6,Standard,StandardD_Run6
D11,RUN6,Standard,StandardD_Run6
D12,RUN6,Standard,StandardD_Run6
E01,RUN6,Standard,StandardE_Run6
E02,RUN6,Standard,StandardE_Run6
E03,RUN6,Standard,StandardE_Run6
E04,RUN6,Standard,StandardF_Run6
E05,RUN6,Standard,StandardF_Run6
E06,RUN6,Standard,StandardF_Run6
E07,RUN6,Standard,StandardG_Run6
E08,RUN6,Standard,StandardG_Run6
E09,RUN6,Standard,StandardG_Run6
E10,RUN6,Standard,StandardH_Run6
E11,RUN6,Standard,StandardH_Run6
E12,RUN6,Standard,StandardH_Run6
F01,RUN6,Standard,StandardI_Run6
F02,RUN6,Standard,StandardI_Run6
F03,RUN6,Standard,StandardI_Run6
F04,RUN6,NA,NA
F05,RUN6,NA,NA
F06,RUN6,NA,NA
F07,RUN6,NA,NA
F08,RUN6,NA,NA
F09,RUN6,NA,NA
F10,RUN6,NA,NA
F11,RUN6,NA,NA
F12,RUN6,NA,NA
G01,RUN6,NA,NA
G02,RUN6,NA,NA
G03,RUN6,NA,NA
G04,RUN6,NA,NA
G05,RUN6,NA,NA
G06,RUN6,NA,NA
G07,RUN6,NA,NA
G08,RUN6,NA,NA
G09,RUN6,NA,NA
G10,RUN6,NA,NA
G11,RUN6,NA,NA
G12,RUN6,NA,NA
H01,RUN6,NA,NA
H02,RUN6,NA,NA
H03,RUN6,NA,NA
H04,RUN6,NA,NA
H05,RUN6,NA,NA
H06,RUN6,NA,NA
H07,RUN6,NA,NA
H08,RUN6,NA,NA
H09,RUN6,NA,NA
H10,RUN6,NA,NA
H11,RUN6,NA,NA
H12,RUN6,NA,NA
