Well.Location,Run,Sample.Type,Sample.Name
A01,RUN3,Host,E03
A02,RUN3,Host,E03
A03,RUN3,Host,E03
A04,RUN3,Host,E04
A05,RUN3,Host,E04
A06,RUN3,Host,E04
A07,RUN3,Host,E05
A08,RUN3,Host,E05
A09,RUN3,Host,E05
A10,RUN3,Host,E06
A11,RUN3,Host,E06
A12,RUN3,Host,E06
B01,RUN3,Standard,StandardA_Run3
B02,RUN3,Standard,StandardA_Run3
B03,RUN3,Standard,StandardA_Run3
B04,RUN3,Standard,StandardB_Run3
B05,RUN3,Standard,StandardB_Run3
B06,RUN3,Standard,StandardB_Run3
B07,RUN3,Standard,StandardC_Run3
B08,RUN3,Standard,StandardC_Run3
B09,RUN3,Standard,StandardC_Run3
B10,RUN3,Standard,StandardD_Run3
B11,RUN3,Standard,StandardD_Run3
B12,RUN3,Standard,StandardD_Run3
C01,RUN3,Standard,StandardE_Run3
C02,RUN3,Standard,StandardE_Run3
C03,RUN3,Standard,StandardE_Run3
C04,RUN3,Standard,StandardF_Run3
C05,RUN3,Standard,StandardF_Run3
C06,RUN3,Standard,StandardF_Run3
C07,RUN3,Standard,StandardG_Run3
C08,RUN3,Standard,StandardG_Run3
C09,RUN3,Standard,StandardG_Run3
C10,RUN3,Standard,StandardH_Run3
C11,RUN3,Standard,StandardH_Run3
C12,RUN3,Standard,StandardH_Run3
D01,RUN3,Standard,StandardI_Run3
D02,RUN3,Standard,StandardI_Run3
D03,RUN3,Standard,StandardI_Run3
D04,RUN3,Host,E07
D05,RUN3,Host,E07
D06,RUN3,Host,E07
D07,RUN3,Host,E08
D08,RUN3,Host,E08
D09,RUN3,Host,E08
D10,RUN3,Host,E09
D11,RUN3,Host,E09
D12,RUN3,Host,E09
E01,RUN3,Host,E10
E02,RUN3,Host,E10
E03,RUN3,Host,E10
E04,RUN3,Host,F01
E05,RUN3,Host,F01
E06,RUN3,Host,F01
E07,RUN3,Host,F02
E08,RUN3,Host,F02
E09,RUN3,Host,F02
E10,RUN3,Host,F03
E11,RUN3,Host,F03
E12,RUN3,Host,F03
F01,RUN3,Host,F04
F02,RUN3,Host,F04
F03,RUN3,Host,F04
F04,RUN3,Host,F05
F05,RUN3,Host,F05
F06,RUN3,Host,F05
F07,RUN3,Host,F06
F08,RUN3,Host,F06
F09,RUN3,Host,F06
F10,RUN3,Host,F07
F11,RUN3,Host,F07
F12,RUN3,Host,F07
G01,RUN3,Host,F08
G02,RUN3,Host,F08
G03,RUN3,Host,F08
G04,RUN3,Host,F09
G05,RUN3,Host,F09
G06,RUN3,Host,F09
G07,RUN3,Host,F10
G08,RUN3,Host,F10
G09,RUN3,Host,F10
G10,RUN3,Host,G01
G11,RUN3,Host,G01
G12,RUN3,Host,G01
H01,RUN3,Host,G02
H02,RUN3,Host,G02
H03,RUN3,Host,G02
H04,RUN3,Host,G03
H05,RUN3,Host,G03
H06,RUN3,Host,G03
H07,RUN3,Host,G04
H08,RUN3,Host,G04
H09,RUN3,Host,G04
H10,RUN3,Host,G05
H11,RUN3,Host,G05
H12,RUN3,Host,G05
