Well.Location,Run,Sample.Type,Sample.Name
A01,RUN4,Host,G06
A02,RUN4,Host,G06
A03,RUN4,Host,G06
A04,RUN4,Host,G07
A05,RUN4,Host,G07
A06,RUN4,Host,G07
A07,RUN4,Host,G08
A08,RUN4,Host,G08
A09,RUN4,Host,G08
A10,RUN4,Host,G09
A11,RUN4,Host,G09
A12,RUN4,Host,G09
B01,RUN4,Host,G10
B02,RUN4,Host,G10
B03,RUN4,Host,G10
B04,RUN4,Host,H01
B05,RUN4,Host,H01
B06,RUN4,Host,H01
B07,RUN4,Host,H02
B08,RUN4,Host,H02
B09,RUN4,Host,H02
B10,RUN4,Host,H03
B11,RUN4,Host,H03
B12,RUN4,Host,H03
C01,RUN4,Standard,StandardA_Run4
C02,RUN4,Standard,StandardA_Run4
C03,RUN4,Standard,StandardA_Run4
C04,RUN4,Standard,StandardB_Run4
C05,RUN4,Standard,StandardB_Run4
C06,RUN4,Standard,StandardB_Run4
C07,RUN4,Standard,StandardC_Run4
C08,RUN4,Standard,StandardC_Run4
C09,RUN4,Standard,StandardC_Run4
C10,RUN4,Standard,StandardD_Run4
C11,RUN4,Standard,StandardD_Run4
C12,RUN4,Standard,StandardD_Run4
D01,RUN4,Standard,StandardE_Run4
D02,RUN4,Standard,StandardE_Run4
D03,RUN4,Standard,StandardE_Run4
D04,RUN4,Standard,StandardF_Run4
D05,RUN4,Standard,StandardF_Run4
D06,RUN4,Standard,StandardF_Run4
D07,RUN4,Standard,StandardG_Run4
D08,RUN4,Standard,StandardG_Run4
D09,RUN4,Standard,StandardG_Run4
D10,RUN4,Standard,StandardH_Run4
D11,RUN4,Standard,StandardH_Run4
D12,RUN4,Standard,StandardH_Run4
E01,RUN4,Standard,StandardI_Run4
E02,RUN4,Standard,StandardI_Run4
E03,RUN4,Standard,StandardI_Run4
E04,RUN4,Host,H04
E05,RUN4,Host,H04
E06,RUN4,Host,H04
E07,RUN4,Host,H05
E08,RUN4,Host,H05
E09,RUN4,Host,H05
E10,RUN4,Host,H06
E11,RUN4,Host,H06
E12,RUN4,Host,H06
F01,RUN4,Host,H07
F02,RUN4,Host,H07
F03,RUN4,Host,H07
F04,RUN4,Host,H08
F05,RUN4,Host,H08
F06,RUN4,Host,H08
F07,RUN4,Host,H09
F08,RUN4,Host,H09
F09,RUN4,Host,H09
F10,RUN4,Host,H10
F11,RUN4,Host,H10
F12,RUN4,Host,H10
G01,RUN4,Host,I01
G02,RUN4,Host,I01
G03,RUN4,Host,I01
G04,RUN4,Host,I02
G05,RUN4,Host,I02
G06,RUN4,Host,I02
G07,RUN4,Host,I03
G08,RUN4,Host,I03
G09,RUN4,Host,I03
G10,RUN4,Host,I04
G11,RUN4,Host,I04
G12,RUN4,Host,I04
H01,RUN4,Host,I05
H02,RUN4,Host,I05
H03,RUN4,Host,I05
H04,RUN4,Host,I06
H05,RUN4,Host,I06
H06,RUN4,Host,I06
H07,RUN4,Host,I07
H08,RUN4,Host,I07
H09,RUN4,Host,I07
H10,RUN4,Host,I08
H11,RUN4,Host,I08
H12,RUN4,Host,I08
