Sample.Name,mean_abs,mean_abs_adj,prot_ug_mL,Run,Slurry_vol_ml,SA_cm2,prot_ug_total,prot_ug_cm2
C01,0.9306666666666666,0.8386666666666667,600.6248092468189,RUN1,50,47.1170374,30031.240462340946,637.3753979349505
D01,0.5556666666666666,0.46366666666666667,304.81986174559745,RUN1,50,22.68312015,15240.993087279872,671.9090225019097
D02,0.539,0.44700000000000006,291.67297518998765,RUN1,50,28.12564043,14583.648759499383,518.5179265800414
D03,0.4623333333333333,0.3703333333333333,231.19729703418227,RUN1,50,15.28499323,11559.864851709113,756.2885163089545
D04,0.7696666666666667,0.6776666666666668,473.6258851196279,RUN1,50,18.09876983,23681.294255981396,1308.447727575825
D05,0.48933333333333334,0.3973333333333333,252.49525325427027,RUN1,50,19.5279897,12624.762662713514,646.4957661624286
D06,0.8526666666666667,0.7606666666666667,539.0973801665649,RUN1,50,17.82760089,26954.869008328245,1511.9739988933668
D07,1.036,0.9440000000000001,683.7131322782732,RUN1,50,15.83371157,34185.656613913656,2159.0425253599374
D08,0.6136666666666667,0.5216666666666667,350.57102695911976,RUN1,50,13.62288709,17528.55134795599,1286.6987175444606
D09,0.7733333333333333,0.6813333333333333,476.51820016186196,RUN1,50,9.268232824,23825.91001,2570.7068931626463
D10,0.839,0.747,528.3169331909647,RUN1,50,6.853234083,26415.846659548235,3854.508155
