Sample.Name,Run,Slurry_vol_ml,SA_cm2
G06,RUN4,50,24.51111788
G07,RUN4,50,36.17776305
G08,RUN4,50,35.40891933
G09,RUN4,50,23.67527948
G10,RUN4,50,24.19847603
H01,RUN4,50,42.66667645
H02,RUN4,50,25.64045679
H03,RUN4,50,18.7623362
StandardA_Run4,RUN4,NA,NA
StandardB_Run4,RUN4,NA,NA
StandardC_Run4,RUN4,NA,NA
StandardD_Run4,RUN4,NA,NA
StandardE_Run4,RUN4,NA,NA
StandardF_Run4,RUN4,NA,NA
StandardG_Run4,RUN4,NA,NA
StandardH_Run4,RUN4,NA,NA
StandardI_Run4,RUN4,NA,NA
H04,RUN4,50,25.86377239
H05,RUN4,50,32.6047134
H06,RUN4,50,39.75400293
H07,RUN4,50,36.03420302
H08,RUN4,50,41.77979448
H09,RUN4,50,28.63288588
H10,RUN4,50,37.37409664
I01,RUN4,50,23.28607228
I02,RUN4,50,14.36939925
I03,RUN4,50,20.75941574
I04,RUN4,50,27.58011232
I05,RUN4,50,25.06302644
I06,RUN4,50,29.48467539
I07,RUN4,50,15.32965635
I08,RUN4,50,15.66781998
