Well.Location,Run,Sample.Type,Sample.Name
A01,RUN5,Host,I09
A02,RUN5,Host,I09
A03,RUN5,Host,I09
A04,RUN5,Host,I10
A05,RUN5,Host,I10
A06,RUN5,Host,I10
A07,RUN5,Host,J01
A08,RUN5,Host,J01
A09,RUN5,Host,J01
A10,RUN5,Host,J02
A11,RUN5,Host,J02
A12,RUN5,Host,J02
B01,RUN5,Host,J03
B02,RUN5,Host,J03
B03,RUN5,Host,J03
B04,RUN5,Host,J04
B05,RUN5,Host,J04
B06,RUN5,Host,J04
B07,RUN5,Host,J05
B08,RUN5,Host,J05
B09,RUN5,Host,J05
B10,RUN5,Host,J06
B11,RUN5,Host,J06
B12,RUN5,Host,J06
C01,RUN5,Host,J07
C02,RUN5,Host,J07
C03,RUN5,Host,J07
C04,RUN5,Host,J08
C05,RUN5,Host,J08
C06,RUN5,Host,J08
C07,RUN5,Host,J09
C08,RUN5,Host,J09
C09,RUN5,Host,J09
C10,RUN5,Host,J10
C11,RUN5,Host,J10
C12,RUN5,Host,J10
D01,RUN5,Standard,StandardA_Run5
D02,RUN5,Standard,StandardA_Run5
D03,RUN5,Standard,StandardA_Run5
D04,RUN5,Standard,StandardB_Run5
D05,RUN5,Standard,StandardB_Run5
D06,RUN5,Standard,StandardB_Run5
D07,RUN5,Standard,StandardC_Run5
D08,RUN5,Standard,StandardC_Run5
D09,RUN5,Standard,StandardC_Run5
D10,RUN5,Standard,StandardD_Run5
D11,RUN5,Standard,StandardD_Run5
D12,RUN5,Standard,StandardD_Run5
E01,RUN5,Standard,StandardE_Run5
E02,RUN5,Standard,StandardE_Run5
E03,RUN5,Standard,StandardE_Run5
E04,RUN5,Standard,StandardF_Run5
E05,RUN5,Standard,StandardF_Run5
E06,RUN5,Standard,StandardF_Run5
E07,RUN5,Standard,StandardG_Run5
E08,RUN5,Standard,StandardG_Run5
E09,RUN5,Standard,StandardG_Run5
E10,RUN5,Standard,StandardH_Run5
E11,RUN5,Standard,StandardH_Run5
E12,RUN5,Standard,StandardH_Run5
F01,RUN5,Standard,StandardI_Run5
F02,RUN5,Standard,StandardI_Run5
F03,RUN5,Standard,StandardI_Run5
F04,RUN5,Host,A01
F05,RUN5,Host,A01
F06,RUN5,Host,A01
F07,RUN5,Host,A02
F08,RUN5,Host,A02
F09,RUN5,Host,A02
F10,RUN5,Host,A03
F11,RUN5,Host,A03
F12,RUN5,Host,A03
G01,RUN5,Host,A04
G02,RUN5,Host,A04
G03,RUN5,Host,A04
G04,RUN5,Host,A05
G05,RUN5,Host,A05
G06,RUN5,Host,A05
G07,RUN5,Host,A06
G08,RUN5,Host,A06
G09,RUN5,Host,A06
G10,RUN5,Host,A07
G11,RUN5,Host,A07
G12,RUN5,Host,A07
H01,RUN5,Host,A08
H02,RUN5,Host,A08
H03,RUN5,Host,A08
H04,RUN5,Host,A09
H05,RUN5,Host,A09
H06,RUN5,Host,A09
H07,RUN5,Host,A10
H08,RUN5,Host,A10
H09,RUN5,Host,A10
H10,RUN5,Host,B01
H11,RUN5,Host,B01
H12,RUN5,Host,B01
