Well.Location,Run,Sample.Type,Sample.Name
A01,RUN2,Standard,StandardA_Run2
A02,RUN2,Standard,StandardA_Run2
A03,RUN2,Standard,StandardA_Run2
A04,RUN2,Standard,StandardB_Run2
A05,RUN2,Standard,StandardB_Run2
A06,RUN2,Standard,StandardB_Run2
A07,RUN2,Standard,StandardC_Run2
A08,RUN2,Standard,StandardC_Run2
A09,RUN2,Standard,StandardC_Run2
A10,RUN2,Standard,StandardD_Run2
A11,RUN2,Standard,StandardD_Run2
A12,RUN2,Standard,StandardD_Run2
B01,RUN2,Standard,StandardE_Run2
B02,RUN2,Standard,StandardE_Run2
B03,RUN2,Standard,StandardE_Run2
B04,RUN2,Standard,StandardF_Run2
B05,RUN2,Standard,StandardF_Run2
B06,RUN2,Standard,StandardF_Run2
B07,RUN2,Standard,StandardG_Run2
B08,RUN2,Standard,StandardG_Run2
B09,RUN2,Standard,StandardG_Run2
B10,RUN2,Standard,StandardH_Run2
B11,RUN2,Standard,StandardH_Run2
B12,RUN2,Standard,StandardH_Run2
C01,RUN2,Standard,StandardI_Run2
C02,RUN2,Standard,StandardI_Run2
C03,RUN2,Standard,StandardI_Run2
C04,RUN2,Host,C02
C05,RUN2,Host,C02
C06,RUN2,Host,C02
C07,RUN2,Symbiont,C03
C08,RUN2,Symbiont,C03
C09,RUN2,Symbiont,C03
C10,RUN2,Host,C04
C11,RUN2,Host,C04
C12,RUN2,Host,C04
D01,RUN2,Symbiont,C05
D02,RUN2,Symbiont,C05
D03,RUN2,Symbiont,C05
D04,RUN2,Host,C06
D05,RUN2,Host,C06
D06,RUN2,Host,C06
D07,RUN2,Symbiont,C07
D08,RUN2,Symbiont,C07
D09,RUN2,Symbiont,C07
D10,RUN2,Host,C08
D11,RUN2,Host,C08
D12,RUN2,Host,C08
E01,RUN2,Symbiont,C09
E02,RUN2,Symbiont,C09
E03,RUN2,Symbiont,C09
E04,RUN2,Host,C10
E05,RUN2,Host,C10
E06,RUN2,Host,C10
E07,RUN2,Symbiont,E01
E08,RUN2,Symbiont,E01
E09,RUN2,Symbiont,E01
E10,RUN2,Host,E02
E11,RUN2,Host,E02
E12,RUN2,Host,E02
F01,RUN2,NA,NA
F02,RUN2,NA,NA
F03,RUN2,NA,NA
F04,RUN2,NA,NA
F05,RUN2,NA,NA
F06,RUN2,NA,NA
F07,RUN2,NA,NA
F08,RUN2,NA,NA
F09,RUN2,NA,NA
F10,RUN2,NA,NA
F11,RUN2,NA,NA
F12,RUN2,NA,NA
G01,RUN2,NA,NA
G02,RUN2,NA,NA
G03,RUN2,NA,NA
G04,RUN2,NA,NA
G05,RUN2,NA,NA
G06,RUN2,NA,NA
G07,RUN2,NA,NA
G08,RUN2,NA,NA
G09,RUN2,NA,NA
G10,RUN2,NA,NA
G11,RUN2,NA,NA
G12,RUN2,NA,NA
H01,RUN2,NA,NA
H02,RUN2,NA,NA
H03,RUN2,NA,NA
H04,RUN2,NA,NA
H05,RUN2,NA,NA
H06,RUN2,NA,NA
H07,RUN2,NA,NA
H08,RUN2,NA,NA
H09,RUN2,NA,NA
H10,RUN2,NA,NA
H11,RUN2,NA,NA
H12,RUN2,NA,NA
