Well.Location,Plate,Species,Group.Type,Sample.Name
A01,PLATE2,,,Blank_Plate2
A02,PLATE2,,,Blank_Plate2
A03,PLATE2,,,Blank_Plate2
A04,PLATE2,,,D02
A05,PLATE2,,,D02
A06,PLATE2,,,D02
A07,PLATE2,,,D01
A08,PLATE2,,,D01
A09,PLATE2,,,D01
A10,PLATE2,,,D03
A11,PLATE2,,,D03
A12,PLATE2,,,D03
B01,PLATE2,,,D04
B02,PLATE2,,,D04
B03,PLATE2,,,D04
B04,PLATE2,,,D05
B05,PLATE2,,,D05
B06,PLATE2,,,D05
B07,PLATE2,,,D06
B08,PLATE2,,,D06
B09,PLATE2,,,D06
B10,PLATE2,,,D07
B11,PLATE2,,,D07
B12,PLATE2,,,D07
C01,PLATE2,,,D08
C02,PLATE2,,,D08
C03,PLATE2,,,D08
C04,PLATE2,,,D09
C05,PLATE2,,,D09
C06,PLATE2,,,D09
C07,PLATE2,,,D10
C08,PLATE2,,,D10
C09,PLATE2,,,D10
C10,PLATE2,,,E01
C11,PLATE2,,,E01
C12,PLATE2,,,E01
D01,PLATE2,,,E02
D02,PLATE2,,,E02
D03,PLATE2,,,E02
D04,PLATE2,,,E03
D05,PLATE2,,,E03
D06,PLATE2,,,E03
D07,PLATE2,,,E04
D08,PLATE2,,,E04
D09,PLATE2,,,E04
D10,PLATE2,,,E05
D11,PLATE2,,,E05
D12,PLATE2,,,E05
E01,PLATE2,,,E06
E02,PLATE2,,,E06
E03,PLATE2,,,E06
E04,PLATE2,,,E07
E05,PLATE2,,,E07
E06,PLATE2,,,E07
E07,PLATE2,,,E08
E08,PLATE2,,,E08
E09,PLATE2,,,E08
E10,PLATE2,,,E09
E11,PLATE2,,,E09
E12,PLATE2,,,E09
F01,PLATE2,,,E10
F02,PLATE2,,,E10
F03,PLATE2,,,E10
F04,PLATE2,,,F01
F05,PLATE2,,,F01
F06,PLATE2,,,F01
F07,PLATE2,,,F02
F08,PLATE2,,,F02
F09,PLATE2,,,F02
F10,PLATE2,,,F03
F11,PLATE2,,,F03
F12,PLATE2,,,F03
G01,PLATE2,,,F04
G02,PLATE2,,,F04
G03,PLATE2,,,F04
G04,PLATE2,,,F05
G05,PLATE2,,,F05
G06,PLATE2,,,F05
G07,PLATE2,,,F06
G08,PLATE2,,,F06
G09,PLATE2,,,F06
G10,PLATE2,,,F07
G11,PLATE2,,,F07
G12,PLATE2,,,F07
H01,PLATE2,,,F08
H02,PLATE2,,,F08
H03,PLATE2,,,F08
H04,PLATE2,,,F09
H05,PLATE2,,,F09
H06,PLATE2,,,F09
H07,PLATE2,,,F10
H08,PLATE2,,,F10
H09,PLATE2,,,F10
