Well.Location,Plate,Species,Group.Type,Sample.Name
A01,PLATE4,,,Blank_Plate4
A02,PLATE4,,,Blank_Plate4
A03,PLATE4,,,Blank_Plate4
A04,PLATE4,,,J01
A05,PLATE4,,,J01
A06,PLATE4,,,J01
A07,PLATE4,,,J02
A08,PLATE4,,,J02
A09,PLATE4,,,J02
A10,PLATE4,,,J03
A11,PLATE4,,,J03
A12,PLATE4,,,J03
B01,PLATE4,,,J04
B02,PLATE4,,,J04
B03,PLATE4,,,J04
B04,PLATE4,,,J05
B05,PLATE4,,,J05
B06,PLATE4,,,J05
B07,PLATE4,,,J06
B08,PLATE4,,,J06
B09,PLATE4,,,J06
B10,PLATE4,,,J07
B11,PLATE4,,,J07
B12,PLATE4,,,J07
C01,PLATE4,,,J08
C02,PLATE4,,,J08
C03,PLATE4,,,J08
C04,PLATE4,,,J09
C05,PLATE4,,,J09
C06,PLATE4,,,J09
C07,PLATE4,,,J10
C08,PLATE4,,,J10
C09,PLATE4,,,J10
C10,PLATE4,,,B08
C11,PLATE4,,,B08
C12,PLATE4,,,B08
