##BLOCKS= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate5,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,630 663 750 ,1,12,96,1,8,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,24,0.0306,0.0321,0.033,0.1185,0.1342,0.1372,0.1144,0.1224,0.1239,0.0775,0.0823,0.0826,,0.0299,0.0319,0.033,0.3643,0.4189,0.4322,0.3168,0.3378,0.3509,0.195,0.2155,0.2151,,0.0281,0.03,0.0295,0.0308,0.0319,0.031,0.0314,0.0347,0.0316,0.0312,0.0292,0.03
,,0.1085,0.1159,0.1206,0.1184,0.1267,0.1339,0.0989,0.1141,0.1156,0.0897,0.093,0.0918,,0.3019,0.3328,0.3399,0.3518,0.3759,0.3954,0.3041,0.3536,0.3637,0.229,0.25,0.2482,,0.0301,0.029,0.0318,0.031,0.0307,0.0323,0.0282,0.0304,0.0298,0.033,0.0294,0.0306
,,0.0885,0.0963,0.1012,0.0893,0.0927,0.0911,0.0719,0.0791,0.0835,0.0835,0.0894,0.0937,,0.262,0.2868,0.2967,0.2309,0.2527,0.2559,0.1886,0.2172,0.2242,0.2329,0.2618,0.2684,,0.0286,0.03,0.0325,0.0354,0.0315,0.0285,0.029,0.0292,0.0312,0.0302,0.0283,0.0312
,,0.0675,0.0723,0.2103,0.0771,0.0819,0.0851,0.0918,0.1018,0.1034,0.0882,0.0929,0.097,,0.1796,0.2013,0.3425,0.1998,0.2215,0.2297,0.2696,0.3002,0.3068,0.2543,0.2869,0.2903,,0.0288,0.028,0.1613,0.0291,0.0282,0.0289,0.0281,0.0291,0.0298,0.0326,0.0281,0.0305
,,0.1336,0.1513,0.1529,0.1187,0.1246,0.1288,0.128,0.1435,0.149,0.0895,0.0993,0.1061,,0.4319,0.4985,0.5088,0.3633,0.3907,0.4091,0.4285,0.5012,0.5212,0.2521,0.2827,0.2982,,0.0293,0.0297,0.0299,0.0308,0.0307,0.03,0.0309,0.0294,0.0313,0.0287,0.0311,0.0321
,,0.0857,0.0933,0.0972,0.0779,0.0906,0.0929,0.0652,0.0731,0.0703,0.1278,0.1133,0.1187,,0.249,0.2889,0.2935,0.2137,0.255,0.2626,0.1582,0.1778,0.1791,0.293,0.3335,0.3449,,0.0296,0.028,0.0301,0.0263,0.0417,0.0299,0.0285,0.0302,0.0266,0.0298,0.0276,0.0304
,,0.1002,0.1104,0.1119,0.0932,0.1025,0.1016,0.1219,0.1344,0.1361,0.0833,0.0941,0.0989,,0.2854,0.3261,0.3333,0.2592,0.2868,0.2904,0.361,0.404,0.4104,0.2226,0.2542,0.2674,,0.031,0.0287,0.0296,0.0302,0.032,0.0303,0.0289,0.0306,0.0302,0.0282,0.0325,0.0323
,,0.0918,0.0997,0.1024,0.09,0.0958,0.1001,0.0847,0.0848,0.0954,0.0298,0.0297,0.0317,,0.2534,0.2848,0.2957,0.2525,0.2794,0.2911,0.236,0.2375,0.2698,0.0289,0.0284,0.0307,,0.0292,0.0284,0.0291,0.0272,0.0262,0.0283,0.0279,0.0264,0.0293,0.028,0.0286,0.0301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate3_Chla_15.13_08.12.2025; Date Last Saved: 8/12/2025 3:14:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
