Sample.Name,Plate,Slurry_vol_ml,SA_cm2
Blank_Plate3,PLATE3,50,10
G01,PLATE3,50,10
G02,PLATE3,50,10
G03,PLATE3,50,10
G04,PLATE3,50,10
G05,PLATE3,50,10
G06,PLATE3,50,10
G07,PLATE3,50,10
G08,PLATE3,50,10
G09,PLATE3,50,10
G10,PLATE3,50,10
H01,PLATE3,50,10
H02,PLATE3,50,10
H03,PLATE3,50,10
H04,PLATE3,50,10
H05,PLATE3,50,10
H06,PLATE3,50,10
H07,PLATE3,50,10
H08,PLATE3,50,10
H09,PLATE3,50,10
H10,PLATE3,50,10
I01,PLATE3,50,10
I02,PLATE3,50,10
I03,PLATE3,50,10
I04,PLATE3,50,10
I05,PLATE3,50,10
I06,PLATE3,50,10
I07,PLATE3,50,10
I08,PLATE3,50,10
I09,PLATE3,50,10
I10,PLATE3,50,10
