##BLOCKS= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate:,Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,,3,630 663 750 ,1,12,96,1,8,,,,,,,,,,,,,,,,,,,
,Temperature(¡C),1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
,23.5,0.0327,0.0328,0.0319,0.0643,0.0721,0.0684,0.0565,0.0556,0.0607,0.072,0.0787,0.0762,,0.0324,0.0328,0.0336,0.1466,0.1689,0.1703,0.1114,0.12,0.1299,0.1676,0.1916,0.1897,,0.0303,0.0301,0.0318,0.031,0.0331,0.0283,0.0319,0.0288,0.0314,0.0306,0.0308,0.0297
,,0.0742,0.0797,0.0816,0.0904,0.101,0.1013,0.2394,0.2582,0.2709,0.1172,0.1303,0.1294,,0.1816,0.2002,0.2072,0.2479,0.2816,0.2878,0.8081,0.8784,0.9285,0.3527,0.3994,0.4022,,0.0297,0.0302,0.0308,0.0296,0.0327,0.0307,0.0299,0.0308,0.0307,0.0303,0.0302,0.0314
,,0.1898,0.2126,0.2182,0.1203,0.1345,0.1356,0.117,0.1291,0.1318,0.0958,0.115,0.1079,,0.6349,0.7118,0.7335,0.3598,0.412,0.4241,0.3568,0.3957,0.4032,0.2488,0.2975,0.293,,0.0308,0.0324,0.0324,0.0313,0.0314,0.0296,0.0307,0.0309,0.0316,0.0313,0.0378,0.0307
,,0.0688,0.0708,0.0777,0.0759,0.0764,0.0808,0.0996,0.1099,0.111,0.0723,0.0788,0.0834,,0.1617,0.1787,0.1892,0.178,0.1942,0.2067,0.2897,0.3299,0.3362,0.1836,0.21,0.2153,,0.0287,0.0259,0.0303,0.0333,0.0282,0.0287,0.0305,0.0304,0.0283,0.0289,0.0287,0.0317
,,0.0998,0.1167,0.1217,0.0911,0.1007,0.1039,0.0378,0.0491,0.0395,0.0553,0.0586,0.0617,,0.2788,0.3474,0.3609,0.2406,0.2696,0.2827,0.0375,0.0477,0.0383,0.1146,0.1267,0.1338,,0.0309,0.0283,0.0304,0.0296,0.0308,0.0304,0.0354,0.0446,0.036,0.029,0.0285,0.0307
,,0.0586,0.0602,0.061,0.1269,0.1448,0.1511,0.0679,0.0748,0.077,0.0808,0.0832,0.089,,0.1212,0.1327,0.1328,0.3888,0.4513,0.4714,0.172,0.1988,0.2055,0.204,0.2269,0.2357,,0.0296,0.0277,0.0288,0.0278,0.0292,0.0294,0.0281,0.0292,0.0289,0.0359,0.0289,0.0338
,,0.0716,0.0758,0.0785,0.118,0.1306,0.1382,0.0986,0.0967,0.1141,0.0962,0.107,0.1124,,0.1623,0.1877,0.1934,0.3606,0.4146,0.4264,0.2861,0.2741,0.342,0.2731,0.311,0.33,,0.0328,0.0296,0.0306,0.03,0.0287,0.0337,0.0289,0.0314,0.0308,0.0293,0.0304,0.0316
,,0.0666,0.0721,0.0734,0.0467,0.0527,0.0533,0.0586,0.0627,0.0732,0.0299,0.0329,0.0313,,0.1676,0.1913,0.1971,0.1109,0.1325,0.1355,0.1483,0.1664,0.1822,0.0293,0.0322,0.0306,,0.0282,0.0276,0.0276,0.0266,0.028,0.0276,0.027,0.0271,0.0344,0.0278,0.0311,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Filename: Plate1_excel; Date Last Saved: 8/12/2025 12:43:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
