Sample.Name,Plate,Slurry_vol_ml,SA_cm2
Blank_Plate1,PLATE1,50,10
A01,PLATE1,50,10
A02,PLATE1,50,10
A03,PLATE1,50,10
A04,PLATE1,50,10
A05,PLATE1,50,10
A06,PLATE1,50,10
A07,PLATE1,50,10
A08,PLATE1,50,10
A09,PLATE1,50,10
A10,PLATE1,50,10
B01,PLATE1,50,10
B02,PLATE1,50,10
B03,PLATE1,50,10
B04,PLATE1,50,10
B05,PLATE1,50,10
B06,PLATE1,50,10
B07,PLATE1,50,10
B09,PLATE1,50,10
B10,PLATE1,50,10
C01,PLATE1,50,10
C02,PLATE1,50,10
C03,PLATE1,50,10
C04,PLATE1,50,10
C05,PLATE1,50,10
C06,PLATE1,50,10
C07,PLATE1,50,10
C08,PLATE1,50,10
C09,PLATE1,50,10
C10,PLATE1,50,10
