Sample.Name,chla_mean,chla_SE,chlc_mean,chlc_SE,TotalChl_mean,Totalchl_SE,chla_ug_cm2_mean,chla_ug_cm2_SE,chlc_ug_cm2_mean,chlc_ug_cm2_SE,Totalchl_ug_cm2_mean,Totalchl_ug_cm2_SE
G01,5.930264319248827,0.32674452750267774,1.8555338028169015,0.10944555983386325,7.785798122065728,0.43618989221580784,6.134860400757515,0.3380173218306587,1.9195503330634556,0.1132214678668073,8.054410733820971,0.45123858784500265
G02,4.792410328638498,0.15517403843261557,1.7978197183098594,0.052404571473178285,6.590230046948357,0.20755018060772412,7.420413275775889,0.24026646632494436,2.7836859514047796,0.0811415449021857,10.204099227180668,0.3213639922207531
G03,2.826317370892019,0.11567993685026023,1.0210816901408453,0.0461339255374926,3.847399061032864,0.16179483165921016,8.3089280468952,0.3400807997209581,3.0018193925280037,0.13562647696952237,11.310747439423205,0.47565132934508664
G04,4.665759154929577,0.18146575014904023,1.7256985915492957,0.06368050538834134,6.391457746478872,0.24478745626960058,9.837744168118531,0.38262018376062484,3.6386321477840387,0.13427022263785302,13.47637631590257,0.5161338788352392
G05,5.436719718309859,0.19363096451556808,1.8709000000000002,0.09494376584527463,7.307619718309859,0.2884775723117939,9.313283842033268,0.33169635857203394,3.204914662306116,0.16264186608160744,12.518198504339384,0.4941717896459143
G06,4.934489201877935,0.28262046018502895,1.4648957746478872,0.08926690581683805,6.399384976525822,0.3715965697966118,10.065818348301981,0.5765148321032609,2.988227182904575,0.1820947258584152,13.054045531206556,0.7580163655037098
G07,3.3487070422535212,0.12296971746898484,1.2275535211267607,0.03977036153239469,4.576260563380282,0.15933811236105316,4.628128938797836,0.1699520742880546,1.6965580755092606,0.05496520262658237,6.324687014307097,0.2202155397790039
G08,3.98969765258216,0.14706888883593108,1.1931309859154928,0.052804716190637896,5.182828638497653,0.199787649837677,5.633746705737376,0.20767209451564334,1.684788760136799,0.07456414540431826,7.318535465874175,0.2821148648674064
G09,3.402974178403756,0.15477964488724996,1.1623521126760565,0.05303665764502823,4.5653262910798125,0.20772933096783738,7.1867666467854425,0.3268802909338453,2.4547801297508838,0.1120085143869826,9.641546776536327,0.4387051294226945
G10,2.857368075117371,0.1649092262200746,0.9241225352112677,0.055033682712410666,3.781490610328639,0.218981842702242,5.904024847628744,0.3407429997154134,1.909464327558457,0.11371311698344719,7.813489175187201,0.45247031761578654
H01,3.5604441314553994,0.17347075048485056,1.102243661971831,0.053399624333811964,4.662687793427231,0.22670348628957937,4.172394509832274,0.2032859891115923,1.2916914951924163,0.06257767041732161,5.46408600502469,0.26566808707873857
H02,2.6718774647887327,0.14398952318076103,0.8176718309859156,0.06890888934490123,3.489549295774648,0.2096831630814735,5.210276647315402,0.28078579948879506,1.594495444606928,0.13437531536446,6.80477209192233,0.4088912393387075
H03,2.9833840375586855,0.14344850373952875,1.0456746478873242,0.04649920863295829,4.02905868544601,0.18968984115747412,7.950459915430695,0.3822778309972101,2.7866323168415565,0.12391636131367872,10.737092232272252,0.5055069878703966
H04,4.174050704225352,0.17396738605962384,1.3251887323943663,0.06472671269148506,5.499239436619718,0.2382433271051613,8.069299871041263,0.33631479475686743,2.5618628102889174,0.12513006941808494,10.631162681330181,0.460573429723802
H05,3.916438028169014,0.1987937718992971,1.1154140845070424,0.06603270232418827,5.031852112676057,0.2633646796551311,6.0059384361418955,0.30485434645669557,1.7105104878901378,0.10126250998450463,7.716448924032033,0.4038751643422377
H06,7.141142253521127,0.3797994345371958,2.1362028169014082,0.10750474758734449,9.277345070422536,0.4867196153313434,8.98166439502389,0.47768703343655455,2.686777002888107,0.1352124813401081,11.668441397911996,0.61216428467389
H07,5.666105164319249,0.21489392093172585,1.7425098591549297,0.051279939721239044,7.408615023474178,0.26593489003856224,7.862120831664295,0.2981804825993427,2.417855416682572,0.07115453572370843,10.279976248346868,0.36900342972891714
H08,7.195447417840376,0.44886135369236946,1.8664985915492958,0.09808450430180153,9.061946009389672,0.5468280937520195,8.611157028650343,0.5371751576078709,2.2337335723884295,0.11738270319730111,10.844890601038772,0.6544169263611224
H09,3.915893427230047,0.1983931934285856,1.3188154929577467,0.08238241806952973,5.234708920187794,0.2795739359923627,6.838104694793075,0.34644288783891464,2.302973403527823,0.14385978838247956,9.141078098320898,0.48820425779653
H10,3.9342023474178407,0.2266446102167411,1.129969014084507,0.05789349083014338,5.064171361502347,0.2832866215466606,5.263274167284115,0.30321082058498844,1.5117007709493993,0.0774513580726688,6.774974938233514,0.37898791812331123
I01,3.349822535211268,0.20851250935193028,0.999987323943662,0.12678299426732992,4.34980985915493,0.2818399783708016,7.1927598929776835,0.447719363842691,2.14717903457367,0.27222923802444254,9.339938927551353,0.6051685638132908
I02,2.2693436619718312,0.10956744407576571,0.8356915492957745,0.04928517831787803,3.1050352112676056,0.1583304209075177,7.896445851665758,0.3812526959878496,2.907886177968694,0.17149352405208587,10.804332029634452,0.5509291590861666
I03,4.659844131455399,0.25851952278989443,1.9535267605633806,0.22057704114693064,6.6133708920187795,0.06566787917474368,11.223447205396637,0.622656066114061,4.705158336415157,0.5312698678747368,15.928605541811793,0.1581640832217938
I04,4.520712206572769,0.24553707481154752,1.5079450704225354,0.084187339212696,6.028657276995305,0.329011822153548,8.19560151554301,0.4451342909026046,2.733754404127342,0.15262327113810678,10.929355919670353,0.5964657038669156
I05,3.9303779342723013,0.15226594146664477,1.3369366197183097,0.0519988468849608,5.2673145539906105,0.2038739277005314,7.840988285436093,0.3037660711709418,2.667149202668897,0.1037361689128889,10.508137488104989,0.4067224845901956
I06,5.735128169014085,0.2383402884919563,1.9995549295774646,0.07567454788094023,7.734683098591549,0.31396114872093556,9.725608461267317,0.40417655161432003,3.3908376184050377,0.128328609489467,13.116446079672354,0.5324141177884874
I07,3.4393915492957747,0.18980624978779548,1.221474647887324,0.06663603367497009,4.660866197183099,0.25512688616977247,11.218097362292712,0.6190818810748987,3.9840248861394856,0.217343533845656,15.202122248432197,0.8321350470774662
I08,3.947365258215963,0.20273954270861527,1.36183661971831,0.060205351937384945,5.309201877934273,0.262626004253927,12.597046887361424,0.6469934648451814,4.345967152599075,0.1921305963887674,16.9430140399605,0.8381064008559251
I09,3.916606103286385,0.17861569683229275,1.3337366197183098,0.04586404650435496,5.250342723004695,0.22446550889866707,7.580021188575176,0.34568468998320895,2.5812531489854007,0.08876318810949567,10.161274337560577,0.4344203294093152
I10,3.4856051643192485,0.16382080408859534,1.1815521126760566,0.05699361165508087,4.667157276995305,0.22033284651531912,9.907058328329581,0.46562424169937283,3.3582993903237757,0.16199167960531957,13.265357718653355,0.626247167757015
