"","full_species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","parameter"
"1","Acropora hyacinthus",12.5488714753891,3.08675934943299,90,6.41648526259124,18.6812576881869,4.06538704667541,0.000102481534220413,"AFDW"
"2","Echinopora lamellosa",18.1321086240829,3.08675934943299,90,11.999722411285,24.2644948368807,5.8741568653266,7.04851837063259e-08,"AFDW"
"3","Favites complanata",24.5528982280088,3.086759349433,90,18.4205120152109,30.6852844408066,7.95426382446005,5.06481681611005e-12,"AFDW"
"4","Montipora aequituberculata",16.2392046144838,3.08675934943299,90,10.1068184016859,22.3715908272816,5.26092343980971,9.62560383302851e-07,"AFDW"
"5","Montipora vietnamensis",37.5612177104896,3.08675934943299,90,31.4288314976917,43.6936039232874,12.1684956481591,1.03019767422073e-20,"AFDW"
"6","Pachyseris rugosa",22.6704794254844,3.08675934943299,90,16.5380932126865,28.8028656382822,7.34442723228448,8.95063394057813e-11,"AFDW"
"7","Pocillopora eydouxi",13.3128578976651,3.08675934943299,90,7.18047168486727,19.445244110463,4.31289141478119,4.11800677528304e-05,"AFDW"
"8","Porites cylindrica",26.4360814171866,3.08675934943299,90,20.3036952043887,32.5684676299844,8.56434805066439,2.77104934745381e-13,"AFDW"
"9","Porites rus",35.626496633708,3.08675934943299,90,29.4941104209102,41.7588828465059,11.5417149834671,1.91100138495458e-19,"AFDW"
"10","Turbinaria frondens",21.953093322854,3.08675934943299,90,15.8207071100562,28.0854795356519,7.11201970665015,2.64110633218555e-10,"AFDW"
"11","Acropora hyacinthus",1.91261267680966,0.126753106426561,88,1.66071751307229,2.16450784054703,15.0892765529009,3.86870581394075e-26,"chla"
"12","Echinopora lamellosa",1.97711692732011,0.126753106426562,88,1.72522176358274,2.22901209105748,15.5981733549514,4.58243183681057e-27,"chla"
"13","Favites complanata",1.98685594642988,0.126753106426561,88,1.73496078269251,2.23875111016725,15.6750079145479,3.33008611830297e-27,"chla"
"14","Montipora aequituberculata",1.90267324635825,0.126753106426561,88,1.65077808262088,2.15456841009562,15.0108608774857,5.39001954232831e-26,"chla"
"15","Montipora vietnamensis",2.20408664122774,0.126753106426562,88,1.95219147749037,2.45598180496511,17.3888175474796,3.27165026044851e-30,"chla"
"16","Pachyseris rugosa",1.93751742084549,0.126753106426561,88,1.68562225710812,2.18941258458287,15.2857588698866,1.69110965252967e-26,"chla"
"17","Pocillopora eydouxi",1.48942172882238,0.141714281164528,88,1.20779437416227,1.77104908348248,10.5100326980679,3.24701197222059e-17,"chla"
"18","Porites cylindrica",2.52333095404757,0.126753106426561,88,2.2714357903102,2.77522611778494,19.9074486234351,2.41484031809321e-34,"chla"
"19","Porites rus",2.560112874049,0.126753106426562,88,2.30821771031163,2.81200803778638,20.1976341742148,8.47287909362326e-35,"chla"
"20","Turbinaria frondens",2.21649719366615,0.126753106426561,88,1.96460202992877,2.46839235740352,17.4867287765476,2.22745676343222e-30,"chla"
"21","Acropora hyacinthus",4.34417041077867,0.401893222954159,88,3.54549208205754,5.1428487394998,10.8092651546756,7.97592806134874e-18,"chla_sym"
"22","Echinopora lamellosa",4.7731480019783,0.40189322295416,88,3.97446967325716,5.57182633069943,11.8766571053196,5.6320708610015e-20,"chla_sym"
"23","Favites complanata",4.7326233917578,0.401893222954159,88,3.93394506303667,5.53130172047894,11.7758228341601,8.95485780551974e-20,"chla_sym"
"24","Montipora aequituberculata",4.1964613903685,0.401893222954159,88,3.39778306164737,4.99513971908964,10.4417321584125,4.47694087136315e-17,"chla_sym"
"25","Montipora vietnamensis",6.34512948983383,0.401893222954159,88,5.54645116111269,7.14380781855496,15.7880977519185,2.0844380367329e-27,"chla_sym"
