"","full_species","emmean","SE","df","lower.CL","upper.CL","t.ratio","p.value","parameter"
"26","Pachyseris rugosa",6.44311370296856,0.401893222954159,88,5.64443537424743,7.2417920316897,16.0319043342104,7.63391598275105e-28,"chla_sym"
"27","Pocillopora eydouxi",5.05573751109084,0.449330283110989,88,4.16278799350265,5.94868702867903,11.2517177255156,1.01203680667924e-18,"chla_sym"
"28","Porites cylindrica",5.72734245323612,0.401893222954159,88,4.92866412451499,6.52602078195726,14.250905778248,1.39545388418083e-24,"chla_sym"
"29","Porites rus",7.31571871411003,0.401893222954159,88,6.5170403853889,8.11439704283117,18.203140277746,1.38677233209132e-31,"chla_sym"
"30","Turbinaria frondens",4.32397413385061,0.401893222954159,88,3.52529580512948,5.12265246257175,10.7590123119439,1.00925187987308e-17,"chla_sym"
"31","Acropora hyacinthus",1606024.63845364,240590.07802956,90,1128050.45568638,2083998.8212209,6.67535690418752,1.96862651235229e-09,"sym"
"32","Echinopora lamellosa",1597575.82492585,240590.07802956,90,1119601.64215859,2075550.00769311,6.64023985531756,2.3101415311138e-09,"sym"
"33","Favites complanata",1798583.65894039,240590.07802956,90,1320609.47617313,2276557.84170765,7.47571834080128,4.84079075881234e-11,"sym"
"34","Montipora aequituberculata",1764866.77878058,240590.07802956,90,1286892.59601332,2242840.96154784,7.33557590252636,9.32854391913296e-11,"sym"
"35","Montipora vietnamensis",1487075.67786257,240590.07802956,90,1009101.49509531,1965049.86062983,6.18095180832795,1.82526679077367e-08,"sym"
"36","Pachyseris rugosa",1394642.70266742,240590.07802956,90,916668.51990016,1872616.88543468,5.79675901055266,9.86938839632338e-08,"sym"
"37","Pocillopora eydouxi",886890.877077698,240590.07802956,90,408916.694310439,1364865.05984496,3.68631526429253,0.00038852784419008,"sym"
"38","Porites cylindrica",2377400.1292283,240590.07802956,90,1899425.94646104,2855374.31199556,9.88153854348144,5.03471787582335e-16,"sym"
"39","Porites rus",2073313.23936085,240590.07802956,90,1595339.05659359,2551287.42212811,8.61761738614223,2.14799240878157e-13,"sym"
"40","Turbinaria frondens",2228130.86200167,240590.07802956,90,1750156.67923441,2706105.04476893,9.26110868848013,9.8447188401883e-15,"sym"
"41","Acropora hyacinthus",1052.2667164,181.941899128992,85,690.517477336367,1414.01595546363,5.78353156385364,1.18528069174612e-07,"prot"
"42","Echinopora lamellosa",1172.46592659,181.941899128992,85,810.716687526369,1534.21516565363,6.44417768640941,6.69337146845994e-09,"prot"
"43","Favites complanata",1389.28837711667,234.885981767978,85,922.272117651117,1856.30463658222,5.91473516920654,6.756656884195e-08,"prot"
"44","Montipora aequituberculata",1132.61952763,181.941899128992,85,770.870288566368,1494.36876669363,6.22517151383038,1.75571759997031e-08,"prot"
"45","Montipora vietnamensis",1465.0251834,181.941899128992,85,1103.27594433637,1826.77442246363,8.05215945537283,4.44622521943843e-12,"prot"
"46","Pachyseris rugosa",1571.40590428,181.941899128992,85,1209.65666521637,1933.15514334363,8.63685556654499,2.9345643727363e-13,"prot"
"47","Pocillopora eydouxi",623.888974222223,191.783601021406,85,242.571795130945,1005.2061533135,3.2530882249551,0.00163854935103589,"prot"
"48","Porites cylindrica",1491.4634764,181.941899128992,85,1129.71423733637,1853.21271546363,8.19747119019899,2.2658604086411e-12,"prot"
"49","Porites rus",1528.45892496,181.941899128992,85,1166.70968589637,1890.20816402363,8.4008077978584,8.80663779094432e-13,"prot"
"50","Turbinaria frondens",2201.2058449,181.941899128992,85,1839.45660583637,2562.95508396363,12.0983998487309,3.54551813898422e-20,"prot"
