"","model","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","AFDW",0.434641664697825,0.378105831167607,9.76119013302783,7.68789699484161,2.66850305867659e-08,9,-364.467260822611,750.934521645222,779.591393691091,8575.27495318079,90,100
"2","chla",0.372432717313485,0.308249699766001,0.40082851680966,5.80266761434126,2.60587140624909e-06,9,-44.1883586708874,110.376717341775,138.811359607151,14.1383879901292,88,98
"3","chla_sym",0.421742015008749,0.362601993816462,1.27089796072101,7.131245584737,1.07196835523691e-07,9,-157.274996927034,336.549993854068,364.984636119444,142.135983137704,88,98
"4","sym",0.246640149370431,0.171304164307474,760812.629011045,3.27386904364917,0.00172546365138499,9,-1490.84006650978,3003.68013301956,3032.33700506543,52095227081642.8,90,100
"5","prot",0.344369664609202,0.274949982038411,575.35080306422,4.96069200918677,2.33231183350155e-05,9,-733.239037956678,1488.47807591336,1516.57072172096,28137426.4598646,85,95
