"","comparison","Term","Df","SumOfSqs","R2","F","Pr(>F)"
"Model","Elam_vs_Fcom","Model",1,6.19648810283303,0.238641958601432,2.50753990238875,0.055
"Residual","Elam_vs_Fcom","Residual",8,19.7691389777848,0.761358041398568,NA,NA
"Total","Elam_vs_Fcom","Total",9,25.9656270806178,1,NA,NA
"Model1","Elam_vs_Prug","Model",1,2.97080039346937,0.192429721210967,1.90625857602901,0.15
"Residual1","Elam_vs_Prug","Residual",8,12.4675652330774,0.807570278789033,NA,NA
"Total1","Elam_vs_Prug","Total",9,15.4383656265468,1,NA,NA
"Model2","Elam_vs_Peyd","Model",1,9.09375789238977,0.345699281773127,4.22679385356577,0.045
"Residual2","Elam_vs_Peyd","Residual",8,17.2116421239104,0.654300718226873,NA,NA
"Total2","Elam_vs_Peyd","Total",9,26.3054000163002,1,NA,NA
"Model3","Elam_vs_Ahya","Model",1,2.01094685115891,0.0875446677008787,0.767552467299778,0.649
"Residual3","Elam_vs_Ahya","Residual",8,20.9595766995145,0.912455332299121,NA,NA
"Total3","Elam_vs_Ahya","Total",9,22.9705235506734,1,NA,NA
"Model4","Elam_vs_Tfro","Model",1,6.34782051849075,0.225763093870831,2.3327546603227,0.084
"Residual4","Elam_vs_Tfro","Residual",8,21.7693549226051,0.774236906129169,NA,NA
"Total4","Elam_vs_Tfro","Total",9,28.1171754410959,1,NA,NA
"Model5","Elam_vs_Mvie","Model",1,5.03237755783485,0.312500438723547,3.1818246792818,0.052
"Residual5","Elam_vs_Mvie","Residual",7,11.0712080191657,0.687499561276453,NA,NA
"Total5","Elam_vs_Mvie","Total",8,16.1035855770005,1,NA,NA
"Model6","Elam_vs_Maeq","Model",1,11.7972182019127,0.450555900413202,6.56017091823588,0.011
"Residual6","Elam_vs_Maeq","Residual",8,14.3864766317218,0.549444099586799,NA,NA
"Total6","Elam_vs_Maeq","Total",9,26.1836948336345,1,NA,NA
"Model7","Elam_vs_Prus","Model",1,8.61779002692302,0.288546302685171,2.83900994037901,0.023
"Residual7","Elam_vs_Prus","Residual",7,21.2484392289263,0.711453697314829,NA,NA
"Total7","Elam_vs_Prus","Total",8,29.8662292558494,1,NA,NA
"Model8","Elam_vs_Pcyl","Model",1,12.6747343028945,0.279468059996248,2.7150446931798,0.014
"Residual8","Elam_vs_Pcyl","Residual",7,32.6783350355646,0.720531940003752,NA,NA
"Total8","Elam_vs_Pcyl","Total",8,45.3530693384591,1,NA,NA
"Model9","Fcom_vs_Prug","Model",1,2.1265757488359,0.104971660047886,0.938264458115395,0.416
"Residual9","Fcom_vs_Prug","Residual",8,18.1319944963692,0.895028339952114,NA,NA
"Total9","Fcom_vs_Prug","Total",9,20.2585702452051,1,NA,NA
"Model10","Fcom_vs_Peyd","Model",1,8.48309230401015,0.270513983967861,2.96662557496859,0.076
"Residual10","Fcom_vs_Peyd","Residual",8,22.8760713872022,0.729486016032139,NA,NA
"Total10","Fcom_vs_Peyd","Total",9,31.3591636912124,1,NA,NA
"Model11","Fcom_vs_Ahya","Model",1,10.2220117747842,0.277425143948614,3.07151727326515,0.032
"Residual11","Fcom_vs_Ahya","Residual",8,26.6240059628063,0.722574856051386,NA,NA
"Total11","Fcom_vs_Ahya","Total",9,36.8460177375905,1,NA,NA
"Model12","Fcom_vs_Tfro","Model",1,8.93324630605284,0.245641345614685,2.60503508973296,0.079
"Residual12","Fcom_vs_Tfro","Residual",8,27.4337841858969,0.754358654385315,NA,NA
"Total12","Fcom_vs_Tfro","Total",9,36.3670304919498,1,NA,NA
"Model13","Fcom_vs_Mvie","Model",1,3.45460051355695,0.171102517387829,1.44495265921226,0.222
"Residual13","Fcom_vs_Mvie","Residual",7,16.7356372824575,0.828897482612171,NA,NA
"Total13","Fcom_vs_Mvie","Total",8,20.1902377960144,1,NA,NA
"Model14","Fcom_vs_Maeq","Model",1,21.0141113637252,0.511727810348194,8.38430402047866,0.007
"Residual14","Fcom_vs_Maeq","Residual",8,20.0509058950136,0.488272189651806,NA,NA
"Total14","Fcom_vs_Maeq","Total",9,41.0650172587388,1,NA,NA
"Model15","Fcom_vs_Prus","Model",1,7.66528345955911,0.221679963412999,1.99372966253778,0.133
"Residual15","Fcom_vs_Prus","Residual",7,26.9128684922181,0.778320036587001,NA,NA
"Total15","Fcom_vs_Prus","Total",8,34.5781519517772,1,NA,NA
"Model16","Fcom_vs_Pcyl","Model",1,8.86466565624823,0.187781153616682,1.61836687386643,0.168
"Residual16","Fcom_vs_Pcyl","Residual",7,38.3427642988564,0.812218846383318,NA,NA
"Total16","Fcom_vs_Pcyl","Total",8,47.2074299551046,1,NA,NA
"Model17","Prug_vs_Peyd","Model",1,3.0538226316027,0.163934406681262,1.56862722725406,0.239
"Residual17","Prug_vs_Peyd","Residual",8,15.5744976424948,0.836065593318738,NA,NA
"Total17","Prug_vs_Peyd","Total",9,18.6283202740975,1,NA,NA
"Model18","Prug_vs_Ahya","Model",1,6.44688766919,0.250176865256348,2.66918267697225,0.03
"Residual18","Prug_vs_Ahya","Residual",8,19.3224322180989,0.749823134743652,NA,NA
