"","model","term","estimate","std.error","statistic","p.value"
"1","AFDW","(Intercept)",12.5488714753891,3.08675934943299,4.06538704667541,0.000102481534220412
"2","AFDW","full_speciesEchinopora lamellosa",5.5832371486938,4.36533693575008,1.27899340437382,0.204187317913833
"3","AFDW","full_speciesFavites complanata",12.0040267526197,4.36533693575011,2.74985114077042,0.00720632419706234
"4","AFDW","full_speciesMontipora aequituberculata",3.6903331390947,4.36533693575008,0.84537189074057,0.400145101473743
"5","AFDW","full_speciesMontipora vietnamensis",25.0123462351005,4.36533693575008,5.72976304080013,1.3188622665875e-07
"6","AFDW","full_speciesPachyseris rugosa",10.1216079500953,4.36533693575008,2.31863155102737,0.0226803976735642
"7","AFDW","full_speciesPocillopora eydouxi",0.763986422276035,4.36533693575009,0.175012017060891,0.861463317123246
"8","AFDW","full_speciesPorites cylindrica",13.8872099417975,4.36533693575009,3.18124583421445,0.00201259375256573
"9","AFDW","full_speciesPorites rus",23.077625158319,4.36533693575009,5.28656218247986,8.65134882946675e-07
"10","AFDW","full_speciesTurbinaria frondens",9.40422184746494,4.36533693575009,2.15429461365255,0.0338884818496229
"11","chla","(Intercept)",1.91261267680966,0.126753106426561,15.0892765529009,3.86870581394075e-26
"12","chla","full_speciesEchinopora lamellosa",0.0645042505104499,0.179255962181364,0.359844379654091,0.719825663616099
"13","chla","full_speciesFavites complanata",0.0742432696202222,0.179255962181364,0.414174617774253,0.679754018756336
"14","chla","full_speciesMontipora aequituberculata",-0.00993943045141108,0.179255962181363,-0.0554482558373975,0.955907048941121
"15","chla","full_speciesMontipora vietnamensis",0.291473964418079,0.179255962181364,1.62602103088308,0.107521213957483
"16","chla","full_speciesPachyseris rugosa",0.0249047440358335,0.179255962181363,0.138933978723876,0.889819775983943
"17","chla","full_speciesPocillopora eydouxi",-0.423190947987284,0.190129659639842,-2.22580184905882,0.0285825858381057
"18","chla","full_speciesPorites cylindrica",0.61071827723791,0.179255962181363,3.40696214399838,0.000992220311466257
"19","chla","full_speciesPorites rus",0.647500197239345,0.179255962181364,3.61215431475708,0.000504665575312444
"20","chla","full_speciesTurbinaria frondens",0.303884516856487,0.179255962181363,1.69525472491135,0.0935628665921772
"21","chla_sym","(Intercept)",4.34417041077867,0.401893222954159,10.8092651546756,7.97592806134874e-18
"22","chla_sym","full_speciesEchinopora lamellosa",0.428977591199628,0.568362846527607,0.75476008648428,0.452408131090284
"23","chla_sym","full_speciesFavites complanata",0.388452980979134,0.568362846527606,0.683459489571449,0.496112166868825
"24","chla_sym","full_speciesMontipora aequituberculata",-0.147709020410166,0.568362846527605,-0.25988507396743,0.795559495575644
"25","chla_sym","full_speciesMontipora vietnamensis",2.00095907905516,0.568362846527607,3.52056629190305,0.000684547075707522
"26","chla_sym","full_speciesPachyseris rugosa",2.09894329218989,0.568362846527606,3.69296357953958,0.000384076335552535
"27","chla_sym","full_speciesPocillopora eydouxi",0.711567100312171,0.602839834431239,1.18035846284696,0.241038420847483
"28","chla_sym","full_speciesPorites cylindrica",1.38317204245745,0.568362846527605,2.43360742333511,0.0169710025943856
"29","chla_sym","full_speciesPorites rus",2.97154830333136,0.568362846527606,5.22825923876963,1.1421400734553e-06
"30","chla_sym","full_speciesTurbinaria frondens",-0.0201962769280583,0.568362846527606,-0.0355341258694983,0.97173431546916
"31","sym","(Intercept)",1606024.63845364,240590.07802956,6.67535690418752,1.96862651235231e-09
"32","sym","full_speciesEchinopora lamellosa",-8448.81352779097,340245.751321805,-0.0248315033912064,0.980244337340345
"33","sym","full_speciesFavites complanata",192559.020486753,340245.751321804,0.56594099922979,0.572842288471507
"34","sym","full_speciesMontipora aequituberculata",158842.14032694,340245.751321805,0.466845330793583,0.641738723996713
"35","sym","full_speciesMontipora vietnamensis",-118948.960591066,340245.751321805,-0.349597195935486,0.727457730833766
"36","sym","full_speciesPachyseris rugosa",-211381.935786218,340245.751321805,-0.621262528525427,0.535997287897188
"37","sym","full_speciesPocillopora eydouxi",-719133.76137594,340245.751321804,-2.11357161281871,0.0373188541808479
"38","sym","full_speciesPorites cylindrica",771375.490774667,340245.751321805,2.26711277886053,0.0257782415129869
"39","sym","full_speciesPorites rus",467288.600907212,340245.751321805,1.37338555762082,0.173044211148382
"40","sym","full_speciesTurbinaria frondens",622106.223548032,340245.751321805,1.82840262113852,0.0708017884138955
"41","prot","(Intercept)",1052.2667164,181.941899128992,5.78353156385364,1.18528069174612e-07
"42","prot","full_speciesEchinopora lamellosa",120.199210190001,257.304701312138,0.467147353223782,0.641589764316092
"43","prot","full_speciesFavites complanata",337.021660716668,297.109877132638,1.13433341216796,0.259843622873746
"44","prot","full_speciesMontipora aequituberculata",80.3528112299997,257.304701312137,0.312286603471436,0.755587529532901
"45","prot","full_speciesMontipora vietnamensis",412.758467000001,257.304701312138,1.60416216608215,0.112387758105247
"46","prot","full_speciesPachyseris rugosa",519.13918788,257.304701312138,2.01760475122539,0.0467870930212557
"47","prot","full_speciesPocillopora eydouxi",-428.377742177776,264.355450633049,-1.62046116753767,0.10883746047893
"48","prot","full_speciesPorites cylindrica",439.196760000001,257.304701312138,1.70691307916371,0.0914890187914367
"49","prot","full_speciesPorites rus",476.19220856,257.304701312138,1.85069377330315,0.0676873092540058
"50","prot","full_speciesTurbinaria frondens",1148.9391285,257.304701312138,4.46528618653654,2.44289740127543e-05
