"sample_ID","species","weight_g","volume_mL","frag_ID","SA_cm2"
"A01_PI","Pcyl",1,469,"A01",13.5814141956406
"E01_PI","Peyo",1,462,"E01",22.4183316506502
"D01_PI","Prus",1,463,"D01",29.1752237696791
"I01_PI","Tfro",1,465,"I01",17.2693118772257
"BLANK02_Run1_PI","BLANK",NA,475,"BLANK02_Run1",NA
"B01_PI","Mvie",1,467,"B01",13.4601857251386
"C01_PI","Fcom",1,463,"C01",19.5407505876832
"J01_PI","Ahya",1,468,"J01",19.4578047920765
"G01_PI","Elam",1,464,"G01",21.3815092055678
"F01_PI","Prug",1,465,"F01",23.308403841967
"H01_PI","Maeq",1,463,"H01",31.3381949012663
"BLANK01_Run1_PI","BLANK",NA,475,"BLANK01_Run1",NA
"G02_PI","Elam",1,470,"G02",13.4091421586116
"H02_PI","Maeq",1,464,"H02",33.1725730733351
"J02_PI","Ahya",1,465,"J02",18.1466231769109
"BLANK01_Run2_PI","BLANK",NA,475,"BLANK01_Run2",NA
"D02_PI","Prus",1,459,"D02",25.8573919454156
"C02_PI","Fcom",1,461,"C02",24.0900084544137
"I02_PI","Tfro",1,460,"I02",30.8022374527315
"A02_PI","Pcyl",1,468,"A02",9.31927639062511
"E02_PI","Peyo",1,457,"E02",44.9732076098262
"B02_PI","Mvie",1,467,"B02",14.5959050803673
"BLANK02_Run2_PI","BLANK",NA,475,"BLANK02_Run2",NA
"F02_PI","Prug",1,465,"F02",14.6469486468945
"J03_PI","Ahya",1,470,"J03",27.5258785262712
"H03_PI","Maeq",1,463,"H03",36.4329808852555
"D04_PI","Prus",1,455,"D04",13.7728275701173
"E03_PI","Peyo",1,464,"E03",30.9745094897605
"G03_PI","Elam",1,465,"G03",22.8904846410261
"BLANK01_Run3_PI","BLANK",NA,475,"BLANK01_Run3",NA
"BLANK02_Run3_PI","BLANK",NA,475,"BLANK02_Run3",NA
"C03_PI","Fcom",1,441,"C03",38.7395120477003
"F03_PI","Prug",1,461,"F03",18.9856518017006
"I03_PI","Tfro",1,460,"I03",23.4711052102722
"A03_PI","Pcyl",1,470,"A03",11.6002857698063
"B03_PI","Mvie",1,460,"B03",24.1251009064012
