sample_ID,Intercept,umol.L.sec,Temp.C,Light_level,Light_value,run_block
A01_PI,186.653026585695,-0.002793147773279345,28.779212765957446,1,0,RUN1
E01_PI,189.06943626217318,-0.006188286464602315,28.718,1,0,RUN1
D01_PI,184.49932235474347,-0.006481464055148312,28.815872340425532,1,0,RUN1
I01_PI,190.65041261808364,-0.005072419028340066,28.840108695652173,1,0,RUN1
BLANK02_Run1_PI,195.45662240896354,-1.4438375350136218e-4,28.680395833333332,1,0,RUN1
B01_PI,193.21518572238875,-0.0030989830645814613,28.682617021276595,1,0,RUN1
C01_PI,188.79940519095288,-0.003523058954393749,28.578127659574466,1,0,RUN1
J01_PI,188.08699919354842,-0.004178508064516153,28.55540425531915,1,0,RUN1
G01_PI,186.75795023126744,-0.005454005550416308,28.543869565217392,1,0,RUN1
F01_PI,179.5028336169407,-0.005772222672392786,28.682978260869564,1,0,RUN1
H01_PI,165.72238888888884,-0.00939333333333328,28.66595652173913,1,0,RUN1
BLANK01_Run1_PI,194.2234790697674,-1.8840028188861778e-4,28.66019565217391,1,0,RUN1
A01_PI,182.21236,5.255384615384858e-4,28.771384615384616,2,51,RUN1
E01_PI,180.2669117647059,-0.0010753676470588154,28.693641025641025,2,51,RUN1
D01_PI,175.5510533333333,2.2940170940251165e-5,28.748948717948718,2,51,RUN1
I01_PI,183.07230461538467,-0.0011233076923077604,28.749,2,51,RUN1
BLANK02_Run1_PI,195.45850361197122,-1.1393188854499884e-4,28.665410256410258,2,51,RUN1
B01_PI,188.37024675324673,2.519480519480967e-4,28.66597435897436,2,51,RUN1
C01_PI,183.79494937055264,2.2490421455952935e-4,28.699461538461538,2,51,RUN1
J01_PI,182.0791176470588,2.230392156863351e-4,28.651236842105263,2,51,RUN1
G01_PI,178.96676108374388,0.003327709359605896,28.620578947368422,2,51,RUN1
F01_PI,171.11697076923082,-0.0016066923076923647,28.739315789473686,2,51,RUN1
H01_PI,152.45791991101217,-0.002077152391546108,28.709973684210528,2,51,RUN1
BLANK01_Run1_PI,194.07598023715414,-1.1837944664030092e-4,28.689102564102562,2,51,RUN1
A01_PI,182.54406744868027,0.0019393511730206319,28.763153846153845,3,98,RUN1
E01_PI,179.2313095975232,0.001769814241486119,28.684897435897437,3,98,RUN1
D01_PI,175.4810316205534,0.004038932806324081,28.73728205128205,3,98,RUN1
I01_PI,181.6865135135135,3.91216216216245e-4,28.731315789473683,3,98,RUN1
BLANK02_Run1_PI,195.3262753147235,2.3631636562776477e-5,28.648948717948716,3,98,RUN1
B01_PI,188.33651258912647,0.001951520721925205,28.651128205128206,3,98,RUN1
C01_PI,183.98519595141696,0.0021806882591093365,28.702025641025642,3,98,RUN1
J01_PI,182.10125507246383,0.0035570434782608196,28.661263157894737,3,98,RUN1
G01_PI,182.3793183183183,0.006950900900900942,28.6205,3,98,RUN1
F01_PI,169.44688769230777,1.797692307691306e-4,28.719263157894737,3,98,RUN1
H01_PI,150.24844153225806,0.00229122983870969,28.6835,3,98,RUN1
BLANK01_Run1_PI,194.0329892144894,-8.946886446900557e-5,28.664512820512822,3,98,RUN1
A01_PI,187.92968306451618,0.0042992540322579955,28.789538461538463,4,198,RUN1
E01_PI,184.88963473389362,0.006015812324929922,28.711615384615385,4,198,RUN1
D01_PI,187.18057590557584,0.00919624542124549,28.762307692307694,4,198,RUN1
I01_PI,184.756,0.003049206349206332,28.74313157894737,4,198,RUN1
BLANK02_Run1_PI,195.78174308300407,-3.969367588933722e-4,28.69074358974359,4,198,RUN1
B01_PI,193.7226249407301,0.003688039355144715,28.678102564102563,4,198,RUN1
C01_PI,190.1508306451612,0.004056149193548504,28.70353846153846,4,198,RUN1
J01_PI,191.70511578947344,0.00651701754385993,28.67536842105263,4,198,RUN1
G01_PI,198.7157950089128,0.00836129679144373,28.625868421052633,4,198,RUN1
F01_PI,170.01781729055264,3.969084224598255e-4,28.71613157894737,4,198,RUN1
H01_PI,157.41831179487184,0.006128871794871792,28.681763157894736,4,198,RUN1
BLANK01_Run1_PI,193.70897202898578,-3.1606521739152056e-4,28.657102564102566,4,198,RUN1
A01_PI,193.4105177045177,0.004906654456654458,28.848358974358973,5,302,RUN1
E01_PI,192.73693423423424,0.008384279279279304,28.769589743589744,5,302,RUN1
D01_PI,199.46761685823728,0.013099397920087831,28.823538461538462,5,302,RUN1
