date,species,sample_ID,frag_ID,light_dark,run_block,SA_cm2,umol.cm2.hr,chamber_channel,Temp.C,umol.cm2.hr_uncorr,Light_level,Light_value
2025-07-30,Pcyl,A01_PI,A01,LIGHT,RUN1,13.5814141956406,-0.3262856346409651,1,28.77921276595745,-0.3472356142351198,1,0
2025-07-30,Peyo,E01_PI,E01,LIGHT,RUN1,22.4183316506502,-0.44641268822418695,2,28.718,-0.4591045492730969,1,0
2025-07-30,Prus,D01_PI,D01,LIGHT,RUN1,29.1752237696791,-0.36053790092244653,3,28.815872340425532,-0.3702903659765153,1,0
2025-07-30,Tfro,I01_PI,I01,LIGHT,RUN1,17.2693118772257,-0.4752186515321205,4,28.840108695652173,-0.4916947191531855,1,0
2025-07-30,Mvie,B01_PI,B01,LIGHT,RUN1,13.4601857251386,-0.3659295702522857,6,28.682617021276595,-0.3870682347602379,1,0
2025-07-30,Fcom,C01_PI,C01,LIGHT,RUN1,19.5407505876832,-0.28595136557584744,7,28.578127659574463,-0.30051223666325466,1,0
2025-07-30,Ahya,J01_PI,J01,LIGHT,RUN1,19.4578047920765,-0.34718305117282716,8,28.55540425531915,-0.3618059931387317,1,0
2025-07-30,Elam,G01_PI,G01,LIGHT,RUN1,21.3815092055678,-0.4127791184571145,9,28.543869565217392,-0.4260864274745874,1,0
2025-07-30,Prug,F01_PI,F01,LIGHT,RUN1,23.308403841967,-0.40235146374294406,10,28.682978260869564,-0.41455866386645196,1,0
2025-07-30,Maeq,H01_PI,H01,LIGHT,RUN1,31.3381949012663,-0.49052849719561614,11,28.66595652173913,-0.49960784433589883,1,0
2025-07-31,Elam,G02_PI,G02,LIGHT,RUN2,13.4091421586116,-0.34045339742359276,1,28.419236842105263,-0.41606653570246277,1,0
2025-07-31,Maeq,H02_PI,H02,LIGHT,RUN2,33.1725730733351,-0.21239966534638097,2,28.368921052631578,-0.24296429227473723,1,0
2025-07-31,Ahya,J02_PI,J02,LIGHT,RUN2,18.1466231769109,-0.2600691989712019,3,28.424131578947367,-0.3159422564737229,1,0
2025-07-31,Prus,D02_PI,D02,LIGHT,RUN2,25.8573919454156,-0.48436089316577957,5,28.22517948717949,-0.523572400744752,1,0
2025-07-31,Fcom,C02_PI,C02,LIGHT,RUN2,24.0900084544137,-0.44204376737537365,6,28.355447368421057,-0.48413205979580903,1,0
2025-07-31,Tfro,I02_PI,I02,LIGHT,RUN2,30.8022374527315,-0.3443647731844878,7,28.402947368421053,-0.37728145080558745,1,0
2025-07-31,Pcyl,A02_PI,A02,LIGHT,RUN2,9.31927639062511,-0.34410878625493857,8,28.435552631578947,-0.45290557237237594,1,0
2025-07-31,Peyo,E02_PI,E02,LIGHT,RUN2,44.9732076098262,-0.35880347909979243,9,28.333837837837837,-0.3813481756897371,1,0
2025-07-31,Mvie,B02_PI,B02,LIGHT,RUN2,14.5959050803673,-0.2395287862779326,10,28.451783783783785,-0.30899397631975556,1,0
2025-07-31,Prug,F02_PI,F02,LIGHT,RUN2,14.6469486468945,-0.4650355107527205,12,28.31783783783784,-0.5342586195846817,1,0
2025-07-31,Ahya,J03_PI,J03,LIGHT,RUN3,27.5258785262712,-0.41338938212880144,1,28.539953488372092,-0.47256060869829986,1,0
2025-07-31,Maeq,H03_PI,H03,LIGHT,RUN3,36.4329808852555,-0.30744756426508135,2,28.450488372093023,-0.35215266264646683,1,0
2025-07-31,Prus,D04_PI,D04,LIGHT,RUN3,13.7728275701173,-0.5276164221328143,3,28.51327906976744,-0.6458739104016966,1,0
